名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
上海鹏来假日宾馆,住宿服务,宾馆酒店,宾馆酒店,崇明岛新村乡新洲村838号,上海市,上海市,崇明区,121.2733962,31.83870897
兴谷大酒店,住宿服务,宾馆酒店,宾馆酒店,海展路128号,上海市,上海市,崇明区,121.2903181,31.81971997
上海崇明北盛公寓,住宿服务,住宿服务相关,住宿服务相关,跃进公路681号(跃进小区),上海市,上海市,崇明区,121.2220376,31.81350338
半岛托斯卡纳酒店公寓,住宿服务,宾馆酒店,宾馆酒店,海永乡海长路3号,上海市,上海市,崇明区,121.3986476,31.81109747
上海胖阿姨农庄,住宿服务,住宿服务相关,住宿服务相关,华西村建桥1002号(格兰富路向东500米),上海市,上海市,崇明区,121.1865067,31.78448279
上海静源青旅,住宿服务,住宿服务相关,住宿服务相关,三星镇纯阳村海星1426号(新建公路与宏海公路交口南50米路东),上海市,上海市,崇明区,121.2840029,31.77634505
上海欢乐岛之家叠拼别墅,住宿服务,住宿服务相关,住宿服务相关,绿华镇华星村城北1218号,上海市,上海市,崇明区,121.2205677,31.77428295
上海崇西农家乐,住宿服务,住宿服务相关,住宿服务相关,"华星村,北沿公路",上海市,上海市,崇明区,121.2246112,31.77315113
崇明屋里人家九号农家乐,住宿服务,住宿服务相关,住宿服务相关,三星镇育德烈士村405号近西新中路,上海市,上海市,崇明区,121.2555751,31.76589092
上海鹏九农家乐,住宿服务,住宿服务相关,住宿服务相关,绿化镇华星村城北606室,上海市,上海市,崇明区,121.2247095,31.75853922
上海天鹅苑酒店,住宿服务,宾馆酒店,宾馆酒店,三华公路777号(近明珠湖公园),上海市,上海市,崇明区,121.2465775,31.75433543
黑森林民宿,住宿服务,住宿服务相关,住宿服务相关,崇明庙镇镇保西村11队,上海市,上海市,崇明区,121.3453765,31.76248255
上海西玲度假村酒店第2044名,住宿服务,宾馆酒店,宾馆酒店,明珠湖路(近西沙湿地),上海市,上海市,崇明区,121.2425313,31.74882966
上海崇明馨草园农家乐,住宿服务,住宿服务相关,住宿服务相关,三星镇育德村517号北大门对面,上海市,上海市,崇明区,121.2547066,31.75421372
上海村官之家住宿,住宿服务,旅馆招待所,旅馆招待所,市上海崇明区三星镇协进村,上海市,上海市,崇明区,121.2864209,31.75258253
桃源水乡大酒店,住宿服务,宾馆酒店,宾馆酒店,绿华镇绿港村1068号,上海市,上海市,崇明区,121.2212927,31.73501863
上海西沙明邸住宿,住宿服务,旅馆招待所,旅馆招待所,绿华镇绿港村521号,上海市,上海市,崇明区,121.218709,31.73874969
崇明宝岛蟹庄,住宿服务,住宿服务相关,住宿服务相关,绿华镇新堡路988号(近明珠湖),上海市,上海市,崇明区,121.2324086,31.74207194
