名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
环洲宾馆度假村,体育休闲服务,度假疗养场所,度假村,新洲村838,上海市,上海市,崇明区,121.2731735,31.83879521
新村敬老院,体育休闲服务,度假疗养场所,疗养院,新浜村新村1476号,上海市,上海市,崇明区,121.3275295,31.83305964
星光老年之家(长春路),体育休闲服务,度假疗养场所,疗养院,,上海市,上海市,崇明区,121.291315,31.82285901
丽丽棋牌室,体育休闲服务,娱乐场所,棋牌室,宏海公路7288,上海市,上海市,崇明区,121.2902524,31.81833283
新海居委会社区老年活动室,体育休闲服务,休闲场所,休闲场所,兴阔路165,上海市,上海市,崇明区,121.2912452,31.82248905
阳光之家,体育休闲服务,体育休闲服务场所,体育休闲服务场所,新海镇兴阔路181号,上海市,上海市,崇明区,121.2914268,31.82276082
牛棚港奔牛场,体育休闲服务,运动场馆,运动场所,跃进公路北50米,上海市,上海市,崇明区,121.2348083,31.81430643
崇明胖阿姨休闲农庄,体育休闲服务,休闲场所,休闲场所,绿华镇华西村,上海市,上海市,崇明区,121.1921861,31.78491047
上海市崇明区海桥敬老院,体育休闲服务,度假疗养场所,疗养院,海中村海桥公路海桥幼儿园,上海市,上海市,崇明区,121.3058425,31.78863705
顾家柑橘采摘园,体育休闲服务,休闲场所,采摘园,绿华镇华荣村建城1队113号,上海市,上海市,崇明区,121.2185163,31.77976785
上海市崇明区荣美农家乐,体育休闲服务,休闲场所,休闲场所,绿华镇华荣村建城207号,上海市,上海市,崇明区,121.2173051,31.77862549
崇明华荣家园农家乐,体育休闲服务,休闲场所,休闲场所,绿华镇华荣村,上海市,上海市,崇明区,121.2195349,31.78347936
汉忠柑橘采摘园,体育休闲服务,休闲场所,采摘园,绿华镇华荣村建城704号,上海市,上海市,崇明区,121.2167651,31.78337165
荣奕生态园,体育休闲服务,休闲场所,休闲场所,育新路,上海市,上海市,崇明区,121.237739,31.78127513
一德园,体育休闲服务,休闲场所,采摘园,绿华西路67号,上海市,上海市,崇明区,121.1857694,31.77127358
