名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
新村社区卫生服务中心,医疗保健服务,综合医院,卫生院,星村公路2118号,上海市,上海市,崇明区,121.3272302,31.83213204
新海医院,医疗保健服务,综合医院,综合医院,新海农场场部,上海市,上海市,崇明区,121.2931099,31.81992172
华氏大药房(新海店),医疗保健服务,医药保健销售店,药房,新海一村9号楼101室,上海市,上海市,崇明区,121.2908362,31.8197792
新海镇社区卫生服务中心,医疗保健服务,综合医院,卫生院,北沿公路3338号,上海市,上海市,崇明区,121.2931858,31.81918247
崇明区医疗急救中心(新海分站),医疗保健服务,急救中心,急救中心,兴谷路38号,上海市,上海市,崇明区,121.2921237,31.82000627
绿华镇华西村中心卫生室,医疗保健服务,诊所,诊所,华富路与新绿公路交叉口西北50米华西村村委会附近,上海市,上海市,崇明区,121.184133,31.78604986
第一医药崇明供销社(海桥店),医疗保健服务,医药保健销售店,药房,海桥公路1弄34,上海市,上海市,崇明区,121.3088919,31.78802442
海桥社区卫生服务中心,医疗保健服务,综合医院,卫生院,三星镇海桥公路36号,上海市,上海市,崇明区,121.3061079,31.78851855
三星镇永安村中心卫生室,医疗保健服务,诊所,诊所,永海路南50米,上海市,上海市,崇明区,121.3315709,31.78117835
上海华式崇明大药房(绿华店),医疗保健服务,医药保健销售店,药房,绿华镇新建公路674号,上海市,上海市,崇明区,121.214355,31.7650485
绿华镇社区卫生服务中心,医疗保健服务,综合医院,卫生院,绿华镇东福路502号,上海市,上海市,崇明区,121.215323,31.76642573
三星镇大平村卫生室,医疗保健服务,诊所,诊所,大平南路和海大路的交叉口附近,上海市,上海市,崇明区,121.3074666,31.76924429
崇明原生态蜂蜜,医疗保健服务,医药保健销售店,医疗保健用品,海安村,上海市,上海市,崇明区,121.3288778,31.77209216
长征农场职工医院,医疗保健服务,综合医院,综合医院,长征农场场部,上海市,上海市,崇明区,121.4070853,31.76314613
崇明区新海镇社区卫生服务中心长征分中心,医疗保健服务,诊所,诊所,长征公路3359弄175号,上海市,上海市,崇明区,121.4074445,31.7632833
明珠湖公园-医疗点,医疗保健服务,诊所,诊所,三华公路333号明珠湖公园内,上海市,上海市,崇明区,121.2527227,31.75283219
崇明区三星镇社区卫生服务中心,医疗保健服务,综合医院,卫生院,三星镇草棚镇北首,上海市,上海市,崇明区,121.2830862,31.74443309
三星镇卫生院,医疗保健服务,诊所,诊所,三星镇草棚镇北首,上海市,上海市,崇明区,121.2830862,31.74443208
庙镇合作社区卫生服务分中心,医疗保健服务,综合医院,卫生院,和富路68号,上海市,上海市,崇明区,121.3603002,31.74419476
庙镇永乐村中心卫生室,医疗保健服务,诊所,诊所,永新路南50米,上海市,上海市,崇明区,121.3736069,31.75152079
明珠湖公园-动物救护站,医疗保健服务,急救中心,急救中心,三华公路333号明珠湖公园内,上海市,上海市,崇明区,121.2482686,31.73723225
九州通大药房(三星药店),医疗保健服务,医药保健销售店,药房,解放新街58号,上海市,上海市,崇明区,121.2823865,31.74315485
三星医院,医疗保健服务,综合医院,综合医院,三星镇草棚镇界河村15队,上海市,上海市,崇明区,121.2826071,31.7434496
华氏崇明大药房(三星店),医疗保健服务,医药保健销售店,药房,草棚镇解放新街28号,上海市,上海市,崇明区,121.2830724,31.74225885
三星药店,医疗保健服务,医药保健销售店,药房,三星镇宏海公路4235号,上海市,上海市,崇明区,121.2822746,31.74308399
好药师大药房(三星药店),医疗保健服务,医药保健销售店,药房,三星草棚镇星虹路6-8号,上海市,上海市,崇明区,121.2822697,31.74307899
第一医药崇明供销社合作店,医疗保健服务,医药保健销售店,药房,小星公路1212,上海市,上海市,崇明区,121.3608654,31.74328487
合作镇猛东村卫生室,医疗保健服务,诊所,诊所,小星公路北50米,上海市,上海市,崇明区,121.3708512,31.74041228
白港村卫生室,医疗保健服务,诊所,诊所,白港村501,上海市,上海市,崇明区,121.2692168,31.72820164
三星镇南桥村卫生室,医疗保健服务,诊所,诊所,南桥路崇明区三星镇南桥村村民委员会南桥村村委会附近,上海市,上海市,崇明区,121.297581,31.72964772
庙镇周河村卫生室,医疗保健服务,诊所,诊所,,上海市,上海市,崇明区,121.3477663,31.7328429
庙镇窑桥村中心卫生室,医疗保健服务,诊所,诊所,窑桥村630,上海市,上海市,崇明区,121.3591986,31.72692741
崇明区庙镇人民医院,医疗保健服务,综合医院,综合医院,为民街24号,上海市,上海市,崇明区,121.3445481,31.71810294
庙镇庙西村卫生室,医疗保健服务,诊所,诊所,宏海公路2092,上海市,上海市,崇明区,121.3386906,31.71802841
上海百路达大药房(庙镇店),医疗保健服务,医药保健销售店,药房,庙镇宏海公路1993号,上海市,上海市,崇明区,121.3417612,31.71617768
佰和优活健康睡眠体验馆(崇明庙镇店),医疗保健服务,医疗保健服务场所,医疗保健服务场所,合作公路与宏海公路交叉口东北100米,上海市,上海市,崇明区,121.3428638,31.71667077
沈斯汇口腔诊所,医疗保健服务,诊所,诊所,庙镇宏海公路1934号,上海市,上海市,崇明区,121.3441492,31.71548639
第一医药医保定点零售药店,医疗保健服务,医药保健销售店,药房,庙镇宏海公路1892号,上海市,上海市,崇明区,121.344733,31.71522535
庙镇药店记账中心,医疗保健服务,医疗保健服务场所,医疗保健服务场所,庙镇人民政府庙镇药店3楼,上海市,上海市,崇明区,121.3450763,31.7146547
港西镇协北村中心卫生室,医疗保健服务,诊所,诊所,协津公路东50米,上海市,上海市,崇明区,121.4098569,31.71803831
上海崇明前卫村卫生院,医疗保健服务,诊所,诊所,前卫村802号,上海市,上海市,崇明区,121.508312,31.7195618
崇明区竖新镇前卫村卫生室,医疗保健服务,诊所,诊所,同良路与纬九路交叉口西北150米,上海市,上海市,崇明区,121.5082598,31.71980467
东风农场医院,医疗保健服务,综合医院,综合医院,东风公路南50米,上海市,上海市,崇明区,121.477337,31.71127236
