名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
华联超市,购物服务,超级市场,上海华联,北沿公路3732号,上海市,上海市,崇明区,121.236701,31.83536184
农工商超市(新海店),购物服务,超级市场,超市,北沿公路3364号,上海市,上海市,崇明区,121.2895335,31.81998719
大吉超市,购物服务,超级市场,超市,新海镇跃进农场跃进公路600号,上海市,上海市,崇明区,121.2247568,31.81358356
农工商超市(三星店),购物服务,超级市场,超市,三星镇海桥公路22号,上海市,上海市,崇明区,121.3066697,31.78836352
华联超市(崇明供销海桥店),购物服务,超级市场,上海华联,海桥公路1号,上海市,上海市,崇明区,121.3071597,31.78791556
华联超市(崇明供销新建店),购物服务,超级市场,上海华联,绿华镇新建公路711号,上海市,上海市,崇明区,121.2141366,31.76704953
农工商超市(绿华店),购物服务,超级市场,超市,绿华镇新建路655号,上海市,上海市,崇明区,121.2139686,31.76471703
夏记永兴超市,购物服务,超级市场,超市,长征公路3258弄18支弄127,上海市,上海市,崇明区,121.4109467,31.76249499
长春食品商店,购物服务,超级市场,超市,长征公路与延安路交叉口南10米路西,上海市,上海市,崇明区,121.4117113,31.76268849
华联超市(崇明三星草棚店),购物服务,超级市场,上海华联,宏海公路4171号,上海市,上海市,崇明区,121.282731,31.74247032
农工商超市(草棚店),购物服务,超级市场,超市,三星草棚镇宏海公路4216号,上海市,上海市,崇明区,121.2827379,31.74291536
华联超市(崇明供销合作店),购物服务,超级市场,上海华联,庙镇合作公路1285号,上海市,上海市,崇明区,121.3610632,31.74209446
华联超市(庙镇二店),购物服务,超级市场,上海华联,庙镇合作公路52号,上海市,上海市,崇明区,121.3436241,31.71718747
华联超市(庙镇店),购物服务,超级市场,上海华联,庙镇合作公路37号,上海市,上海市,崇明区,121.3439883,31.71756987
农工商超市(庙镇店),购物服务,超级市场,超市,庙镇大街70号(宏海公路2008号),上海市,上海市,崇明区,121.3420445,31.7164892
易盛客超市,购物服务,超级市场,超市,庙镇宏海公路1881号,上海市,上海市,崇明区,121.3438099,31.71531697
如海超市(剧场路),购物服务,超级市场,超市,宏海公路1881号,上海市,上海市,崇明区,121.3437201,31.71527213
北闸超市(城桥供销十五门市部),购物服务,超级市场,超市,北沿公路2452号,上海市,上海市,崇明区,121.424255,31.71851982
柒加壹超市,购物服务,超级市场,超市|购物服务,坚新镇前卫村801-7号,上海市,上海市,崇明区,121.5056384,31.72074705
农工商超市(东风店),购物服务,超级市场,超市,东风农场林风公路1275号,上海市,上海市,崇明区,121.4898155,31.70662555
华联超市(港西店),购物服务,超级市场,上海华联|购物服务,三双公路一五八一弄5号,上海市,上海市,崇明区,121.4111723,31.69000781
联华超市(港西店),购物服务,超级市场,超市,三双公路,上海市,上海市,崇明区,121.4111613,31.69001581
华联超市(江口店),购物服务,超级市场,上海华联,庙镇宏海公路208号,上海市,上海市,崇明区,121.3577021,31.68221897
如海超市(江民公路店),购物服务,超级市场,超市,庙镇宏海公路199-205号,上海市,上海市,崇明区,121.3580526,31.68171343
华联超市(长江二店),购物服务,超级市场,上海华联,长江农场平悦路380号1层,上海市,上海市,崇明区,121.5344741,31.67791344
农工商超市(东平店),购物服务,超级市场,超市,长江公路与黄河路交叉口南100米,上海市,上海市,崇明区,121.5343277,31.67712204
龙之缘超市,购物服务,超级市场,超市,虹桥村136号靠近森林公园2号门,上海市,上海市,崇明区,121.4614167,31.6695294
华联超市(崇明供销建设店),购物服务,超级市场,上海华联,建设镇建设公路1807号,上海市,上海市,崇明区,121.4498438,31.65856058
农工商超市(建设店),购物服务,超级市场,超市,建设公路1899-1901,上海市,上海市,崇明区,121.4497394,31.66022141
