名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
中国邮政储蓄银行(上海崇明区新村营业所),金融保险服务,银行,中国邮政储蓄银行,新中村新跃289号,上海市,上海市,崇明区,121.3245612,31.83361643
上海农商银行(新村分理处),金融保险服务,银行,上海农商银行,新中村新跃288号,上海市,上海市,崇明区,121.3249783,31.83355262
中国农业银行(新海支行),金融保险服务,银行,中国农业银行,新海农场振兴路1-3号,上海市,上海市,崇明区,121.2920898,31.81972227
中国邮政储蓄银行(跃进营业所),金融保险服务,银行,中国邮政储蓄银行,跃进公路556号,上海市,上海市,崇明区,121.2254844,31.81337006
中国邮政储蓄银行ATM(跃进支行),金融保险服务,自动提款机,中国邮政储蓄银行ATM,跃进公路556号,上海市,上海市,崇明区,121.2254824,31.81337006
中国邮政储蓄银行ATM,金融保险服务,自动提款机,中国邮政储蓄银行ATM,海桥公路1弄30号,上海市,上海市,崇明区,121.3093,31.78799366
上海农商银行ATM(海桥分理处),金融保险服务,自动提款机,上海农商银行ATM,海桥公路33号,上海市,上海市,崇明区,121.3061449,31.78810642
中国邮政储蓄银行(上海崇明区海桥营业所),金融保险服务,银行,中国邮政储蓄银行,三星镇海桥公路1弄30号,上海市,上海市,崇明区,121.3091353,31.78786995
上海农商银行(海桥分理处),金融保险服务,银行,上海农商银行,三星镇海桥公路33号,上海市,上海市,崇明区,121.306076,31.78809055
中国邮政储蓄银行(上海崇明区红星营业所),金融保险服务,银行,中国邮政储蓄银行,新海镇星村公路255号(近北沿公路),上海市,上海市,崇明区,121.3659011,31.79400127
红星邮政储蓄ATM(洪中二村西北),金融保险服务,自动提款机,中国邮政储蓄银行ATM,星村公路25号,上海市,上海市,崇明区,121.3659011,31.79399827
上海农商银行(绿华支行),金融保险服务,银行,上海农商银行,绿华镇新建路655号,上海市,上海市,崇明区,121.2139486,31.76456999
上海农商银行ATM(绿华支行),金融保险服务,自动提款机,上海农商银行ATM,新建路655号,上海市,上海市,崇明区,121.2139446,31.76452898
中国邮政储蓄银行(上海崇明区新建支行),金融保险服务,银行,中国邮政储蓄银行,绿华镇新建路659号(近绿华路),上海市,上海市,崇明区,121.2139936,31.76496709
上海睦程资产管理有限公司,金融保险服务,金融保险服务机构,金融保险机构,北沿公路附近,上海市,上海市,崇明区,121.3809761,31.76851985
上海星菱万里工业投资有限公司,金融保险服务,金融保险服务机构,金融保险机构,新海镇长征农场瑞金路8号,上海市,上海市,崇明区,121.4076313,31.76609276
中国邮政储蓄银行(长征营业所),金融保险服务,银行,中国邮政储蓄银行,长征公路3359弄172号,上海市,上海市,崇明区,121.4071273,31.76347819
中国邮政储蓄银行ATM(长征营业所),金融保险服务,自动提款机,中国邮政储蓄银行ATM,长征农场场部长征农场职工医院附近,上海市,上海市,崇明区,121.4070743,31.76346017
中国工商银行ATM,金融保险服务,自动提款机,中国工商银行ATM,付畈大道濒湖宾馆,上海市,上海市,崇明区,121.2461467,31.74121787
上海农商银行(三星支行),金融保险服务,银行,上海农商银行,三星镇星月路161号,上海市,上海市,崇明区,121.2821748,31.74271207
中国农业银行(三星支行),金融保险服务,银行,中国农业银行,三星镇星月路137号,上海市,上海市,崇明区,121.2818783,31.7422864
中国邮政储蓄银行(草棚支行),金融保险服务,银行,中国邮政储蓄银行,三星镇宏海公路4191号,上海市,上海市,崇明区,121.2825721,31.74344564
中国邮政储蓄银行ATM(草棚支行),金融保险服务,自动提款机,中国邮政储蓄银行ATM,三星镇宏海公路4191号,上海市,上海市,崇明区,121.2825721,31.74344664
中国邮政储蓄银行(合作支行),金融保险服务,银行,中国邮政储蓄银行,小星公路1208号,上海市,上海市,崇明区,121.361099,31.74311553
中国农业银行(崇明合作分理处),金融保险服务,银行,中国农业银行,合作镇小星公路1230号,上海市,上海市,崇明区,121.3599848,31.7434041
上海市农村商业银行ATM,金融保险服务,自动提款机,农村商业银行ATM,合作公路与和富路交叉口西50米,上海市,上海市,崇明区,121.3620225,31.74357432
中国农业银行ATM(崇明合作分理处),金融保险服务,自动提款机,中国农业银行ATM,小星公路1230附近,上海市,上海市,崇明区,121.3600807,31.74335196
上海农商银行(猛将庙分理处),金融保险服务,银行,上海农商银行,上海庙镇镇合作公路1303号,上海市,上海市,崇明区,121.3619826,31.74336935
上海农商银行(庙镇支行),金融保险服务,银行,上海农商银行,庙镇合作公路7号,上海市,上海市,崇明区,121.3425724,31.71640826
中国建设银行(庙镇支行),金融保险服务,银行,中国建设银行,合作公路45号,上海市,上海市,崇明区,121.3431412,31.71711132
中国工商银行ATM(合作公路),金融保险服务,自动提款机,中国工商银行ATM,庙镇合作公路41号,上海市,上海市,崇明区,121.343231,31.71722817
中国建设银行ATM(庙镇支行),金融保险服务,自动提款机,中国建设银行ATM,合作公路43号,上海市,上海市,崇明区,121.3432709,31.7172801
上海农商银行24小时自助银行(庙镇支行),金融保险服务,自动提款机,上海农商银行ATM,合作公路7号,上海市,上海市,崇明区,121.3425734,31.71640726
中国农业银行(崇明庙镇支行),金融保险服务,银行,中国农业银行,庙镇镇,上海市,上海市,崇明区,121.3457619,31.71475353
中国农业银行24小时自助银行(崇明庙镇支行),金融保险服务,自动提款机,中国农业银行ATM,宏海公路1880号,上海市,上海市,崇明区,121.3457609,31.71475253
中国邮政储蓄银行(上海崇明区庙镇支行),金融保险服务,银行,中国邮政储蓄银行,庙镇宏海公路1888号,上海市,上海市,崇明区,121.3452999,31.71494634
庙镇开发区投资管理公司,金融保险服务,金融保险服务机构,金融保险机构,宏海公路1820号,上海市,上海市,崇明区,121.3470733,31.71417323
上海荣投资产管理有限公司(崇明分公司),金融保险服务,金融保险服务机构,金融保险机构,宏海公路与港庙公路交叉口东100米,上海市,上海市,崇明区,121.3482321,31.7134222
中国邮政储蓄银行(上海崇明区东风支行),金融保险服务,银行,中国邮政储蓄银行,林风公路1255号,上海市,上海市,崇明区,121.4897262,31.70624125
中国邮政储蓄银行ATM(东风支行),金融保险服务,自动提款机,中国邮政储蓄银行ATM,林风公路1255号,上海市,上海市,崇明区,121.4897222,31.70624024
上海农商银行(港西支行),金融保险服务,银行,上海农商银行,港西镇三双公路1581弄15号,上海市,上海市,崇明区,121.4104188,31.69025539
中国农业银行(崇明港西支行),金融保险服务,银行,中国农业银行,港西镇三双公路1581弄13号(靠近南盘滧街),上海市,上海市,崇明区,121.4104938,31.69022943
中国农业银行ATM(港西支行),金融保险服务,自动提款机,中国农业银行ATM,三双公路1581弄13,上海市,上海市,崇明区,121.4104938,31.69023043
中国邮政储蓄银行(南盘滧支行),金融保险服务,银行,中国邮政储蓄银行,三双公路1581弄11号,上海市,上海市,崇明区,121.410694,31.69016854
中国邮政储蓄银行ATM(南盘滧支行),金融保险服务,自动提款机,中国邮政储蓄银行ATM,三双公路1581弄11号,上海市,上海市,崇明区,121.410688,31.69016354
上海农商银行24小时自助银行(港西支行),金融保险服务,自动提款机,上海农商银行ATM,三双公路1581弄15,上海市,上海市,崇明区,121.4104188,31.69025539
上海农商银行(江口分理处),金融保险服务,银行,上海农商银行,宏海公路253号,上海市,上海市,崇明区,121.356621,31.68231957
中国邮政储蓄银行(江口营业所),金融保险服务,银行,中国邮政储蓄银行,宏海公路255号,上海市,上海市,崇明区,121.3563754,31.68241094
中国邮政储蓄银行ATM(江口营业所),金融保险服务,自动提款机,中国邮政储蓄银行ATM,宏海公路255号,上海市,上海市,崇明区,121.3564383,31.68248985
中国农业银行(长江支行),金融保险服务,银行,中国农业银行,长江农场,上海市,上海市,崇明区,121.5340948,31.67981463
轩梦投资,金融保险服务,金融保险服务机构,金融保险机构,长江公路123号附近,上海市,上海市,崇明区,121.5343235,31.67913814
中国邮政储蓄银行(长江支行),金融保险服务,银行,中国邮政储蓄银行,北沿公路1647弄889支弄4号,上海市,上海市,崇明区,121.5344067,31.67981038
中国农业银行ATM(长江分理处),金融保险服务,自动提款机,中国农业银行ATM,东平镇长江农场,上海市,上海市,崇明区,121.5338611,31.67990707
上海农商银行(港东支行),金融保险服务,银行,上海农商银行,港东公路787,上海市,上海市,崇明区,121.4184415,31.67382543
上海市崇明县斜桥农家乐服务部,金融保险服务,金融保险服务机构,金融保险机构,卫家河路318号,上海市,上海市,崇明区,121.4640541,31.66630902
上海农商银行(东平支行),金融保险服务,银行,上海农商银行,镇中路238号,上海市,上海市,崇明区,121.4503802,31.65877277
中国农业银行(崇明建设支行),金融保险服务,银行,中国农业银行,建设镇镇中路268号,上海市,上海市,崇明区,121.4494527,31.65896575
上海农商银行24小时自助银行(东平支行),金融保险服务,自动提款机,上海农商银行ATM,镇中路238号,上海市,上海市,崇明区,121.4503772,31.65877276
中国农业银行ATM(崇明建设支行),金融保险服务,自动提款机,中国农业银行ATM,镇中路268号,上海市,上海市,崇明区,121.449558,31.65894697
中国邮政储蓄银行ATM(建设营业所),金融保险服务,自动提款机,中国邮政储蓄银行ATM,建设公路1761号,上海市,上海市,崇明区,121.449894,31.65797167
上海农商银行(金珠分理处),金融保险服务,银行,上海农商银行,西门路1307号附近,上海市,上海市,崇明区,121.4076071,31.644522
上海农商银行24小时自助银行(金珠分理处),金融保险服务,自动提款机,上海农商银行ATM,西门路1307号附近,上海市,上海市,崇明区,121.4076071,31.644522
天安人寿保险股份有限公司上海市崇明支公司,金融保险服务,金融保险服务机构,金融保险机构,城桥镇鼓浪屿路1000弄283号2楼,上海市,上海市,崇明区,121.4163012,31.65193971
前进邮政储蓄,金融保险服务,银行,中国邮政储蓄银行,前进大街28号附近,上海市,上海市,崇明区,121.5946895,31.64501108
中国邮政储蓄银行ATM,金融保险服务,自动提款机,中国邮政储蓄银行ATM,北沿公路1328弄37号附近,上海市,上海市,崇明区,121.5947446,31.64483807
中国平安财产保险股份有限公司(崇明支公司),金融保险服务,保险公司,中国平安保险公司,城桥镇西小港96弄81号,上海市,上海市,崇明区,121.394357,31.63928599
平安银行ATM(崇明西门路),金融保险服务,自动提款机,平安银行ATM,崇明西门路81号(中国平安人寿保险1层),上海市,上海市,崇明区,121.394437,31.63924398
太平洋保险,金融保险服务,金融保险服务机构,金融保险机构,崇明秀山路附近,上海市,上海市,崇明区,121.3932615,31.63666314
灜杓投资管理有限公司,金融保险服务,金融保险服务机构,金融保险机构,城桥镇西门路538号,上海市,上海市,崇明区,121.3911012,31.63501265
中国大地保险,金融保险服务,保险公司,保险公司,城桥镇西小港96弄81号108室-1单元,上海市,上海市,崇明区,121.3944331,31.63862597
上海农商银行(城桥支行),金融保险服务,银行,上海农商银行,城桥镇中津桥路114号,上海市,上海市,崇明区,121.3946914,31.63442289
上海瀛虹投资管理有限公司,金融保险服务,金融保险服务机构,金融保险机构,城桥镇中津桥路79号,上海市,上海市,崇明区,121.3944925,31.63412292
中国平安人寿保险股份有限公司(崇明支公司),金融保险服务,保险公司,中国平安保险公司,城桥镇西小港96弄81号,上海市,上海市,崇明区,121.394423,31.63931998
上海银行崇明支行城桥镇社区金融安全服务点,金融保险服务,银行相关,银行相关,西小港115号附近,上海市,上海市,崇明区,121.3945231,31.63833795
长江证券,金融保险服务,证券公司,证券营业厅,中津桥路7号附近,上海市,上海市,崇明区,121.4003383,31.63615786
中国农业银行(城桥支行),金融保险服务,银行,中国农业银行,中津桥路48号,上海市,上海市,崇明区,121.3976121,31.6355007
安信农业保险股份有限公司(崇明支公司),金融保险服务,保险公司,保险公司,城桥镇东门路566号,上海市,上海市,崇明区,121.4007645,31.6347119
中国邮政储蓄银行(桥镇营业所),金融保险服务,银行,中国邮政储蓄银行,城桥镇中津桥路88号,上海市,上海市,崇明区,121.3955183,31.6347638
中国农业银行24小时自助银行(城桥支行),金融保险服务,自动提款机,中国农业银行ATM,中津桥路48号,上海市,上海市,崇明区,121.3976121,31.6355007
中国工商银行24小时自助银行(东引路),金融保险服务,自动提款机,中国工商银行ATM,城桥镇,上海市,上海市,崇明区,121.4100448,31.64188417
中国工商银行离行式自助服务区(上海分行崇明支行崇明中学),金融保险服务,自动提款机,中国工商银行ATM,城桥镇东引路崇明中学西门岗,上海市,上海市,崇明区,121.4101048,31.6419742
上海绿湖投资管理有限公司,金融保险服务,金融保险服务机构,金融保险机构,北沿公路1288号,上海市,上海市,崇明区,121.6049436,31.64354721
中国人寿保险股份有限公司(三沙洪路),金融保险服务,金融保险服务机构,金融保险机构,三沙洪路115号附近,上海市,上海市,崇明区,121.3809114,31.63037167
上海华瀛投资发展有限公司,金融保险服务,金融保险服务机构,金融保险机构,城桥镇三沙洪路151弄13号,上海市,上海市,崇明区,121.3799312,31.63134838
上海市机动车物损交通事故保险理赔服务中心,金融保险服务,金融保险服务机构,金融保险机构,南门路350号,上海市,上海市,崇明区,121.3806402,31.62448187
中国人寿保险股份有限公司,金融保险服务,保险公司,中国人寿保险公司,崇明人民路48,上海市,上海市,崇明区,121.3939024,31.624384
置业担保,金融保险服务,金融保险服务机构,金融保险机构,北门路368-370,上海市,上海市,崇明区,121.3873502,31.62943799
上海浦东发展银行(北门路支行),金融保险服务,银行,上海浦东发展银行,城桥镇北门路228-236号,上海市,上海市,崇明区,121.3907988,31.62876671
中国建设银行(崇明县支行),金融保险服务,银行,中国建设银行,城桥镇八一路387号,上海市,上海市,崇明区,121.3916827,31.62667046
上海农商银行(崇明支行),金融保险服务,银行,上海农商银行,城内北门路188号,上海市,上海市,崇明区,121.3933592,31.62855508
旭轩金融(崇明北门路),金融保险服务,金融保险服务机构,金融保险机构,崇明北门路与新崇西路交叉口东南50米,上海市,上海市,崇明区,121.3906279,31.62833476
中国农业银行24小时自助银行(崇明北门路),金融保险服务,自动提款机,中国农业银行ATM,北门路386号(近崇明北门路),上海市,上海市,崇明区,121.3870824,31.62950411
珊金投资,金融保险服务,金融保险服务机构,金融保险机构,崇明北门路与西园路交叉口东50米,上海市,上海市,崇明区,121.3872153,31.62946105
辉煌投资(星火路),金融保险服务,金融保险服务机构,金融保险机构,城桥镇八一路523号,上海市,上海市,崇明区,121.3924263,31.62949328
中国农业银行ATM,金融保险服务,自动提款机,中国农业银行ATM,崇明北门路190号(瀛通大酒店),上海市,上海市,崇明区,121.3924954,31.62860926
泉兢金融控股集团,金融保险服务,金融保险服务机构,金融保险机构,城桥镇八一路525号,上海市,上海市,崇明区,121.3926242,31.62952424
上海浦东发展银行24小时自助银行,金融保险服务,自动提款机,上海浦东发展银行ATM,北门路228号-236号,上海市,上海市,崇明区,121.3909628,31.62874466
中国农业银行(崇明人民路支行),金融保险服务,银行,中国农业银行,崇明人民路58号,上海市,上海市,崇明区,121.3933495,31.62439109
瀛通大酒店-自动取款机,金融保险服务,自动提款机,自动提款机,北门路190号,上海市,上海市,崇明区,121.3925943,31.62880924
