名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
崇明县新村基督教堂,风景名胜,风景名胜,教堂,区新村乡新村乡新跃村,上海市,上海市,崇明区,121.3199128,31.83465053
光明瑞华果园,风景名胜,风景名胜,国家级景点,新海镇北沿公路3176号,上海市,上海市,崇明区,121.3247134,31.81621205
永隆寺,风景名胜,风景名胜相关,旅游景点,合付路与沙南西路交叉口东南100米,上海市,上海市,崇明区,121.4043592,31.79598596
三星基督教堂,风景名胜,风景名胜,教堂,宏海公路东150米,上海市,上海市,崇明区,121.2828448,31.76512202
明珠湖公园-船锚岛,风景名胜,风景名胜,风景名胜,三华公路333号明珠湖公园内,上海市,上海市,崇明区,121.2524871,31.75002191
明珠湖公园-游艇乘坐点,风景名胜,风景名胜相关,旅游景点,三华公路333号明珠湖公园内,上海市,上海市,崇明区,121.2504978,31.75053345
明珠湖公园-母婴室,风景名胜,风景名胜相关,旅游景点,三华公路333号明珠湖公园内,上海市,上海市,崇明区,121.2527366,31.75361628
明珠湖公园-游艺船,风景名胜,风景名胜,风景名胜,三华公路333号明珠湖公园内,上海市,上海市,崇明区,121.2518611,31.75216734
明珠湖公园-崇明沙船,风景名胜,风景名胜,风景名胜,三华公路333号明珠湖公园内,上海市,上海市,崇明区,121.2529826,31.75267209
明珠湖公园-珍禽放飞表演,风景名胜,公园广场,动物园,三华公路333号明珠湖公园内,上海市,上海市,崇明区,121.2570907,31.74882608
明珠湖公园,风景名胜,公园广场,公园,三华公路333号,上海市,上海市,崇明区,121.2524419,31.74019776
明珠湖公园-县审计局审计林,风景名胜,风景名胜,风景名胜,三华公路333号明珠湖公园内,上海市,上海市,崇明区,121.2566787,31.74019425
明珠湖公园-红叶李,风景名胜,风景名胜,风景名胜,三华公路333号明珠湖公园内,上海市,上海市,崇明区,121.2574062,31.74033094
猛将庙,风景名胜,风景名胜,风景名胜,庙镇合作公路1285号,上海市,上海市,崇明区,121.3636442,31.74142093
西沙国家湿地公园,风景名胜,风景名胜,风景名胜|风景名胜,堡湖路588号,上海市,上海市,崇明区,121.2307211,31.72728547
西沙湿地公园(出口),风景名胜,风景名胜相关,旅游景点,绿华镇明珠湖西侧西沙国家湿地公园内附近,上海市,上海市,崇明区,121.2349527,31.72928963
西沙湿地科普知识画廊地质景点,风景名胜,风景名胜,风景名胜,绿华镇明珠湖西侧西沙国家湿地公园内,上海市,上海市,崇明区,121.2325749,31.72733741
西沙国家湿地公园-避潮墩,风景名胜,风景名胜,风景名胜,堡湖路西沙国家湿地公园内,上海市,上海市,崇明区,121.2409662,31.72594691
西沙国家湿地公园-荷花池,风景名胜,风景名胜,风景名胜,堡湖路西沙国家湿地公园内,上海市,上海市,崇明区,121.2377548,31.72552917
西沙国家湿地公园-冥想空间,风景名胜,风景名胜,风景名胜,绿华镇明珠湖西侧西沙国家湿地公园内,上海市,上海市,崇明区,121.2355092,31.72579248
西沙国家湿地公园-崇明沙船,风景名胜,风景名胜,风景名胜,绿华镇明珠湖西侧西沙国家湿地公园内,上海市,上海市,崇明区,121.2436874,31.72437204
西沙国家湿地公园-观鸟阁,风景名胜,风景名胜,风景名胜,堡湖路西沙国家湿地公园内,上海市,上海市,崇明区,121.2374857,31.72534807
崇明荷花博览园,风景名胜,风景名胜,风景名胜,堡湖路367号,上海市,上海市,崇明区,121.2357157,31.73192619
西沙国家湿地公园-涵心亭,风景名胜,风景名胜,风景名胜,绿华镇明珠湖西侧西沙国家湿地公园内,上海市,上海市,崇明区,121.2367813,31.72812715
西诗庄园,风景名胜,风景名胜相关,旅游景点,堡湖路大新518号,上海市,上海市,崇明区,121.2351506,31.73153494
西沙国家湿地公园-游艇乘坐处,风景名胜,风景名胜相关,旅游景点,绿华镇明珠湖西侧西沙国家湿地公园内,上海市,上海市,崇明区,121.235726,31.72870085
西沙国家湿地公园-荷花池凉亭,风景名胜,风景名胜,风景名胜,绿华镇明珠湖西侧西沙国家湿地公园荷花池内,上海市,上海市,崇明区,121.2376747,31.72577417
明珠湖公园-亭子,风景名胜,公园广场,公园,三华公路333号明珠湖公园内,上海市,上海市,崇明区,121.2548163,31.73359926
西沙国家湿地公园-崇明滩涂捕钓船,风景名胜,风景名胜,风景名胜,堡湖路西沙国家湿地公园内,上海市,上海市,崇明区,121.2454101,31.72601125
西沙国家湿地公园-茅草廊,风景名胜,风景名胜,风景名胜,绿华镇明珠湖西侧西沙国家湿地公园内,上海市,上海市,崇明区,121.2450872,31.72523217
明珠湖公园-彩虹桥,风景名胜,风景名胜,风景名胜,三华公路333号明珠湖公园内,上海市,上海市,崇明区,121.2454549,31.72817647
西沙国家湿地公园-崇明长江捕捞船,风景名胜,风景名胜,风景名胜,绿华镇明珠湖西侧西沙国家湿地公园内,上海市,上海市,崇明区,121.2450962,31.7245261
西沙国家湿地公园-服务平台,风景名胜,风景名胜相关,旅游景点,绿华镇明珠湖西侧西沙国家湿地公园内,上海市,上海市,崇明区,121.245255,31.72769942
庙镇垦区,风景名胜,风景名胜相关,旅游景点,白港公路南50米,上海市,上海市,崇明区,121.2768133,31.72623577
无为寺,风景名胜,风景名胜,寺庙道观,庙镇宏海公路3000号,上海市,上海市,崇明区,121.3154405,31.7272534
