名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
城里人家,体育休闲服务,休闲场所,休闲场所,京加路北50米,北京市,北京市,怀柔区,116.6182144,40.97681279
北京夏凉宫度假村,体育休闲服务,度假疗养场所,度假村,孙栅子村西,北京市,北京市,怀柔区,116.4807119,40.96135014
闲云山房度假村,体育休闲服务,度假疗养场所,度假村,喇叭沟门原始森林公园旁边,北京市,北京市,怀柔区,116.4929316,40.95442419
郭兰荣民俗户,体育休闲服务,休闲场所,休闲场所,喇叭沟门满族乡孙栅子大队黄甸子村4号,北京市,北京市,怀柔区,116.498478,40.95371333
振来农家院,体育休闲服务,休闲场所,休闲场所,喇叭沟门孙栅子黄甸子村,北京市,北京市,怀柔区,116.4983906,40.95389891
塞外农舍,体育休闲服务,休闲场所,休闲场所,喇叭沟门风景区黄甸子村,北京市,北京市,怀柔区,116.4976489,40.95334318
吴家小院,体育休闲服务,休闲场所,休闲场所,黄甸子村五龙潭旁,北京市,北京市,怀柔区,116.4989528,40.95371175
天元农家院,体育休闲服务,休闲场所,休闲场所,喇叭沟门满族乡孙栅紫黄甸子村,北京市,北京市,怀柔区,116.4988354,40.95352655
北京白桦林宋福广农家院,体育休闲服务,休闲场所,休闲场所,喇叭沟门孙栅子大队黄旬子村18号,北京市,北京市,怀柔区,116.4987551,40.95348635
北京王学农家院,体育休闲服务,休闲场所,休闲场所,喇叭沟门风景区黄甸子村,北京市,北京市,怀柔区,116.4995662,40.9534458
郭家大院,体育休闲服务,休闲场所,休闲场所,喇叭沟门孙栅子大队黄甸子村37号,北京市,北京市,怀柔区,116.4999978,40.95349104
瑞丰农家院,体育休闲服务,休闲场所,休闲场所,017县道附近,北京市,北京市,怀柔区,116.4996726,40.95337417
张树荣农家院,体育休闲服务,休闲场所,休闲场所,喇叭沟门满族乡孙栅子村黄甸子8号,北京市,北京市,怀柔区,116.4991215,40.95364331
喇叭沟门彭光友农家院,体育休闲服务,休闲场所,休闲场所,北京喇叭沟门满族乡孙栅村黄甸子25号,北京市,北京市,怀柔区,116.4990472,40.95369904
于建侠民俗户,体育休闲服务,休闲场所,休闲场所,孙栅子村黄甸子27号,北京市,北京市,怀柔区,116.5004245,40.95342436
喇叭沟门王俊国农家院,体育休闲服务,休闲场所,休闲场所,喇叭沟门风景区黄甸子村,北京市,北京市,怀柔区,116.4993474,40.9534941
原始森林王春丽农家院,体育休闲服务,休闲场所,休闲场所,喇叭沟门满族乡黄甸子村36号院,北京市,北京市,怀柔区,116.4994528,40.9534025
张秀珍农家院,体育休闲服务,休闲场所,休闲场所,喇叭沟门满族乡孙栅子村黄甸子22号,北京市,北京市,怀柔区,116.4991747,40.95371341
海燕农家院(喇碾路),体育休闲服务,休闲场所,休闲场所,黄甸子村39号,北京市,北京市,怀柔区,116.4991526,40.95342458
黄家湾烤吧,体育休闲服务,休闲场所,休闲场所,017县道西侧,北京市,北京市,怀柔区,116.4991919,40.95209283
彭兴泉农家院,体育休闲服务,休闲场所,休闲场所,孙栅子黄甸子村21号,北京市,北京市,怀柔区,116.4990673,40.95350726
袁少勤民俗户,体育休闲服务,休闲场所,休闲场所,喇叭沟门满族乡孙栅子村黄甸子33号,北京市,北京市,怀柔区,116.4990573,40.95321748
北京喇叭沟门白桦林兴义农家院,体育休闲服务,休闲场所,休闲场所,喇叭沟门乡黄甸子桥,北京市,北京市,怀柔区,116.499234,40.95296522
蒋春燕民俗户,体育休闲服务,休闲场所,休闲场所,喇叭沟门满族乡孙栅子村黄甸子4号,北京市,北京市,怀柔区,116.500036,40.95326235
孟永花民俗户,体育休闲服务,休闲场所,休闲场所,喇叭沟门满族乡孙栅子大队黄甸子3号,北京市,北京市,怀柔区,116.4997329,40.95325545
小于农家院,体育休闲服务,休闲场所,休闲场所,喇叭沟门满族乡缸房沟村29号,北京市,北京市,怀柔区,116.4884563,40.94746576
庞福勤农家乐,体育休闲服务,休闲场所,休闲场所,喇叭沟门满族乡孙栅子缸房沟村14号,北京市,北京市,怀柔区,116.4878971,40.94718434
远山冰川农家乐,体育休闲服务,体育休闲服务场所,体育休闲服务场所,喇碾路附近,北京市,北京市,怀柔区,116.487834,40.94650872
北京满乡幸福农家院,体育休闲服务,休闲场所,休闲场所,怀柔喇叭沟门孙栅子,北京市,北京市,怀柔区,116.5087858,40.94702434
北京喇叭沟门贵财农家院,体育休闲服务,休闲场所,休闲场所,喇叭沟门孙栅子村李营5号,北京市,北京市,怀柔区,116.5070793,40.94858606
北京刘国书农家院,体育休闲服务,休闲场所,休闲场所,孙栅子,北京市,北京市,怀柔区,116.5084455,40.94730712
庞克生农家院,体育休闲服务,休闲场所,休闲场所,喇叭沟门乡孙栅子村,北京市,北京市,怀柔区,116.5084254,40.94728807
