名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
公共厕所,公共设施,公共厕所,公共厕所,京加路东50米,北京市,北京市,怀柔区,116.6233438,41.00238911
公共厕所,公共设施,公共厕所,公共厕所,京加路西50米,北京市,北京市,怀柔区,116.6287951,41.00735572
公共厕所,公共设施,公共厕所,公共厕所,北部喇叭沟门满族乡孙栅子五龙潭原始次生林景区附近,北京市,北京市,怀柔区,116.4939848,40.96124953
公共厕所,公共设施,公共厕所,公共厕所,003乡道南50米,北京市,北京市,怀柔区,116.5683246,40.96768637
公共厕所,公共设施,公共厕所,公共厕所,003乡道附近,北京市,北京市,怀柔区,116.5716601,40.96776851
公共厕所,公共设施,公共厕所,公共厕所,喇叭沟门满族乡孙栅子村西300号北京喇叭沟原始森林公园附近,北京市,北京市,怀柔区,116.4836575,40.9582514
公共厕所,公共设施,公共厕所,公共厕所,喇碾路与017县道交叉口北100米,北京市,北京市,怀柔区,116.4979349,40.95378366
公共厕所,公共设施,公共厕所,公共厕所,京加路东150米,北京市,北京市,怀柔区,116.6298358,40.95258088
公共厕所,公共设施,公共厕所,公共厕所,017县道南50米,北京市,北京市,怀柔区,116.5127725,40.94666008
公共厕所,公共设施,公共厕所,公共厕所,017县道北50米,北京市,北京市,怀柔区,116.5116232,40.94716338
公共厕所,公共设施,公共厕所,公共厕所,017县道北50米,北京市,北京市,怀柔区,116.5379543,40.93895734
公共厕所,公共设施,公共厕所,公共厕所,017县道南50米,北京市,北京市,怀柔区,116.5470511,40.93532128
公共厕所,公共设施,公共厕所,公共厕所,017县道东100米,北京市,北京市,怀柔区,116.5501092,40.93434877
公共厕所,公共设施,公共厕所,公共厕所,017县道北50米,北京市,北京市,怀柔区,116.5832296,40.92441758
公共厕所,公共设施,公共厕所,公共厕所,017县道北50米,北京市,北京市,怀柔区,116.5799513,40.92559913
公共厕所,公共设施,公共厕所,公共厕所,017县道南150米,北京市,北京市,怀柔区,116.5806229,40.92374004
公共厕所,公共设施,公共厕所,公共厕所,道郑路与151乡道交叉口东南50米,北京市,北京市,怀柔区,116.3558808,40.91213228
喇叭沟原始森林风景区-公共厕所,公共设施,公共厕所,公共厕所,庄喇路东50米,北京市,北京市,怀柔区,116.5010219,40.91381167
公共厕所,公共设施,公共厕所,公共厕所,017县道西50米,北京市,北京市,怀柔区,116.5987656,40.91409567
公共厕所,公共设施,公共厕所,公共厕所,瓦勺沟路与道郑路交叉口西北50米,北京市,北京市,怀柔区,116.3610799,40.90480215
喇叭沟原始森林风景区-公共厕所,公共设施,公共厕所,公共厕所,017县道南50米,北京市,北京市,怀柔区,116.6129591,40.90177649
公共厕所,公共设施,公共厕所,公共厕所,道郑路附近,北京市,北京市,怀柔区,116.3671312,40.89499588
喇叭沟原始森林风景区-公共厕所,公共设施,公共厕所,公共厕所,庄喇路北50米,北京市,北京市,怀柔区,116.5197237,40.8948791
喇叭沟原始森林风景区-公共厕所,公共设施,公共厕所,公共厕所,庄喇路南50米,北京市,北京市,怀柔区,116.5555427,40.89207355
喇叭沟原始森林风景区-公共厕所,公共设施,公共厕所,公共厕所,庄喇路南50米,北京市,北京市,怀柔区,116.5620339,40.89116369
喇叭沟原始森林风景区-公共厕所,公共设施,公共厕所,公共厕所,庄喇路附近,北京市,北京市,怀柔区,116.5888637,40.89611677
公共厕所,公共设施,公共厕所,公共厕所,庄喇路南50米,北京市,北京市,怀柔区,116.5892726,40.89621274
公共厕所,公共设施,公共厕所,公共厕所,京加路西50米,北京市,北京市,怀柔区,116.6167258,40.89856063
公共厕所,公共设施,公共厕所,公共厕所,大东路与008乡道交叉口东50米,北京市,北京市,怀柔区,116.6694085,40.88788435
公共厕所,公共设施,公共厕所,公共厕所,151乡道东50米,北京市,北京市,怀柔区,116.377022,40.87799045
公共厕所,公共设施,公共厕所,公共厕所,道德坑村,北京市,北京市,怀柔区,116.4051785,40.87136494
公共厕所,公共设施,公共厕所,公共厕所,京加路西50米,北京市,北京市,怀柔区,116.6432173,40.87759387
公共厕所,公共设施,公共厕所,公共厕所,宝碾公路北50米,北京市,北京市,怀柔区,116.4123746,40.86136424
公共厕所,公共设施,公共厕所,公共厕所,京加路北100米,北京市,北京市,怀柔区,116.6549551,40.86436757
公共厕所,公共设施,公共厕所,公共厕所,京加路北100米对角沟门村民委员会附近,北京市,北京市,怀柔区,116.6539878,40.86419352
公共厕所,公共设施,公共厕所,公共厕所,宝碾公路东50米,北京市,北京市,怀柔区,116.4201973,40.85270837
公共厕所,公共设施,公共厕所,公共厕所,对上路南50米,北京市,北京市,怀柔区,116.6290794,40.85888061
公共厕所,公共设施,公共厕所,公共厕所,京加路北100米,北京市,北京市,怀柔区,116.7020464,40.85419741
公共厕所,公共设施,公共厕所,公共厕所,宝碾公路西50米,北京市,北京市,怀柔区,116.4247367,40.84366207
公共厕所,公共设施,公共厕所,公共厕所,四王路与宝碾公路交叉口西100米,北京市,北京市,怀柔区,116.4699862,40.83175584
公共厕所,公共设施,公共厕所,公共厕所,京加路西100米,北京市,北京市,怀柔区,116.7091686,40.84083278
公共厕所,公共设施,公共厕所,公共厕所,宝碾公路南50米,北京市,北京市,怀柔区,116.4573913,40.82412506
公共厕所,公共设施,公共厕所,公共厕所,006乡道东50米,北京市,北京市,怀柔区,116.5473832,40.83068987
公共厕所,公共设施,公共厕所,公共厕所,061乡道东50米,北京市,北京市,怀柔区,116.6141926,40.8284309
公共厕所,公共设施,公共厕所,公共厕所,061乡道北50米,北京市,北京市,怀柔区,116.6306825,40.82335825
公共厕所,公共设施,公共厕所,公共厕所,三道窝铺村附近,北京市,北京市,怀柔区,116.6295839,40.82306206
公共厕所,公共设施,公共厕所,公共厕所,006乡道东50米,北京市,北京市,怀柔区,116.5556128,40.820988
公共厕所,公共设施,公共厕所,公共厕所,061乡道南50米,北京市,北京市,怀柔区,116.6383831,40.81842334
公共厕所,公共设施,公共厕所,公共厕所,061乡道西50米,北京市,北京市,怀柔区,116.6394385,40.81815083
公共厕所,公共设施,公共厕所,公共厕所,京加路东50米,北京市,北京市,怀柔区,116.7392131,40.81883133
公共厕所,公共设施,公共厕所,公共厕所,滦赤路西200米,北京市,北京市,怀柔区,116.8008849,40.81489801
公共厕所,公共设施,公共厕所,公共厕所,宝碾公路西50米,北京市,北京市,怀柔区,116.4875,40.8050167
公共厕所,公共设施,公共厕所,公共厕所,,北京市,北京市,怀柔区,116.5321952,40.8088825
公共厕所,公共设施,公共厕所,公共厕所,006乡道西50米,北京市,北京市,怀柔区,116.5658094,40.81041436
公共厕所,公共设施,公共厕所,公共厕所,滦赤路西50米,北京市,北京市,怀柔区,116.7692075,40.80180576
公共厕所,公共设施,公共厕所,公共厕所,滦赤路东50米,北京市,北京市,怀柔区,116.8013663,40.81068319
公共厕所,公共设施,公共厕所,公共厕所,006乡道南50米,北京市,北京市,怀柔区,116.5770928,40.79913242
公共厕所,公共设施,公共厕所,公共厕所,061乡道南50米,北京市,北京市,怀柔区,116.6672122,40.79975537
公共厕所,公共设施,公共厕所,公共厕所,兰七路东50米,北京市,北京市,怀柔区,116.6833104,40.79893269
公共厕所,公共设施,公共厕所,公共厕所,京加路西50米,北京市,北京市,怀柔区,116.7442486,40.79204905
