名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
官帽山村,商务住宅,商务住宅相关,商务住宅相关,庄喇路附近,北京市,北京市,怀柔区,116.5850146,40.89557545
北沙滩1号院甲20-7号,商务住宅,住宅区,住宅区,,北京市,北京市,怀柔区,116.7649446,40.82709903
怀柔·长哨营·赵家湾都市型农业产业园,商务住宅,产业园区,产业园区,京加路北50米,北京市,北京市,怀柔区,116.7458114,40.79592104
泰和人家山景四合院别墅,商务住宅,住宅区,住宅区,长哨营满族乡,北京市,北京市,怀柔区,116.7402956,40.79376502
怀柔·长哨营·老西沟都市型农业产业园,商务住宅,产业园区,产业园区,京加路北50米,北京市,北京市,怀柔区,116.7220069,40.7843205
上马沟,商务住宅,住宅区,住宅区,,北京市,北京市,延庆区,116.4829737,40.75174252
北京繁星小院联排别墅,商务住宅,住宅区,住宅区,庄户沟门村,北京市,北京市,怀柔区,116.6236766,40.73183836
东帽湾村文化活动中心,商务住宅,住宅区,社区中心,东兴街北50米东帽湾村村委会附近,北京市,北京市,怀柔区,116.6184957,40.72639835
老道沟,商务住宅,住宅区,住宅区,宝碾公路西100米,北京市,北京市,怀柔区,116.5554725,40.7181525
千家店学校温馨小筑,商务住宅,住宅区,宿舍,东囤路南50米,北京市,北京市,延庆区,116.3388266,40.69091595
东店村38号院,商务住宅,商务住宅相关,商务住宅相关,东囤路与千沙公路交叉口北150米,北京市,北京市,延庆区,116.3422527,40.69427447
鑫鑫鑫家园,商务住宅,住宅区,住宅区,龙湾村50号,北京市,北京市,延庆区,116.3912653,40.6942406
宝山福地1期,商务住宅,住宅区,住宅小区,,北京市,北京市,怀柔区,116.6071102,40.69995425
古北口中学学生宿舍区,商务住宅,住宅区,宿舍,101国道密云区古北口中学附近,北京市,北京市,密云区,117.1580376,40.69150019
古北水镇青山明月居,商务住宅,商务住宅相关,商务住宅相关,河西村西大街四条6号,北京市,北京市,密云区,117.1446751,40.68670662
南菜园小区,商务住宅,住宅区,住宅小区,西横街与101国道交叉口东南100米,北京市,北京市,密云区,117.1571817,40.68652507
长城秀山雅居,商务住宅,住宅区,住宅区,古北口镇古北口民俗文化旅游村,北京市,北京市,密云区,117.1570542,40.68792786
密云区古北口镇教师公寓,商务住宅,住宅区,宿舍,东横街与西横街交叉口南50米,北京市,北京市,密云区,117.1583548,40.68678106
明德苑,商务住宅,住宅区,住宅区,古北口村西队主街20号,北京市,北京市,密云区,117.1645862,40.68398761
南上坡10号院,商务住宅,住宅区,住宅区,东队南北街西100米,北京市,北京市,密云区,117.1659758,40.68395823
雅安居,商务住宅,商务住宅相关,商务住宅相关,,北京市,北京市,密云区,117.1620963,40.68420081
