名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
福鑫缘大超市(国永商店),购物服务,超级市场,超市,京加路与庄喇路交叉口北100米,北京市,北京市,怀柔区,116.617324,40.8972661
益兴超市,购物服务,超级市场,超市,京加路北150米,北京市,北京市,怀柔区,116.7020353,40.85453414
吉笑便民超市,购物服务,超级市场,超市,兰七路与西沟路交叉口东南50米,北京市,北京市,怀柔区,116.7047508,40.84268104
北京斌泰隆超市,购物服务,超级市场,超市,京加路中国邮政,北京市,北京市,怀柔区,116.7409105,40.79129687
天一超市(汤河口大街),购物服务,超级市场,超市,汤河口街22号汤河口,北京市,北京市,怀柔区,116.6360285,40.73448889
风文综合批发超市,购物服务,超级市场,超市,京加路与酒厂东路交叉口西50米,北京市,北京市,怀柔区,116.6355906,40.73417981
大星发超市(番字牌店),购物服务,超级市场,超市,008县道与052乡道交叉口南50米,北京市,北京市,密云区,116.8849127,40.73811127
宝山广场,购物服务,超级市场,超市,川宝路与205县道交叉口东100米,北京市,北京市,怀柔区,116.5570405,40.69301283
国荣超市,购物服务,超级市场,超市,宝山大街与宝山西大街交叉口南50米,北京市,北京市,怀柔区,116.5618905,40.69382713
古北口大众超市,购物服务,超级市场,超市,京密路与头道街交叉口西北200米,北京市,北京市,密云区,117.169951,40.65812817
果菜浓便民店,购物服务,超级市场,超市,松曹路东50米,北京市,北京市,密云区,117.4406967,40.660784
大星发超市(荣利达店),购物服务,超级市场,超市,松曹路东50米,北京市,北京市,密云区,117.3249637,40.63825919
新城子宏运发超市,购物服务,超级市场,超市,松曹路东50米,北京市,北京市,密云区,117.3250674,40.63838491
北京格万佳发超市,购物服务,超级市场,超市,不老屯镇后半路大星发超市西北100米,北京市,北京市,密云区,117.0021419,40.58313568
占齐超市,购物服务,超级市场,超市,琉辛路,北京市,北京市,密云区,117.0394571,40.58039819
峰朝发超市,购物服务,超级市场,超市|购物服务,琉辛路附近,北京市,北京市,密云区,116.9549798,40.56204374
北京佳乐发超市,购物服务,超级市场,超市,不老屯村,北京市,北京市,密云区,116.9722652,40.56608226
大星发超市(兴旺强盛店),购物服务,超级市场,超市,琉辛路北50米,北京市,北京市,密云区,116.9784358,40.56617923
小博士综合超市,购物服务,超级市场,超市,琉辛路与107乡道交叉口西50米,北京市,北京市,密云区,116.980407,40.56557471
马小超市,购物服务,超级市场,超市,琉辛路与107乡道交叉口西150米,北京市,北京市,密云区,116.9796036,40.56567405
大星发超市(东兴店),购物服务,超级市场,超市,京密路与松二路交叉口东50米,北京市,北京市,密云区,117.1442305,40.56079568
太师屯服务区-超市,购物服务,超级市场,超市,太师屯服务区(大广高速公路南),北京市,北京市,密云区,117.1497185,40.55729115
金龙超市(古城大街),购物服务,超级市场,超市,古城大街与旧小路交叉口东南50米,北京市,北京市,延庆区,116.016677,40.54169854
世纪华联超市(旧县店),购物服务,超级市场,超市,旧县村前街1号附近,北京市,北京市,延庆区,116.084089,40.54897802
北京邻家旺迎超市,购物服务,超级市场,超市,密关路附近,北京市,北京市,密云区,116.8158312,40.54394885
太师庄大众超市,购物服务,超级市场,超市,太上路与太城路交叉口西50米,北京市,北京市,密云区,117.1029801,40.54185178
东腾超市,购物服务,超级市场,超市,永安街208-15,北京市,北京市,密云区,117.116481,40.53665139
亿客来超市(永安街),购物服务,超级市场,超市,太师屯镇政府东侧,北京市,北京市,密云区,117.1235894,40.53522993
家旺超市(永安街),购物服务,超级市场,超市,永安街171号附近,北京市,北京市,密云区,117.1187858,40.53648882
孟庆海百货商城,购物服务,商场,普通商场,太师屯镇永安街128号,北京市,北京市,密云区,117.1229037,40.53541201
东方家家超市(壹肆伍分店),购物服务,超级市场,超市,永安街88号附近,北京市,北京市,密云区,117.1242392,40.53455707
太师屯大众超市,购物服务,超级市场,超市,太师屯,北京市,北京市,密云区,117.1219798,40.53519904
温馨同行超市,购物服务,超级市场,超市,永安街100号,北京市,北京市,密云区,117.1237807,40.53471743
军莲鑫商城,购物服务,商场,普通商场,永安街115号,北京市,北京市,密云区,117.1235624,40.53523689
于学良超市,购物服务,超级市场,超市,正阳街与沙太路交叉口南100米,北京市,北京市,密云区,117.1245643,40.53585179
富祥大众超市,购物服务,超级市场,超市,中心街38号,北京市,北京市,密云区,117.1196013,40.53775203
多米多多生活超市(大师屯店),购物服务,超级市场,超市,永安街39号附近,北京市,北京市,密云区,117.1260571,40.53456435
北京太师屯日红超市,购物服务,超级市场,超市,永安街115号,北京市,北京市,密云区,117.1234773,40.53525978
大星发超市顺便看店(太师屯店),购物服务,超级市场,超市,中心街38号,北京市,北京市,密云区,117.120415,40.53782388
华美联生活超市,购物服务,超级市场,超市,S221(八峪路),北京市,北京市,延庆区,116.0684893,40.52414502
淼盛商贸中心,购物服务,商场,普通商场,拱辰街29号临3,北京市,北京市,延庆区,116.1589105,40.52600822
延庆区易金经贸商行,购物服务,商场,普通商场,拱辰街与昌赤路交叉口东100米,北京市,北京市,延庆区,116.1592572,40.52800284
宝云超市,购物服务,超级市场,超市,村线胡同7号,北京市,北京市,延庆区,116.1612955,40.52402866
北京卡迪隆超市,购物服务,超级市场,超市,永宁镇拱辰街87号,北京市,北京市,延庆区,116.1596078,40.52383762
福鑫满楼水果干果超市,购物服务,超级市场,超市,滨河北路靠近延庆区永宁镇盛世营村民委员会,北京市,北京市,延庆区,116.159737,40.52519717
康顺营超市,购物服务,超级市场,超市,,北京市,北京市,密云区,116.9885512,40.52517174
大星发超市(清存店),购物服务,超级市场,超市,芦北公路东200米,北京市,北京市,密云区,117.1351469,40.51903008
苏庄蒋老二超市,购物服务,超级市场,超市,018乡道南50米,北京市,北京市,延庆区,116.0101189,40.50782173
北京家联郡隆超市,购物服务,超级市场,超市,沙太路北50米,北京市,北京市,密云区,117.1682068,40.50881542
大星发超市(铭和店),购物服务,超级市场,超市,华盛路与沙太路交叉口西100米,北京市,北京市,密云区,117.1752975,40.50773909
北庄便民超市,购物服务,超级市场,超市,北庄,北京市,北京市,密云区,117.1703411,40.50778791
世纪华联超市,购物服务,超级市场,超市,下坂泉西十八巷1号,北京市,北京市,延庆区,115.8893661,40.49855085
强盛综合商店,购物服务,商场,普通商场,京银路东50米,北京市,北京市,延庆区,115.9815183,40.49291831
永吉超市,购物服务,超级市场,超市,太师屯镇龙潭沟下湾子村,北京市,北京市,密云区,117.0602877,40.49860125
沈美综合商店,购物服务,超级市场,超市,延琉路南50米,北京市,北京市,延庆区,116.0566953,40.48245662
世纪华联超市,购物服务,超级市场,超市,京银路与西卓家营路交叉口东100米,北京市,北京市,延庆区,115.8537634,40.47793941
华联生活超市东小河屯店,购物服务,超级市场,超市,小河屯路口北200米,北京市,北京市,延庆区,115.9366696,40.48086424
延沈福美乐超市,购物服务,超级市场,超市,沈家营,北京市,北京市,延庆区,116.0398213,40.47976788
溪南发超市,购物服务,超级市场,超市,溪翁庄镇密关路碧水花园,北京市,北京市,密云区,116.8327584,40.47267613
东方家家超市,购物服务,超级市场,超市,密关路与313省道交叉口南200米,北京市,北京市,密云区,116.8336611,40.47267878
晟发超市,购物服务,超级市场,超市,溪翁庄镇商业大街密溪路2-8,北京市,北京市,密云区,116.8334347,40.47256542
快有家,购物服务,超级市场,超市,东顺城街胜芳园物业综合楼1号,北京市,北京市,延庆区,115.9685048,40.46253272
玉林综合商店(广兴街),购物服务,便民商店/便利店,便民商店/便利店|购物服务,广兴街72号,北京市,北京市,延庆区,115.9736924,40.46913713
妫川购物中心,购物服务,商场,普通商场,延庆镇东外大街26号,北京市,北京市,延庆区,115.9708286,40.46164357
百佳商厦,购物服务,商场,普通商场,妫水北街胜芳园商业房1号,北京市,北京市,延庆区,115.9709202,40.46299673
尚书苑便民超市,购物服务,超级市场,超市,广兴街74号附近,北京市,北京市,延庆区,115.9743476,40.4667023
全时便利店(延庆川北小区店),购物服务,超级市场,超市|购物服务,妫水北街人才市场南10米,北京市,北京市,延庆区,115.9716928,40.46186103
双信大型百货商城(恒生店),购物服务,商场,普通商场,高塔街27号,北京市,北京市,延庆区,115.9835041,40.46507094
南搏利水果超市,购物服务,超级市场,超市,新兴小区24号楼,北京市,北京市,延庆区,115.9800026,40.4680841
北京乐聚超市,购物服务,超级市场,超市,东外大街49号5号楼,北京市,北京市,延庆区,115.9928916,40.46536231
井庄慈善爱心超市,购物服务,超级市场,超市,南艾路与西北路交叉口北100米,北京市,北京市,延庆区,116.0881111,40.46884814
世纪华联超市(井庄店),购物服务,超级市场,超市,井三路与西北路交叉口西50米,北京市,北京市,延庆区,116.0895522,40.46374915
二眼综合超市,购物服务,超级市场,超市,延农公路东50米,北京市,北京市,延庆区,115.9440419,40.45551503
世纪华联超市(富百家店),购物服务,超级市场,超市,延庆镇西关村35号,北京市,北京市,延庆区,115.9569088,40.4563621
百货大楼(东街),购物服务,商场,普通商场,东大街29号,北京市,北京市,延庆区,115.9672125,40.4578763
延庆人民商场,购物服务,商场,普通商场,东顺城街16号(近工商银行),北京市,北京市,延庆区,115.9689202,40.45771663
沃尔玛(延庆妫水北街店),购物服务,超级市场,沃尔玛,妫水北街46号金锣湾商业中心B1层,北京市,北京市,延庆区,115.9689328,40.46045642
百货大楼食品超市,购物服务,超级市场,超市,延庆镇东街29号,北京市,北京市,延庆区,115.9671815,40.45813728
全家乐彩综合超市,购物服务,超级市场,超市,草场街与西街交叉口西北50米,北京市,北京市,延庆区,115.9623911,40.45719763
云海车行,购物服务,超级市场,超市,三义庙街与儒林街交叉口东北50米,北京市,北京市,延庆区,115.9669533,40.45783803
北京秀成汇金超市,购物服务,超级市场,超市,三义庙街与儒林街交叉口西南50米,北京市,北京市,延庆区,115.9664429,40.45756255
优品茂车险超市,购物服务,超级市场,超市,自由街北街2号楼南数第2家,北京市,北京市,延庆区,115.9638475,40.45920889
中踏广场,购物服务,商场,普通商场,东外大街111号,北京市,北京市,延庆区,115.9703286,40.45868226
环球新意百货,购物服务,商场,购物中心,妫水北街39号,北京市,北京市,延庆区,115.9698608,40.46040484
惠美商厦,购物服务,商场,普通商场,香水园街道东外大街100号,北京市,北京市,延庆区,115.9736578,40.45933148
双信商城(东关店),购物服务,商场,普通商场,东外大街113号,北京市,北京市,延庆区,115.969575,40.45834752
金锣湾商业中心C座,购物服务,商场,购物中心,妫水北街39号,北京市,北京市,延庆区,115.9691771,40.45963309
超市发超市(东外大街),购物服务,超级市场,超市,延庆镇东外大街111号中踏广场地下1层,北京市,北京市,延庆区,115.9702668,40.45859047
屈臣氏(北京延庆金锣湾店),购物服务,超级市场,屈臣氏,妫水北街39号金锣湾商业中心1层,北京市,北京市,延庆区,115.9698419,40.46030893
华联超市(延庆店),购物服务,超级市场,超市,妫水北街29号延庆大厦,北京市,北京市,延庆区,115.9711317,40.46099999
满家福便民商城,购物服务,超级市场,超市,东外大街13号,北京市,北京市,延庆区,115.9751807,40.46054155
中国移动通信彬焱超市村级代办点,购物服务,超级市场,超市,小营7号楼对面,北京市,北京市,延庆区,115.9832947,40.4584974
日上商厦,购物服务,商场,普通商场,龙庆南路18号,北京市,北京市,延庆区,115.9967509,40.45955803
青龙峡旅游度假区-超市,购物服务,超级市场,超市,大水峪村北500米北京怀柔青龙峡旅游度假区内,北京市,北京市,怀柔区,116.685879,40.45202032
金叵罗嘉轩海红超市,购物服务,超级市场,超市,金溪路南50米,北京市,北京市,密云区,116.8504546,40.45479417
浙青桃山超市,购物服务,超级市场,超市,北西街2号碱厂村,北京市,北京市,密云区,116.9869347,40.45603996
利源百惠超市,购物服务,超级市场,超市,菜园中街南50米,北京市,北京市,延庆区,115.9685101,40.44479216
北京汇金便民超市,购物服务,超级市场,超市,菜园中街北50米,北京市,北京市,延庆区,115.9679169,40.44510568
北京伍富昊盛超市,购物服务,超级市场,超市,颍泽洲小区23-6,北京市,北京市,延庆区,115.9754974,40.44624063
双信超市(南菜园店),购物服务,超级市场,超市,妫水南街颍泽洲小区1层,北京市,北京市,延庆区,115.9758281,40.44847975
聚园综合商店,购物服务,便民商店/便利店,便民商店/便利店|购物服务,延庆镇,北京市,北京市,延庆区,115.971996,40.44478133
妫川旺顺达超市,购物服务,超级市场,超市,南菜园百莲路12-9,北京市,北京市,延庆区,115.9719938,40.44645965
中赢摩点超市,购物服务,超级市场,超市,舜泽园小区1号楼底商602,北京市,北京市,延庆区,115.9709304,40.44551506
北京百泉佳园利民超市,购物服务,超级市场,超市,燕水佳园20-8号,北京市,北京市,延庆区,115.9822952,40.44225616
世纪华联超市(大水峪店),购物服务,超级市场,超市,怀北镇青龙湖旅游度假区旁,北京市,北京市,怀柔区,116.6937651,40.44601437
大星发超市(梓煜祥隆店),购物服务,超级市场,超市,西田各庄,北京市,北京市,密云区,116.7778145,40.44243204
大星发超市(逍伟大众店),购物服务,超级市场,超市,穆家峪镇密古路庄头峪公交站,北京市,北京市,密云区,117.0093135,40.44699493
世纪华联超市(高庙屯店),购物服务,超级市场,超市,司连路东50米,北京市,北京市,延庆区,116.0314109,40.43480174
天仙龙腾超市,购物服务,超级市场,超市,渤海镇国奥乡居西北(田仙峪公交站西北),北京市,北京市,怀柔区,116.5302015,40.43199961
张艳成百货超市,购物服务,超级市场,超市,连花池村108号,北京市,北京市,怀柔区,116.5758148,40.44011465
客来福超市,购物服务,超级市场,超市,韩西路与707乡道交叉口东150米,北京市,北京市,密云区,116.7356719,40.43381369
