名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
北京农商银行(喇叭沟门分理处),金融保险服务,银行,北京农商银行,喇叭沟门满族乡喇叭沟门村,北京市,北京市,怀柔区,116.6171583,40.89679067
北京农商银行(长哨营分理处),金融保险服务,银行,北京农商银行,长哨营满族乡长哨营村西,北京市,北京市,怀柔区,116.7394615,40.79108827
中国工商银行ATM,金融保险服务,自动提款机,中国工商银行ATM,煤电公司工会大楼旁、杨家河社区桥头,北京市,北京市,怀柔区,116.631525,40.76536755
中国人寿保险股份有限公司(怀柔汤河口营销服务部),金融保险服务,保险公司,中国人寿保险公司,汤河口大街18号附近,北京市,北京市,怀柔区,116.6358739,40.73439421
北京农商银行(汤河口支行),金融保险服务,银行,北京农商银行,汤河口镇汤河口大街16号,北京市,北京市,怀柔区,116.6378131,40.73475185
北京农商银行24小时自助银行(汤河口支行),金融保险服务,自动提款机,北京农商银行ATM,汤河口镇汤河口村16号,北京市,北京市,怀柔区,116.6378131,40.73475185
中国邮政储蓄银行(汤河口支行),金融保险服务,银行,中国邮政储蓄银行,汤河口镇汤河口大街11号,北京市,北京市,怀柔区,116.6381782,40.73533982
北京农商银行(千家店分理处),金融保险服务,银行,北京农商银行,东囤路与千沙公路交叉口西南100米,北京市,北京市,延庆区,116.3422269,40.69296943
中国人民保险集团股份有限公司(下德龙湾村三农保险服务点),金融保险服务,保险公司,中国人民保险公司,滦赤路南50米,北京市,北京市,延庆区,116.3893216,40.69558416
北京农商银行(宝山寺分理处),金融保险服务,银行,北京农商银行,宝山镇宝山寺村,北京市,北京市,怀柔区,116.5627867,40.69533624
北京农商银行24小时自助银行(宝山寺分理处),金融保险服务,自动提款机,北京农商银行ATM,宝山镇宝山寺村,北京市,北京市,怀柔区,116.5627857,40.69533424
中国人民保险集团股份有限公司(古北口村三农保险服务点),金融保险服务,保险公司,中国人民保险公司,古北口村,北京市,北京市,密云区,117.1570346,40.69222383
中国人民保险集团股份有限公司(下湾村三农保险服务点),金融保险服务,保险公司,中国人民保险公司,滦赤路西50米,北京市,北京市,延庆区,116.4574566,40.6853087
北京农商银行(古北口分理处),金融保险服务,银行,北京农商银行,古北口镇古北口村,北京市,北京市,密云区,117.1584559,40.68746977
北京农商银行24小时自助银行(古北口分理处),金融保险服务,自动提款机,北京农商银行ATM,东横街与西横街交叉口北100米,北京市,北京市,密云区,117.1584559,40.68747077
中国工商银行离行式自助服务区(北京分行延庆支行白河堡综合检查站),金融保险服务,自动提款机,中国工商银行ATM,白河堡0,北京市,北京市,延庆区,116.1589039,40.65311374
中国工商银行ATM,金融保险服务,自动提款机,中国工商银行ATM,夏家河职业技术学院(穿墙),北京市,北京市,密云区,116.9871698,40.6440808
北京农商银行(上甸子分理处),金融保险服务,银行,北京农商银行,上甸子,北京市,北京市,密云区,117.1109626,40.64776794
中国农业银行ATM(司水路),金融保险服务,自动提款机,中国农业银行ATM,古北口镇古北水镇景区内,北京市,北京市,密云区,117.2623882,40.64478753
中国银行ATM(司水路),金融保险服务,自动提款机,中国银行ATM,古北口镇古北水镇景区内,北京市,北京市,密云区,117.2623952,40.64479552
中国农业银行(密云古北水镇支行),金融保险服务,银行,中国农业银行,古北驿大街009号,北京市,北京市,密云区,117.2598006,40.64463338
中国农业银行ATM(古北驿大街),金融保险服务,自动提款机,中国农业银行ATM,古北口镇古北水镇古北驿大街3号,北京市,北京市,密云区,117.2598935,40.64460634
北京农商银行ATM(曹家路),金融保险服务,自动提款机,北京农商银行ATM,曹家路村村委会,北京市,北京市,密云区,117.4189505,40.64817686
中国工商银行离行式自助服务区(北京分行密云区古北口司马台综合检查站),金融保险服务,自动提款机,中国工商银行ATM,古北口司马台综合检查站,北京市,北京市,密云区,117.2485022,40.63399602
中国人民保险集团股份有限公司(巴各庄村三农保险服务点),金融保险服务,保险公司,中国人民保险公司,巴各庄村,北京市,北京市,密云区,117.2945597,40.63499434
北京农商银行(新城子分理处),金融保险服务,银行,北京农商银行,新城子镇新城子村主街路东,北京市,北京市,密云区,117.3252609,40.63857242
中国邮政储蓄银行(新城子营业所),金融保险服务,银行,中国邮政储蓄银行,新城子村忠文商店西南10米,北京市,北京市,密云区,117.3244981,40.63841599
北京农商银行(琉璃庙分理处),金融保险服务,银行,北京农商银行,琉璃庙村155号,北京市,北京市,怀柔区,116.6451572,40.62644279
北京农商银行24小时自助银行(琉璃庙分理处),金融保险服务,自动提款机,北京农商银行ATM,琉璃庙村155号,北京市,北京市,怀柔区,116.6451572,40.62644279
中国人民保险集团股份有限公司(冯家峪村三农保险服务点),金融保险服务,保险公司,中国人民保险公司,冯家峪村,北京市,北京市,密云区,116.8719583,40.62839779
北京农商银行(高岭支行),金融保险服务,银行,北京农商银行,高岭镇高岭村政府路东侧,北京市,北京市,密云区,117.103841,40.60105267
北京农商银行ATM,金融保险服务,自动提款机,农村商业银行ATM,松曹路西50米,北京市,北京市,密云区,117.2202523,40.60517499
中国人民保险集团股份有限公司(放马峪村三农保险服务点),金融保险服务,保险公司,中国人民保险公司,放马峪村,北京市,北京市,密云区,117.127925,40.59553275
中国信合(芹菜岭分社),金融保险服务,银行,农村商业银行,东石路与琉辛路交叉口西100米,北京市,北京市,密云区,117.0666494,40.57140115
中国人民保险集团股份有限公司(令公村三农保险服务点),金融保险服务,保险公司,中国人民保险公司,令石路北50米,北京市,北京市,密云区,117.2258377,40.57766331
北京农商银行(香营分理处),金融保险服务,银行,北京农商银行,香营乡政府院内,北京市,北京市,延庆区,116.139436,40.56964868
北京农商银行24小时自助银行(香营分理处),金融保险服务,自动提款机,北京农商银行ATM,香营乡政府院内,北京市,北京市,延庆区,116.139436,40.56964868
北京农商银行(刘斌堡分理处),金融保险服务,银行,北京农商银行,刘斌堡乡刘斌堡村东,北京市,北京市,延庆区,116.2209938,40.56667409
北京农商银行24小时自助银行,金融保险服务,自动提款机,北京农商银行ATM,不老屯,北京市,北京市,密云区,116.9555496,40.56231619
北京农商银行24小时自助银行(密云支行不老屯分理处),金融保险服务,自动提款机,北京农商银行ATM,不老屯镇政府(琉辛路西),北京市,北京市,密云区,116.9717395,40.56614273
中国邮政储蓄银行(不老屯支行),金融保险服务,银行,中国邮政储蓄银行,不老屯镇不老屯村政府南侧,北京市,北京市,密云区,116.9716271,40.56502268
北京农商银行(不老屯分理处),金融保险服务,银行,北京农商银行,不老屯镇政府东侧,北京市,北京市,密云区,116.9717325,40.56614375
北京农商银行,金融保险服务,银行,北京农商银行,珍珠泉乡机关院内,北京市,北京市,延庆区,116.4154403,40.5551404
北京农商银行24小时自助银行,金融保险服务,自动提款机,北京农商银行ATM,珍珠泉山庄附近,北京市,北京市,延庆区,116.4154403,40.5551404
汛期避险平台,金融保险服务,金融保险服务机构,金融保险机构,后山铺村云蒙山国家森林公园内,北京市,北京市,密云区,116.685883,40.55356738
北京农商银行(旧县支行),金融保险服务,银行,北京农商银行,旧县镇村北侧,北京市,北京市,延庆区,116.0822842,40.54830409
北京农商银行24小时自助银行(旧县支行),金融保险服务,自动提款机,北京农商银行ATM,旧县镇村北侧,北京市,北京市,延庆区,116.0822842,40.54830509
中国邮政储蓄银行(旧县支行),金融保险服务,银行,中国邮政储蓄银行,旧县镇旧县村,北京市,北京市,延庆区,116.0828899,40.54992796
中国邮政储蓄银行ATM(旧县支行),金融保险服务,自动提款机,中国邮政储蓄银行ATM,旧县镇旧县村,北京市,北京市,延庆区,116.0828929,40.54992896
北京农商银行(石城分理处),金融保险服务,银行,北京农商银行,密关路东50米,北京市,北京市,密云区,116.8153618,40.53983316
北京农商银行24小时自助银行(石城分理处),金融保险服务,自动提款机,北京农商银行ATM,近郊中国北京市密云县石城政府,北京市,北京市,密云区,116.8153869,40.53987218
中华联合保险(密古公路),金融保险服务,保险公司,保险公司,正阳街17附近,北京市,北京市,密云区,117.1251249,40.53648916
中国邮政储蓄银行ATM(永安街),金融保险服务,自动提款机,中国邮政储蓄银行ATM,邮政储蓄银行太师屯支行,北京市,北京市,密云区,117.1206485,40.53601409
盛禄祥和投资管理(太师屯第一分公司),金融保险服务,金融保险服务机构,金融保险机构,正阳街15附近,北京市,北京市,密云区,117.1253741,40.53685029
北京农商银行(太师屯分理处),金融保险服务,银行,北京农商银行,太师屯,北京市,北京市,密云区,117.1195905,40.53620583
北京农商银行24小时自助银行(太师屯分理处),金融保险服务,自动提款机,北京农商银行ATM,农村商业银行太师屯分理处中心街,北京市,北京市,密云区,117.1196025,40.53619984
中国人民财产保险股份有限公司(永宁镇三农服务站),金融保险服务,保险公司,中国人民保险公司,小后街2号附近,北京市,北京市,延庆区,116.156657,40.52725743
北京农商银行(永宁支行),金融保险服务,银行,北京农商银行,永宁镇北门口,北京市,北京市,延庆区,116.1598068,40.52771501
中国农业银行(北京延庆永宁支行),金融保险服务,银行,中国农业银行,永宁镇北门外,北京市,北京市,延庆区,116.1590296,40.52761062
中国农业银行24小时自助银行(永宁支行),金融保险服务,自动提款机,中国农业银行ATM,永宁镇北门外,北京市,北京市,延庆区,116.1590346,40.52761063
中国邮政储蓄银行(永宁支行),金融保险服务,银行,中国邮政储蓄银行,永宁镇南街,北京市,北京市,延庆区,116.1605977,40.52271702
北京农商银行24小时自助银行(永宁支行),金融保险服务,自动提款机,北京农商银行ATM,永宁镇北门口,北京市,北京市,延庆区,116.1598068,40.52771401
北京市农村商业银行(四海分理处),金融保险服务,银行,农村商业银行,四海村中心,北京市,北京市,延庆区,116.4060508,40.52512416
中国人民保险集团股份有限公司(东龙湾村三农保险服务点),金融保险服务,保险公司,中国人民保险公司,中街二巷与中街六巷交叉口西150米附近,北京市,北京市,延庆区,116.0923228,40.51300418
中国工商银行离行式自助服务区(北京分行延庆支行93762部队),金融保险服务,自动提款机,中国工商银行ATM,永宁镇0,北京市,北京市,延庆区,116.0987915,40.51738698
中国工商银行离行式自助服务区(北京分行延庆支行苏庄村百果园度假村),金融保险服务,自动提款机,中国工商银行ATM,苏庄村0,北京市,北京市,延庆区,116.0107876,40.50813462
中国人民保险集团股份有限公司(永安堡村三农保险服务点),金融保险服务,保险公司,中国人民保险公司,永安堡村152,北京市,北京市,延庆区,116.4412065,40.50264868
北京云水花溪酒店投资管理有限公司,金融保险服务,金融保险服务机构,金融保险机构,水库西线公路176,北京市,北京市,密云区,116.8106621,40.50749293
北京农商银行(北庄分理处),金融保险服务,银行,北京农商银行,沙太路附近,北京市,北京市,密云区,117.1694203,40.50805106
北京介直投资有限公司,金融保险服务,金融保险服务机构,金融保险机构,北庄村华盛路142号政府办公楼223室-780,北京市,北京市,密云区,117.1744378,40.50833822
北京农商银行24小时自助银行(密云支行北庄分理处),金融保险服务,自动提款机,北京农商银行ATM,华盛路33号,北京市,北京市,密云区,117.1694193,40.50805106
中国工商银行离行式自助服务区(北京分行延庆支行91917部队),金融保险服务,自动提款机,中国工商银行ATM,沈家营镇0,北京市,北京市,延庆区,116.0249995,40.49407949
中国邮政储蓄银行(张山营营业所),金融保险服务,银行,中国邮政储蓄银行,张山营镇张山营村,北京市,北京市,延庆区,115.8533013,40.47760487
北京农商银行(张山营支行),金融保险服务,银行,北京农商银行,张山营村南,北京市,北京市,延庆区,115.8553503,40.47784077
北京农商银行24小时自助银行(张山营支行),金融保险服务,自动提款机,北京农商银行ATM,张山营,北京市,北京市,延庆区,115.8553432,40.47782977
中国农业银行ATM,金融保险服务,自动提款机,中国农业银行ATM,妫水北街1号,北京市,北京市,延庆区,115.9672532,40.47467287
工商银行北京分行延庆支行人民检察院夏都会议中心离行式自助服务区,金融保险服务,自动提款机,中国工商银行ATM,人民检察院案0,北京市,北京市,延庆区,115.9734903,40.47550189
中国工商银行自助银行(北京市延庆县地税局C类),金融保险服务,自动提款机,中国工商银行ATM,区地税局,北京市,北京市,延庆区,115.9832949,40.47195455
投资信贷咨询,金融保险服务,金融保险服务机构,金融保险机构,庆园街南100米,北京市,北京市,延庆区,115.9804796,40.47115433
北京名之源投资管理有限公司,金融保险服务,金融保险服务机构,金融保险机构,庆圆街新兴小区51号楼底商,北京市,北京市,延庆区,115.9813327,40.47134969
北京鑫盛峰岭投资有限公司(北京市延庆区妇幼保健院东),金融保险服务,金融保险服务机构,金融保险机构,庆园街南100米,北京市,北京市,延庆区,115.9802903,40.47116389
中国工商银行自助银行,金融保险服务,自动提款机,中国工商银行ATM,沈家营镇91290部队院内,北京市,北京市,延庆区,116.039116,40.48019326
北京农商银行(沈家营分理处),金融保险服务,银行,北京农商银行,323省道与001县道交叉口西北侧50米,北京市,北京市,延庆区,116.0399869,40.48028328
北京农商银行24小时自助银行(沈家营分理处),金融保险服务,自动提款机,北京农商银行ATM,延琉路与沈韩路交叉口西50米,北京市,北京市,延庆区,116.0399859,40.48028328
北京白道峪投资管理有限公司,金融保险服务,金融保险服务机构,金融保险机构,河北路北150米,北京市,北京市,密云区,116.760284,40.47879487
中国农业银行(水库支行),金融保险服务,银行,中国农业银行,环湖路8号,北京市,北京市,密云区,116.8365262,40.47358654
中国农业银行24小时自助银行(北京密云水库支行),金融保险服务,自动提款机,中国农业银行ATM,环湖路8号,北京市,北京市,密云区,116.8365262,40.47358554
溪翁庄邮政储蓄24小时自助银行,金融保险服务,自动提款机,中国邮政储蓄银行ATM,中国邮政(水库南线南),北京市,北京市,密云区,116.8387973,40.47311179
北京诚信通保险代理有限公司(密云第五营业部),金融保险服务,保险公司,保险公司,密关路西50米,北京市,北京市,密云区,116.8328517,40.47171573
中国邮政储蓄银行(溪翁庄营业所),金融保险服务,银行,中国邮政储蓄银行,溪翁庄镇溪翁庄村水库医院斜对面,北京市,北京市,密云区,116.8387983,40.47311179
中国工商银行(辉煌假日酒店离行式自助服务区),金融保险服务,自动提款机,中国工商银行ATM,辉煌假日酒店,北京市,北京市,延庆区,115.8146881,40.46202958
