名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
喇叭沟原始森林风景区-白桦林景区,风景名胜,风景名胜,风景名胜,喇叭沟门满族乡红螺凤凰台观光区,北京市,北京市,怀柔区,116.47545,40.96251398
红螺凤凰台观光区,风景名胜,风景名胜,风景名胜,017县道,北京市,北京市,怀柔区,116.4757993,40.96299956
五龙潭原始次生林景区,风景名胜,风景名胜,风景名胜,北部喇叭沟门满族乡孙栅子,北京市,北京市,怀柔区,116.4936565,40.96156428
红螺五龙潭观光区,风景名胜,风景名胜,风景名胜,北喇叭沟门,北京市,北京市,怀柔区,116.4941551,40.96332827
喇叭沟原始森林风景区-凤凰台景区,风景名胜,风景名胜,风景名胜,,北京市,北京市,怀柔区,116.4862425,40.95732482
北京喇叭沟原始森林公园,风景名胜,风景名胜,风景名胜,喇叭沟门满族乡孙栅子村西300号,北京市,北京市,怀柔区,116.4835601,40.95819016
五龙潭,风景名胜,风景名胜,风景名胜,喇碾路与017县道交叉口东北100米,北京市,北京市,怀柔区,116.4983304,40.95401364
夏凉宫B区,风景名胜,风景名胜,风景名胜,孙栅子村西500米,北京市,北京市,怀柔区,116.4909888,40.95661153
红螺夏凉宫,风景名胜,风景名胜,风景名胜,喇叭沟门,北京市,北京市,怀柔区,116.4962836,40.95344602
喇叭沟原始森林风景区(暂停营业),风景名胜,风景名胜,风景名胜,北喇叭沟门满族乡孙栅子(喇叭沟原始森林公园),北京市,北京市,怀柔区,116.5106873,40.94310215
龙泉,风景名胜,风景名胜,风景名胜,017县道南100米,北京市,北京市,怀柔区,116.5237468,40.94605867
喇叭沟原始森林风景区-冰川景区,风景名胜,风景名胜,风景名胜,喇碾路西50米,北京市,北京市,怀柔区,116.4781321,40.93859298
千总府,风景名胜,风景名胜,风景名胜,017县道东100米,北京市,北京市,怀柔区,116.5500681,40.93454453
北京高寒植物园,风景名胜,公园广场,植物园,喇嘛沟门满族乡X017,北京市,北京市,怀柔区,116.5517689,40.93281799
喇叭沟门白桦谷,风景名胜,风景名胜,风景名胜,喇叭沟门满族乡,北京市,北京市,怀柔区,116.6011958,40.89882763
满韵旗风,风景名胜,风景名胜,风景名胜,喇叭沟门满族乡喇叭沟门村2号喇叭沟门满族民俗博物馆附近,北京市,北京市,怀柔区,116.6153498,40.90027255
八旗文化广场,风景名胜,公园广场,城市广场,喇叭沟门,北京市,北京市,怀柔区,116.6168444,40.9004779
龙门店森林公园,风景名胜,公园广场,公园,宝碾公路南100米,北京市,北京市,怀柔区,116.42126,40.89013954
道德坑红色旅游基地,风景名胜,风景名胜,风景名胜,宝山镇道德坑村村东北1000米处,北京市,北京市,怀柔区,116.4082982,40.87432695
大冰沟,风景名胜,风景名胜,风景名胜,,北京市,北京市,怀柔区,116.3843567,40.8688083
老爷庙,风景名胜,风景名胜相关,旅游景点,庄喇路附近,北京市,北京市,怀柔区,116.5373884,40.84700885
雪梨公园,风景名胜,公园广场,公园,庄喇路与006乡道交叉口北150米,北京市,北京市,怀柔区,116.5401237,40.84131552
七星关,风景名胜,风景名胜,风景名胜,京加路附近,北京市,北京市,怀柔区,116.7130769,40.83307946
八股山,风景名胜,风景名胜,风景名胜,006乡道西50米,北京市,北京市,怀柔区,116.5201392,40.80033834
银河谷市级森林公园,风景名胜,公园广场,公园,,北京市,北京市,怀柔区,116.5576829,40.7631015
柏泉墅休闲谷,风景名胜,公园广场,公园,长司公路,北京市,北京市,怀柔区,116.8140638,40.76957903
祥云寺,风景名胜,风景名胜,寺庙道观,008县道和长司公路的交叉口,北京市,北京市,密云区,116.8647765,40.76813893
关帝庙,风景名胜,风景名胜,寺庙道观,花盆中心对面,北京市,北京市,延庆区,116.3852883,40.75560888
娘娘庙,风景名胜,风景名胜,寺庙道观,花盆中心对面关帝庙内,北京市,北京市,延庆区,116.3852412,40.75609054
百里山水画廊-花盆森林公园,风景名胜,公园广场,公园,东店村153号北京百里山水画廊内,北京市,北京市,延庆区,116.3849646,40.75451086
椴槐沟,风景名胜,风景名胜相关,旅游景点,,北京市,北京市,怀柔区,116.7388392,40.75130896
侯殿义民俗户,风景名胜,风景名胜相关,旅游景点,冯家峪镇西苍峪村32号,北京市,北京市,密云区,116.8563909,40.76044089
西苍峪金瓜谷,风景名胜,风景名胜,风景名胜,冯家峪镇西苍峪村下仓峪村,北京市,北京市,密云区,116.8594317,40.76035215
千年大榆树京北长寿村,风景名胜,风景名胜相关,旅游景点,大榆树村,北京市,北京市,怀柔区,116.5819665,40.74856097
黄粱根金鱼泉,风景名胜,风景名胜,风景名胜,黄梁根村黄梁根,北京市,北京市,密云区,116.867695,40.74662653
黄粱根映山红峡谷,风景名胜,风景名胜,风景名胜,冯家峪镇黄梁根村委会向西100米,北京市,北京市,密云区,116.8673856,40.74710583
银河谷生态观光园,风景名胜,风景名胜,风景名胜,滦赤路与006乡道交叉口北200米,北京市,北京市,怀柔区,116.6254949,40.73279135
京螺汤河一川漂流,风景名胜,风景名胜,风景名胜,汤河口镇汤河口大街63号,北京市,北京市,怀柔区,116.6342538,40.7337502
番字石刻,风景名胜,风景名胜,风景名胜,番字牌,北京市,北京市,密云区,116.8851777,40.7384941
天河第一瀑,风景名胜,风景名胜,风景名胜,,北京市,北京市,怀柔区,116.6120665,40.72680423
天河漂流(暂停营业),风景名胜,风景名胜相关,旅游景点,白河漂流上游,北京市,北京市,怀柔区,116.6183869,40.72636749
天河水韵,风景名胜,公园广场,公园,滦赤路南50米,北京市,北京市,怀柔区,116.6118755,40.72908172
天河川滨水公园,风景名胜,公园广场,公园,天河川滨水公园(滦赤路东),北京市,北京市,怀柔区,116.6097227,40.72611161
怀柔汤河廉政文化公园,风景名胜,公园广场,公园,,北京市,北京市,怀柔区,116.6240882,40.7283654
北京市汤河口湿地公园,风景名胜,公园广场,公园,汤河口环岛与滦赤路交叉口东150米,北京市,北京市,怀柔区,116.6346761,40.73103155
大峪沟门,风景名胜,风景名胜相关,旅游景点,,北京市,北京市,密云区,116.9021923,40.71562612
白马关古城堡,风景名胜,风景名胜,风景名胜,白马关村白马关,北京市,北京市,密云区,116.9100151,40.71352293
白马天涯公园,风景名胜,公园广场,公园,008县道南50米,北京市,北京市,密云区,116.9207273,40.71259204
百里山水画廊-九龙山,风景名胜,风景名胜,风景名胜,木化石路东端硅化木国家地质公园内,北京市,北京市,延庆区,116.388549,40.70201286
百里山水画廊-硅化木保护展示区,风景名胜,风景名胜,风景名胜,木化石路东端硅化木国家地质公园内,北京市,北京市,延庆区,116.3873436,40.70078416
乌龙峡,风景名胜,风景名胜相关,旅游景点,千家店镇下湾村,北京市,北京市,延庆区,116.4448496,40.70488239
龙王庙,风景名胜,风景名胜,寺庙道观,千家店镇沙梁子乡四潭沟村西,北京市,北京市,延庆区,116.4530988,40.70202256
五仙殿,风景名胜,风景名胜,风景名胜,龙王庙内,北京市,北京市,延庆区,116.4529904,40.70224015
药王殿,风景名胜,风景名胜,风景名胜,龙王庙内,北京市,北京市,延庆区,116.452846,40.7022598
百里山水画廊-龙栖湖,风景名胜,风景名胜,风景名胜,千家店镇沙梁子地区乌龙峡谷景区内,北京市,北京市,延庆区,116.452467,40.70118868
黑龙潭冰灯,风景名胜,风景名胜,风景名胜,石城镇大关桥,北京市,北京市,延庆区,116.450543,40.70262527
乌龙峡谷景区(出口),风景名胜,风景名胜相关,旅游景点,千家店镇沙梁子地区乌龙峡谷景区内,北京市,北京市,延庆区,116.4529002,40.7017343
宝山八景之盘道瑶台,风景名胜,风景名胜,风景名胜,盘道沟村村西南侧,北京市,北京市,怀柔区,116.5188757,40.70721304
宝山八景之牤牛岚壑,风景名胜,风景名胜,风景名胜,宝山镇盘道沟牤牛沟村村口西边,北京市,北京市,怀柔区,116.5349352,40.70679918
宝山福地,风景名胜,风景名胜,风景名胜,鸽子堂58号,北京市,北京市,怀柔区,116.6186307,40.70861907
鸽子堂广场,风景名胜,公园广场,公园广场,鸽子堂村,北京市,北京市,怀柔区,116.6188802,40.70891159
长城,风景名胜,风景名胜,风景名胜,,北京市,北京市,密云区,116.8909942,40.70312163
百里山水画廊-朝阳寺,风景名胜,风景名胜,寺庙道观,西店村西朝阳寺,北京市,北京市,延庆区,116.3268765,40.69302786
百里山水画廊-朝阳寺牌坊,风景名胜,风景名胜,风景名胜,西店村西朝阳寺内,北京市,北京市,延庆区,116.3279622,40.69120505
百里山水画廊-白仙庙,风景名胜,风景名胜,风景名胜,西店村西朝阳寺内,北京市,北京市,延庆区,116.3282484,40.69282937
百里山水画廊-韦陀庙,风景名胜,风景名胜,风景名胜,西店村西朝阳寺内,北京市,北京市,延庆区,116.3281396,40.69287255
百里山水画廊-灵官庙,风景名胜,风景名胜,风景名胜,西店村西朝阳寺内,北京市,北京市,延庆区,116.3281667,40.69184122
百里山水画廊-佛殿,风景名胜,风景名胜,风景名胜,西店村西朝阳寺内,北京市,北京市,延庆区,116.3282104,40.69299533
百里山水画廊-娘娘殿,风景名胜,风景名胜,风景名胜,西店村西朝阳寺内,北京市,北京市,延庆区,116.3281346,40.69285257
百里山水画廊-阎王殿,风景名胜,风景名胜,风景名胜,西店村西朝阳寺内,北京市,北京市,延庆区,116.3280358,40.69290672
百里山水画廊-朝阳寺下处,风景名胜,风景名胜,风景名胜,西店村西朝阳寺内,北京市,北京市,延庆区,116.3285517,40.69270288
百里山水画廊-戏楼,风景名胜,风景名胜,风景名胜,西店村西朝阳寺内,北京市,北京市,延庆区,116.3277466,40.6921608
百里山水画廊-鼓楼,风景名胜,风景名胜,风景名胜,西店村西朝阳寺内,北京市,北京市,延庆区,116.3278892,40.69264019
百里山水画廊-火神殿,风景名胜,风景名胜,风景名胜,西店村西朝阳寺内,北京市,北京市,延庆区,116.3280767,40.6929746
