名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
成都长乐家玉林商圈精致公寓分店,住宿服务,住宿服务相关,住宿服务相关,九峰山风景名胜区,四川省,成都市,彭州市,103.8687426,31.38399592
彭州金坪山庄,住宿服务,住宿服务相关,住宿服务相关,龙门山镇九峰村16组,四川省,成都市,彭州市,103.8849249,31.33853082
九峰·银河湾,住宿服务,旅馆招待所,旅馆招待所,彭白路附近,四川省,成都市,彭州市,103.8799139,31.33104981
响水洞山庄,住宿服务,宾馆酒店,宾馆酒店,彭白路附近,四川省,成都市,彭州市,103.8727919,31.31806075
丹卉山庄,住宿服务,宾馆酒店,宾馆酒店,彭白路附近,四川省,成都市,彭州市,103.87397,31.3227273
楼外楼山庄,住宿服务,住宿服务相关,住宿服务相关,彭白路附近,四川省,成都市,彭州市,103.8758517,31.32590503
彭州凤祥山庄,住宿服务,住宿服务相关,住宿服务相关,龙门山镇九峰村十四组,四川省,成都市,彭州市,103.8720262,31.3167584
彭州市龙门山镇景鸿山庄,住宿服务,宾馆酒店,宾馆酒店,九峰村8组,四川省,成都市,彭州市,103.8556104,31.29991387
石山沟度假屋(九峰村店),住宿服务,住宿服务相关,住宿服务相关,九峰村8组彭白路221号(村委会附近北边20米),四川省,成都市,彭州市,103.8617678,31.3004767
九云天,住宿服务,住宿服务相关,住宿服务相关,彭白路北150米,四川省,成都市,彭州市,103.8595846,31.3007495
彭州君来避暑雅居,住宿服务,住宿服务相关,住宿服务相关,龙门山镇风景区内(近宝山二路),四川省,成都市,彭州市,103.7673066,31.29065366
石山沟度假屋,住宿服务,住宿服务相关,住宿服务相关,,四川省,成都市,彭州市,103.8472686,31.2887416
彭州市龙门山镇鑫港山庄,住宿服务,住宿服务相关,住宿服务相关,彭白路偏坡坪,四川省,成都市,彭州市,103.8493442,31.29184789
彭州九银山庄,住宿服务,住宿服务相关,住宿服务相关,龙门山镇九峰村7组,四川省,成都市,彭州市,103.8533979,31.29693254
彭州惠众幸福城养身度假酒店,住宿服务,住宿服务相关,住宿服务相关,九峰村十七组102号,四川省,成都市,彭州市,103.8198104,31.28147707
彭州凤鸣湖双喜农家乐,住宿服务,住宿服务相关,住宿服务相关,龙门山镇风景区,四川省,成都市,彭州市,103.7722148,31.27561254
彭州广金坝农家乐,住宿服务,住宿服务相关,住宿服务相关,团山村罗圈湾(近九银桥),四川省,成都市,彭州市,103.8215304,31.26781784
金螺湾山庄,住宿服务,住宿服务相关,住宿服务相关,九银桥北侧,四川省,成都市,彭州市,103.8207485,31.27478752
回龙山庄,住宿服务,宾馆酒店,宾馆酒店,龙门镇,四川省,成都市,彭州市,103.7860704,31.25740331
