名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
银厂沟度假村,体育休闲服务,度假疗养场所,度假村,龙门山风景旅游区附近,四川省,成都市,彭州市,103.8814888,31.33765378
山里人家避暑山庄,体育休闲服务,度假疗养场所,度假村,龙门山镇九峰村龙门山风景旅游区银厂沟内九峰山风景名胜区-接引禅院附近,四川省,成都市,彭州市,103.8846047,31.33934834
文庭山庄,体育休闲服务,度假疗养场所,度假村,银龙山庄附近,四川省,成都市,彭州市,103.8813506,31.33925013
彭州市龙门山镇龙腾山庄,体育休闲服务,休闲场所,休闲场所,九峰村16组,四川省,成都市,彭州市,103.8891897,31.34010955
贵冰休闲苑,体育休闲服务,体育休闲服务场所,体育休闲服务场所,彭白路附近,四川省,成都市,彭州市,103.8755133,31.32720325
彭州市龙门山镇卧龙谷步高苑休闲庄,体育休闲服务,休闲场所,休闲场所,九峰村15组,四川省,成都市,彭州市,103.8782116,31.32992578
碧海山庄,体育休闲服务,度假疗养场所,度假村,小夫路,四川省,成都市,彭州市,103.8805374,31.33117027
怡景山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,,四川省,成都市,彭州市,103.8802321,31.33161987
金秋苑休闲庄,体育休闲服务,休闲场所,休闲场所,龙门山镇九峰村十五组43号,四川省,成都市,彭州市,103.8783847,31.33128446
梦之缘山庄,体育休闲服务,休闲场所,休闲场所,,四川省,成都市,彭州市,103.8789481,31.33184974
狮子包休闲庄,体育休闲服务,度假疗养场所,度假村,彭白路附近,四川省,成都市,彭州市,103.8796597,31.33150745
卧龙谷满天星山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,彭白路附近,四川省,成都市,彭州市,103.8768175,31.32596691
贵冰休闲庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,彭白路附近,四川省,成都市,彭州市,103.87738,31.32624933
九峰山红房子休闲山庄,体育休闲服务,休闲场所,休闲场所,九峰山卧龙谷景区,四川省,成都市,彭州市,103.8540164,31.31020453
波斯湾休闲山庄,体育休闲服务,休闲场所,休闲场所,龙门山镇宝山村龙门山风景旅游区内,四川省,成都市,彭州市,103.8668612,31.31278283
逸墅山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,彭白路附近,四川省,成都市,彭州市,103.8672658,31.31300925
汇溪山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,彭白路附近,四川省,成都市,彭州市,103.867501,31.31326144
海汇山庄,体育休闲服务,度假疗养场所,度假村,彭白路附近,四川省,成都市,彭州市,103.8679316,31.31348989
彭州市虹燕休闲山庄,体育休闲服务,休闲场所,休闲场所,彭白路,四川省,成都市,彭州市,103.870036,31.31510178
清凉阁避暑山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,彭白路九峰村12组10号,四川省,成都市,彭州市,103.8687986,31.31403073
牟家寨避暑山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,彭白路附近,四川省,成都市,彭州市,103.8693272,31.31478008
高三姐农家乐,体育休闲服务,休闲场所,休闲场所,九峰村4组,四川省,成都市,彭州市,103.8567052,31.29931877
彭州市龙门山镇赵三姐休闲庄,体育休闲服务,休闲场所,休闲场所,九峰村14组,四川省,成都市,彭州市,103.8556054,31.29992786
彭州市龙门山镇千山阁休闲山庄,体育休闲服务,休闲场所,休闲场所,九峰村6组,四川省,成都市,彭州市,103.8555974,31.29990386
仙客来避暑山庄,体育休闲服务,度假疗养场所,度假村,如意家苑附近,四川省,成都市,彭州市,103.8536664,31.29708691
九陇印象,体育休闲服务,体育休闲服务场所,体育休闲服务场所,九峰村10组,四川省,成都市,彭州市,103.8630766,31.30343138
彭州市龙门山镇鹏程农家乐,体育休闲服务,休闲场所,休闲场所,九峰村10组,四川省,成都市,彭州市,103.8630335,31.30292951
九峰永洪山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,彭白路南100米,四川省,成都市,彭州市,103.8613563,31.29943852
九峰牟苑山庄,体育休闲服务,休闲场所,休闲场所,九峰村10组,四川省,成都市,彭州市,103.8596796,31.30347461
彭州市龙门山镇留宿山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,九峰村10组17号,四川省,成都市,彭州市,103.8587723,31.30363822
彭州市龙门山镇莹秋苑休闲庄,体育休闲服务,休闲场所,休闲场所,九峰村10组,四川省,成都市,彭州市,103.8650221,31.30581007
三合缘农家乐,体育休闲服务,休闲场所,休闲场所,龙门山镇九峰村7组,四川省,成都市,彭州市,103.8432461,31.2916035
芳馨避暑山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,彭白路西100米,四川省,成都市,彭州市,103.8457056,31.29208961
贤云居,体育休闲服务,休闲场所,休闲场所,龙门山镇九峰村7组,四川省,成都市,彭州市,103.8454682,31.29176533
佳瑶休闲庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,彭白路西50米,四川省,成都市,彭州市,103.8438444,31.28774506
彭州市龙门山镇山水龙门休闲庄,体育休闲服务,休闲场所,休闲场所,九峰村4组,四川省,成都市,彭州市,103.8444475,31.28765416
景鸿山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,,四川省,成都市,彭州市,103.8501796,31.29262298
彭州市龙门山镇九峰村九银山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,彭白路附近彭州市龙门山镇九峰村九银山庄,四川省,成都市,彭州市,103.8524874,31.29656123
彭州市东林颐养避暑山庄,体育休闲服务,度假疗养场所,度假村,彭白路西50米,四川省,成都市,彭州市,103.8197523,31.281385
成都市九峰颐养中心,体育休闲服务,体育休闲服务场所,体育休闲服务场所,龙门山镇九峰村十七组100号,四川省,成都市,彭州市,103.8198094,31.28148407
探索之旅户外拓展(彭州-东林寺)基地,体育休闲服务,体育休闲服务场所,体育休闲服务场所,彭白路北50米东林佳苑附近,四川省,成都市,彭州市,103.8208283,31.28378806
凌绝顶避暑山庄,体育休闲服务,休闲场所,休闲场所,,四川省,成都市,彭州市,103.8205039,31.27768789
松韵体闲庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,彭白路北50米,四川省,成都市,彭州市,103.8325486,31.28567033
千山阁休闲山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,彭白路南200米,四川省,成都市,彭州市,103.8415292,31.28470416
千山阁农家避暑山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,彭白路南200米,四川省,成都市,彭州市,103.8414791,31.28472406
戊门山度假村,体育休闲服务,度假疗养场所,度假村,彭白路东100米,四川省,成都市,彭州市,103.8436461,31.28630928
天生桥度假村,体育休闲服务,度假疗养场所,度假村,宝山二路附近,四川省,成都市,彭州市,103.7797812,31.2702943
猪坚强避暑山庄,体育休闲服务,休闲场所,休闲场所,,四川省,成都市,彭州市,103.8081665,31.26864005
银秀山庄,体育休闲服务,休闲场所,休闲场所,彭白路,四川省,成都市,彭州市,103.8205321,31.27361159
天然居山庄,体育休闲服务,度假疗养场所,度假村,银白公路,四川省,成都市,彭州市,103.8198368,31.27326044
军港山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,龙门山镇九峰村2组彭白路,四川省,成都市,彭州市,103.8207185,31.27472949
青瓦台避暑山庄,体育休闲服务,休闲场所,休闲场所,彭白路西50米,四川省,成都市,彭州市,103.8207485,31.27478752
金坪度假村,体育休闲服务,体育休闲服务场所,体育休闲服务场所,,四川省,成都市,彭州市,103.8276075,31.26883885
彭州东鑫苑农家乐,体育休闲服务,休闲场所,休闲场所,龙门山镇风景区,四川省,成都市,彭州市,103.7856628,31.25774963
彭州自然居农家乐,体育休闲服务,休闲场所,休闲场所,团山村4组17号,四川省,成都市,彭州市,103.8076159,31.25767566
沁春苑农家乐,体育休闲服务,休闲场所,休闲场所,龙门山镇莲池寺,四川省,成都市,彭州市,103.8075819,31.25714282
桃坪农家乐,体育休闲服务,体育休闲服务场所,体育休闲服务场所,彭白路北50米附近,四川省,成都市,彭州市,103.818278,31.26660127
米家大院,体育休闲服务,休闲场所,休闲场所,彭白路北50米,四川省,成都市,彭州市,103.818773,31.26666816
龙门山天策颐养中心,体育休闲服务,体育休闲服务场所,体育休闲服务场所,彭白路附近,四川省,成都市,彭州市,103.8191988,31.26624013
姐弟农家乐,体育休闲服务,休闲场所,休闲场所,团山村13组,四川省,成都市,彭州市,103.818817,31.26655429
桃坪农家乐,体育休闲服务,体育休闲服务场所,体育休闲服务场所,彭白路北50米附近,四川省,成都市,彭州市,103.818278,31.26660127
彭州凤鸣湖畔农家院,体育休闲服务,休闲场所,休闲场所,龙门山镇风景区,四川省,成都市,彭州市,103.786483,31.25427817
彭州开源山庄,体育休闲服务,休闲场所,休闲场所,龙门山镇团山村4组25号,四川省,成都市,彭州市,103.7934061,31.25125519
国印山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,龙门山镇团山村4组38号,四川省,成都市,彭州市,103.7931366,31.2521564
开源休闲庄,体育休闲服务,休闲场所,休闲场所,龙门山镇团山村4组25号,四川省,成都市,彭州市,103.793397,31.25134214
菩提苑农家乐,体育休闲服务,体育休闲服务场所,体育休闲服务场所,,四川省,成都市,彭州市,103.7930475,31.25154553
鸿麟山庄,体育休闲服务,休闲场所,休闲场所,龙门山镇团山村4组,四川省,成都市,彭州市,103.7937225,31.2511677
坪源山庄,体育休闲服务,休闲场所,休闲场所,团山村6社,四川省,成都市,彭州市,103.7923013,31.25352459
成都聚友山庄,体育休闲服务,休闲场所,休闲场所,龙门山镇团山村4组2号,四川省,成都市,彭州市,103.794661,31.25137602
文坤山庄,体育休闲服务,休闲场所,休闲场所,龙门山镇团山村5组,四川省,成都市,彭州市,103.7938287,31.25019428
果香园休闲山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,,四川省,成都市,彭州市,103.7916894,31.25366164
三棵树农家乐,体育休闲服务,休闲场所,休闲场所,龙门山镇团山村6组,四川省,成都市,彭州市,103.7917965,31.25361981
墨书林农家乐,体育休闲服务,休闲场所,休闲场所,龙门山镇团山村三组连盖坪,四川省,成都市,彭州市,103.7949686,31.24930638
锦璐农家乐,体育休闲服务,休闲场所,休闲场所,龙门山镇团山村4组18号,四川省,成都市,彭州市,103.7915181,31.254574
彭洲市龙山镇团山村七组毓秀山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,,四川省,成都市,彭州市,103.7931025,31.25405354
彭州市龙门山镇团山村七组毓秀山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,,四川省,成都市,彭州市,103.7931025,31.25405354
宏运休闲庄,体育休闲服务,休闲场所,休闲场所,团山三组路,四川省,成都市,彭州市,103.794594,31.24876704
信德园,体育休闲服务,休闲场所,休闲场所,团山村3组11号,四川省,成都市,彭州市,103.7950728,31.24867981
星月山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,龙门山镇团山村二组2号,四川省,成都市,彭州市,103.7946562,31.24706587
信德·兰苑香居,体育休闲服务,休闲场所,休闲场所,龙门山镇团山村三组11号,四川省,成都市,彭州市,103.7954634,31.24875538
黄三妹农家乐,体育休闲服务,休闲场所,休闲场所,龙门山镇团山村3组10号,四川省,成都市,彭州市,103.7950557,31.24845288
龙锦山庄,体育休闲服务,休闲场所,休闲场所,龙门山镇团山村3组11号,四川省,成都市,彭州市,103.7966583,31.24794058
彩妹农家乐,体育休闲服务,体育休闲服务场所,体育休闲服务场所,龙门山镇白水河团山村,四川省,成都市,彭州市,103.7956888,31.24803803
君秀苑农家乐,体育休闲服务,休闲场所,休闲场所,团山村附近,四川省,成都市,彭州市,103.7956187,31.24692641
彭州生态园,体育休闲服务,休闲场所,休闲场所,三沟村附近,四川省,成都市,彭州市,103.8018058,31.25009795
山里人家农家乐,体育休闲服务,休闲场所,休闲场所,龙门山镇三沟村,四川省,成都市,彭州市,103.8020753,31.25106599
彭州市龙门山镇生态园农家乐,体育休闲服务,休闲场所,休闲场所,彭白路园外园农家乐东北侧110米,四川省,成都市,彭州市,103.8016826,31.25062952
六棵树休闲庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,彭白路东150米,四川省,成都市,彭州市,103.8000067,31.25138444
凤鸣苑农家乐,体育休闲服务,休闲场所,休闲场所,彭白路东150米,四川省,成都市,彭州市,103.8001279,31.25165552
竹林苑农家乐,体育休闲服务,体育休闲服务场所,体育休闲服务场所,彭白路南100米,四川省,成都市,彭州市,103.8031961,31.25447941
幽闲居农家乐,体育休闲服务,体育休闲服务场所,体育休闲服务场所,彭白路南200米,四川省,成都市,彭州市,103.805408,31.25503894
龙门山怡和山庄,体育休闲服务,休闲场所,休闲场所,彭白路南150米,四川省,成都市,彭州市,103.8049602,31.25513713
茂林阁,体育休闲服务,休闲场所,休闲场所,彭白路,四川省,成都市,彭州市,103.7988236,31.25340066
杨大姐农家乐,体育休闲服务,体育休闲服务场所,体育休闲服务场所,彭白路南100米,四川省,成都市,彭州市,103.8056344,31.25594095
芳草地农家乐,体育休闲服务,休闲场所,休闲场所,团山村9组8号,四川省,成都市,彭州市,103.7986695,31.25049566
文凯休闲苑,体育休闲服务,休闲场所,休闲场所,彭白路,四川省,成都市,彭州市,103.8047227,31.25586541
志强农家乐,体育休闲服务,休闲场所,休闲场所,龙门山镇宝山村6组6号,四川省,成都市,彭州市,103.7817519,31.23756152
彭州三和园农家乐,体育休闲服务,休闲场所,休闲场所,龙门山镇宝山村4组2号,四川省,成都市,彭州市,103.7833357,31.2383131
宝山太阳湾龙门佳居,体育休闲服务,休闲场所,休闲场所,路附近,四川省,成都市,彭州市,103.7824907,31.23822211
彭州凌宵苑农家院,体育休闲服务,休闲场所,休闲场所,宝山村7组(近彭白路),四川省,成都市,彭州市,103.7872987,31.24095702
彭州怡家小院农家乐,体育休闲服务,休闲场所,休闲场所,龙门山镇风景区内,四川省,成都市,彭州市,103.7860131,31.23843243
彭州慈笑家园农家院,体育休闲服务,休闲场所,休闲场所,龙门山镇宝山村7组,四川省,成都市,彭州市,103.7876602,31.24083056
彭州今日凉园农家院,体育休闲服务,休闲场所,休闲场所,宝山村7组,四川省,成都市,彭州市,103.7879666,31.24136873
归园田居,体育休闲服务,休闲场所,休闲场所,宝山村三合坪,四川省,成都市,彭州市,103.7837392,31.23808469
绿苑农家,体育休闲服务,休闲场所,休闲场所,龙门山镇宝山村山府佳园别墅小区,四川省,成都市,彭州市,103.7853052,31.23808667
彭州述兰之家农家院,体育休闲服务,休闲场所,休闲场所,宝山村7组,四川省,成都市,彭州市,103.7839275,31.23742222
阳光苑农家乐,体育休闲服务,体育休闲服务场所,体育休闲服务场所,宝山一路西100米,四川省,成都市,彭州市,103.7823256,31.23707742
白水河军港山庄,体育休闲服务,休闲场所,休闲场所,宝山一路东200米,四川省,成都市,彭州市,103.7850839,31.23756661
山府佳园农家乐,体育休闲服务,休闲场所,休闲场所,宝山一路东50米,四川省,成都市,彭州市,103.7837974,31.23695227
永花休闲苑,体育休闲服务,体育休闲服务场所,体育休闲服务场所,,四川省,成都市,彭州市,103.7959032,31.2456384
铭园避暑山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,,四川省,成都市,彭州市,103.7948505,31.24608959
今日农庄,体育休闲服务,休闲场所,休闲场所,团山村一组10号,四川省,成都市,彭州市,103.7971703,31.24434094
彭州幸福家园农家院,体育休闲服务,休闲场所,休闲场所,龙门山镇风景区内,四川省,成都市,彭州市,103.7891874,31.23844169
锦锦苑,体育休闲服务,休闲场所,休闲场所,龙门山镇风景区内,四川省,成都市,彭州市,103.7970821,31.24571621
郭王玉米园,体育休闲服务,休闲场所,休闲场所,龙门山镇团山村2组,四川省,成都市,彭州市,103.7961586,31.24662537
旭梅家氏院休闲庄,体育休闲服务,度假疗养场所,度假村,龙门山镇龙门山镇团山村2组64号,四川省,成都市,彭州市,103.7969719,31.24551612
凤鸣湖畔休闲庄,体育休闲服务,休闲场所,休闲场所,国坪村8组,四川省,成都市,彭州市,103.7992178,31.24155442
凤鸣湖双喜农家乐,体育休闲服务,休闲场所,休闲场所,彭白路附近,四川省,成都市,彭州市,103.7998888,31.24534985
幽壑农家乐,体育休闲服务,体育休闲服务场所,体育休闲服务场所,,四川省,成都市,彭州市,103.8110068,31.24488917
彭州市龙门山镇金太阳乡村酒店,体育休闲服务,休闲场所,休闲场所,龙门山镇彭白路,四川省,成都市,彭州市,103.7727183,31.22740965
忠厚之家农家乐,体育休闲服务,体育休闲服务场所,体育休闲服务场所,国税路附近,四川省,成都市,彭州市,103.7740772,31.23330825
陈氏花园,体育休闲服务,休闲场所,休闲场所,永花园A区3号,四川省,成都市,彭州市,103.7749541,31.23005754
宝山国际乡村俱乐部,体育休闲服务,度假疗养场所,度假村,国税路与彭白路交叉口东北150米,四川省,成都市,彭州市,103.7745378,31.22909157
赵家大院,体育休闲服务,休闲场所,休闲场所,龙门山镇宝山村12组13号,四川省,成都市,彭州市,103.7721547,31.22925331
彬欧银杏苑农家乐,体育休闲服务,休闲场所,休闲场所,宝山村10组22号,四川省,成都市,彭州市,103.7778349,31.23117697
成都阳湾度假村刘家大院,体育休闲服务,休闲场所,休闲场所,龙门山镇宝山村(太阳湾风景区),四川省,成都市,彭州市,103.7806387,31.23409276
彭州三嫂子农家乐,体育休闲服务,休闲场所,休闲场所,龙门山镇宝山村7组,四川省,成都市,彭州市,103.7818121,31.23289766
尚雅休闲苑,体育休闲服务,休闲场所,休闲场所,龙门山镇龙门山镇宝山村8组,四川省,成都市,彭州市,103.7823397,31.23360498
鸿鑫苑农家乐,体育休闲服务,休闲场所,休闲场所,龙门山镇宝山村9组,四川省,成都市,彭州市,103.7809331,31.23336942
金鹏休闲庄,体育休闲服务,休闲场所,休闲场所,国税路与彭白路交叉口北50米,四川省,成都市,彭州市,103.7818272,31.23269277
彭州人人爱度假村,体育休闲服务,度假疗养场所,度假村,龙门山镇宝山村九组,四川省,成都市,彭州市,103.7807649,31.23325028
彭州凡凡农家乐,体育休闲服务,休闲场所,休闲场所,龙门山镇龙门山镇风景区,四川省,成都市,彭州市,103.7807049,31.23314326
彭州老院子农家乐,体育休闲服务,休闲场所,休闲场所,龙门山镇宝山村8组,四川省,成都市,彭州市,103.7806287,31.23407776
太阳山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,宝山一路与彭白路交叉口北200米,四川省,成都市,彭州市,103.784216,31.23403408
平钒人家休闲庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,龙门山镇彭白路与国税路交叉口东北20米,四川省,成都市,彭州市,103.7818282,31.23260181
成都映华苑农家乐,体育休闲服务,休闲场所,休闲场所,龙门山镇宝山村8组,四川省,成都市,彭州市,103.7802152,31.23492691
颜家大院,体育休闲服务,体育休闲服务场所,体育休闲服务场所,龙门山镇白水河宝山村二大队8组,四川省,成都市,彭州市,103.7823287,31.23383586
会林休闲苑,体育休闲服务,休闲场所,休闲场所,宝山村8组55号,四川省,成都市,彭州市,103.7805196,31.23477732
彭州乡里人家,体育休闲服务,度假疗养场所,度假村,宝山村8组,四川省,成都市,彭州市,103.7809581,31.23527461
田园农家乐,体育休闲服务,休闲场所,休闲场所,龙门山镇宝山村8组26号,四川省,成都市,彭州市,103.7806847,31.23576507
太阳湾姐妹农家乐,体育休闲服务,休闲场所,休闲场所,龙门山镇宝山村8组,四川省,成都市,彭州市,103.7809841,31.2355775
祥汇山庄,体育休闲服务,度假疗养场所,度假村|体育休闲服务,龙门山镇宝山村七组,四川省,成都市,彭州市,103.7846816,31.23448747
阳光雨露农家乐,体育休闲服务,休闲场所,休闲场所,国税路与彭白路交叉口北200米,四川省,成都市,彭州市,103.7823057,31.23407073
哥俩好农家乐,体育休闲服务,休闲场所,休闲场所,龙门山镇宝山村银祥加油站背后50米处,四川省,成都市,彭州市,103.7801412,31.23303167
中意苑,体育休闲服务,休闲场所,休闲场所,彭州龙门山镇宝山村8组,四川省,成都市,彭州市,103.7797758,31.23355402
华强生态农家乐,体育休闲服务,休闲场所,休闲场所,宝山一路,四川省,成都市,彭州市,103.7863457,31.23485745
欢鑫苑,体育休闲服务,体育休闲服务场所,体育休闲服务场所,宝山一路东100米,四川省,成都市,彭州市,103.7847016,31.23483834
四姐家苑,体育休闲服务,休闲场所,休闲场所,宝山村,四川省,成都市,彭州市,103.7801442,31.23307865
洛轩居农家乐,体育休闲服务,体育休闲服务场所,体育休闲服务场所,国税路北100米,四川省,成都市,彭州市,103.7797558,31.23331611
田园小屋农家乐,体育休闲服务,体育休闲服务场所,体育休闲服务场所,国税路北100米,四川省,成都市,彭州市,103.7797007,31.23332904
荣驰苑,体育休闲服务,休闲场所,休闲场所,三府苑小区84号,四川省,成都市,彭州市,103.7798029,31.23298831
缘和休闲庄,体育休闲服务,休闲场所,休闲场所,彭白路太阳雨C区15号,四川省,成都市,彭州市,103.7795076,31.23193545
清美家园,体育休闲服务,休闲场所,休闲场所,,四川省,成都市,彭州市,103.7792964,31.23180227
碧山苑农家乐,体育休闲服务,休闲场所,休闲场所,宝山村10组2号,四川省,成都市,彭州市,103.7791532,31.23169116
成都彭州市龙门山镇馨香家苑农家乐,体育休闲服务,休闲场所,休闲场所,宝山村8组(太阳湾),四川省,成都市,彭州市,103.7811333,31.23460011
巧遇小院,体育休闲服务,休闲场所,休闲场所,龙门山镇宝山村,四川省,成都市,彭州市,103.7813065,31.23534598
宝山民宿农家乐,体育休闲服务,体育休闲服务场所,体育休闲服务场所,宝山一路附近,四川省,成都市,彭州市,103.7840617,31.23658376
彭州市龙门山镇宝山村进鑫阁休闲园,体育休闲服务,体育休闲服务场所,体育休闲服务场所,国税路彭州千叶树休闲苑东隔壁,四川省,成都市,彭州市,103.7797918,31.23354105
舒雅居农家乐,体育休闲服务,休闲场所,休闲场所,彭白路135号,四川省,成都市,彭州市,103.7830885,31.23659555
彭州清美家园农家院,体育休闲服务,休闲场所,休闲场所,龙门山镇风景区内,四川省,成都市,彭州市,103.7871317,31.23539925
彭州市龙门山镇宝山村凯磊农家乐,体育休闲服务,休闲场所,休闲场所,宝山村8组,四川省,成都市,彭州市,103.7813595,31.23518511
