名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
公共厕所,公共设施,公共厕所,公共厕所,宝山村龙门山风景旅游区银厂沟内,四川省,成都市,彭州市,103.9040129,31.35144173
公共厕所,公共设施,公共厕所,公共厕所,宝山村龙门山风景旅游区银厂沟内,四川省,成都市,彭州市,103.885187,31.33830406
公共厕所,公共设施,公共厕所,公共厕所,宝山村龙门山风景旅游区银厂沟内,四川省,成都市,彭州市,103.87862,31.32926636
银厂沟-公共厕所,公共设施,公共厕所,公共厕所,宝山村龙门山风景旅游区银厂沟内,四川省,成都市,彭州市,103.8740792,31.32093205
公共厕所,公共设施,公共厕所,公共厕所,彭白路南50米,四川省,成都市,彭州市,103.8210808,31.28293587
虹口国家级自然保护区-公共厕所,公共设施,公共厕所,公共厕所,龙门山镇回龙沟风景旅游区附近,四川省,成都市,彭州市,103.7865921,31.25569171
公共厕所,公共设施,公共厕所,公共厕所,国税路与彭白路交叉口东北200米,四川省,成都市,彭州市,103.7748611,31.22939275
虹口国家级自然保护区-公共厕所,公共设施,公共厕所,公共厕所,国税路与彭白路交叉口西150米,四川省,成都市,彭州市,103.7804456,31.23232333
公共厕所,公共设施,公共厕所,公共厕所,小夫路西100米,四川省,成都市,彭州市,103.9145848,31.21000651
公共厕所,公共设施,公共厕所,公共厕所,小夫路178号附近,四川省,成都市,彭州市,103.9123669,31.20641956
四川龙门山国家地质公园飞来峰景区-公共厕所,公共设施,公共厕所,公共厕所,小夫路西50米,四川省,成都市,彭州市,103.9088742,31.18869773
公共厕所,公共设施,公共厕所,公共厕所,彭白路与湔江路交叉口西北100米小渔洞镇大楠村村民委员会附近,四川省,成都市,彭州市,103.7954566,31.17452883
公共厕所,公共设施,公共厕所,公共厕所,彭白路南50米,四川省,成都市,彭州市,103.7908836,31.17493485
公共厕所,公共设施,公共厕所,公共厕所,农科西路南50米,四川省,成都市,彭州市,103.8024251,31.17609526
公共厕所,公共设施,公共厕所,公共厕所,八角苑(西北门)附近,四川省,成都市,彭州市,103.9952312,31.16876628
公共厕所,公共设施,公共厕所,公共厕所,仙溪北街136-138号附近,四川省,成都市,彭州市,103.8323315,31.16082051
公共厕所,公共设施,公共厕所,公共厕所,新兴镇滨江路通济小学西南100米,四川省,成都市,彭州市,103.8299799,31.15857724
公共厕所,公共设施,公共厕所,公共厕所,彭白路西50米,四川省,成都市,彭州市,103.8287216,31.1545959
公共厕所,公共设施,公共厕所,公共厕所,蒲沟路西50米,四川省,成都市,彭州市,103.9499959,31.15398595
公共厕所,公共设施,公共厕所,公共厕所,向阳街与湔红路交叉口东北100米,四川省,成都市,彭州市,104.001996,31.14790723
公共厕所,公共设施,公共厕所,公共厕所,会元街111号附近,四川省,成都市,彭州市,104.0061605,31.14824444
公共厕所,公共设施,公共厕所,公共厕所,白八路西50米,四川省,成都市,都江堰市,103.68783,31.14031118
公共厕所,公共设施,公共厕所,公共厕所,白八路西100米,四川省,成都市,都江堰市,103.6868025,31.13891176
公共厕所,公共设施,公共厕所,公共厕所,白八路西50米,四川省,成都市,都江堰市,103.6872694,31.13891791
公共厕所,公共设施,公共厕所,公共厕所,会元街与湔红路交叉口西南150米,四川省,成都市,彭州市,104.0041182,31.14580187
公共厕所,公共设施,公共厕所,公共厕所,雨花路与飞虹路交叉口东北100米,四川省,成都市,都江堰市,103.674925,31.12831446
虹口国家级自然保护区-公共厕所,公共设施,公共厕所,公共厕所,宁寿寺附近,四川省,成都市,都江堰市,103.7361719,31.12764606
公共厕所,公共设施,公共厕所,公共厕所,彭白路东100米,四川省,成都市,彭州市,103.8473682,31.136605
公共厕所,公共设施,公共厕所,公共厕所,彭白路西50米,四川省,成都市,彭州市,103.8486708,31.13139392
公共厕所,公共设施,公共厕所,公共厕所,狮山大桥附近,四川省,成都市,彭州市,103.8533099,31.12760951
公共厕所,公共设施,公共厕所,公共厕所,彭白路与海窝子瞿上街交叉口南100米,四川省,成都市,彭州市,103.8509008,31.12818831
公共厕所,公共设施,公共厕所,公共厕所,滨河路西150米,四川省,成都市,都江堰市,103.6557953,31.11817116
公共厕所,公共设施,公共厕所,公共厕所,彭白路西50米,四川省,成都市,彭州市,103.8438294,31.12044037
公共厕所,公共设施,公共厕所,公共厕所,楠林路东50米,四川省,成都市,彭州市,103.9300177,31.12020381
公共厕所,公共设施,公共厕所,公共厕所,桐麻坎街与白八路交叉口东南50米,四川省,成都市,都江堰市,103.6514919,31.11317664
公共厕所,公共设施,公共厕所,公共厕所,蒲新路西50米,四川省,成都市,彭州市,103.7582655,31.11635231
虹口国家级自然保护区-公共厕所,公共设施,公共厕所,公共厕所,蒲新路,四川省,成都市,彭州市,103.7877458,31.11320231
公共厕所,公共设施,公共厕所,公共厕所,蒲新路西50米,四川省,成都市,彭州市,103.7980072,31.11677054
公共厕所,公共设施,公共厕所,公共厕所,光荣村9组3,四川省,成都市,都江堰市,103.6340587,31.10119938
公共厕所,公共设施,公共厕所,公共厕所,普照寺正街177号附近,四川省,成都市,彭州市,103.7768274,31.10293779
公共厕所,公共设施,公共厕所,公共厕所,彭白路西50米,四川省,成都市,彭州市,103.8393136,31.10385817
公共厕所,公共设施,公共厕所,公共厕所,川西旅游环线附近,四川省,成都市,彭州市,103.9890411,31.10262753
公共厕所,公共设施,公共厕所,公共厕所,燕岩路北100米,四川省,成都市,都江堰市,103.628244,31.09308358
公共厕所,公共设施,公共厕所,公共厕所,白八路西150米雅园附近,四川省,成都市,都江堰市,103.62823,31.09346839
丹景山-公共厕所,公共设施,公共厕所,公共厕所,彭白路丹景山风景名胜区金华禅寺内,四川省,成都市,彭州市,103.8246449,31.0958502
丹景山-公共厕所,公共设施,公共厕所,公共厕所,彭白路丹景山风景名胜区内,四川省,成都市,彭州市,103.8351821,31.09199204
丹景山-公共厕所,公共设施,公共厕所,公共厕所,彭白路丹景山风景名胜区内,四川省,成都市,彭州市,103.8332844,31.09002059
丹景山-公共厕所,公共设施,公共厕所,公共厕所,彭白路丹景山风景名胜区内,四川省,成都市,彭州市,103.8332622,31.09436118
丹景山-公共厕所,公共设施,公共厕所,公共厕所,彭白路丹景山风景名胜区内,四川省,成都市,彭州市,103.8307393,31.09061651
丹景山-公共厕所,公共设施,公共厕所,公共厕所,彭白路天彭牡丹博物馆附近,四川省,成都市,彭州市,103.8354767,31.08987574
丹景山-公共厕所,公共设施,公共厕所,公共厕所,彭白路丹景山风景名胜区内,四川省,成都市,彭州市,103.832534,31.088539
丹景山-公共厕所,公共设施,公共厕所,公共厕所,彭白路丹景山风景名胜区内,四川省,成都市,彭州市,103.8313093,31.095346
丹景山-公共厕所,公共设施,公共厕所,公共厕所,彭白路丹景山风景名胜区内,四川省,成都市,彭州市,103.8423889,31.09212006
丹景山-公共厕所,公共设施,公共厕所,公共厕所,彭白路丹景山风景名胜区内,四川省,成都市,彭州市,103.8401647,31.09181425
公共厕所,公共设施,公共厕所,公共厕所,106省道南50米,四川省,成都市,彭州市,103.8856596,31.09214441
公共厕所,公共设施,公共厕所,公共厕所,楠林路西50米,四川省,成都市,彭州市,103.935298,31.09215516
公共厕所,公共设施,公共厕所,公共厕所,九龙江路94号附近,四川省,成都市,彭州市,103.9863365,31.09120387
公共厕所,公共设施,公共厕所,公共厕所,蒲新路西50米,四川省,成都市,都江堰市,103.7103951,31.08276139
丹景山-公共厕所,公共设施,公共厕所,公共厕所,彭白路162-附1号附近,四川省,成都市,彭州市,103.8487771,31.08094525
公共厕所,公共设施,公共厕所,公共厕所,古楠木秀小区附近,四川省,成都市,彭州市,103.9539809,31.08655987
公共厕所,公共设施,公共厕所,公共厕所,白八路东50米,四川省,成都市,都江堰市,103.627066,31.0697039
虹口国家级自然保护区-公共厕所,公共设施,公共厕所,公共厕所,白八路东50米,四川省,成都市,都江堰市,103.6270619,31.07232146
