名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
彭州九峰村假老师,医疗保健服务,医疗保健服务场所,医疗保健服务场所,彭白路西50米,四川省,成都市,彭州市,103.8618058,31.30188022
龙门山镇九峰村卫生室,医疗保健服务,诊所,诊所,彭白路东50米,四川省,成都市,彭州市,103.8632048,31.30282378
团山村卫生站,医疗保健服务,诊所,诊所,彭白路东50米,四川省,成都市,彭州市,103.7987426,31.25105154
宝山村卫生站,医疗保健服务,综合医院,卫生院,河上场附近,四川省,成都市,彭州市,103.7890972,31.2413263
龙门山大药房,医疗保健服务,医药保健销售店,药房,彭白路附近,四川省,成都市,彭州市,103.7889129,31.2423356
龙门山镇益民药店,医疗保健服务,医药保健销售店,药房,彭白路阳光家居城旁,四川省,成都市,彭州市,103.7887616,31.24266225
赵韧诊所,医疗保健服务,诊所,诊所,,四川省,成都市,彭州市,103.7887346,31.24271419
彭州市龙门山镇卫生院,医疗保健服务,综合医院,卫生院,宝山一路与彭白路交叉口东100米,四川省,成都市,彭州市,103.7847147,31.2324844
龙门山大药房,医疗保健服务,医药保健销售店,药房,彭白路东50米,四川省,成都市,彭州市,103.7892226,31.23528114
郭坪村卫生站,医疗保健服务,诊所,诊所,宝兴街64号,四川省,成都市,彭州市,103.7883414,31.23456425
白鹿镇回水村卫生室,医疗保健服务,综合医院,卫生院,小夫路,四川省,成都市,彭州市,103.918583,31.22384809
春芽村红十字博爱卫生站,医疗保健服务,诊所,诊所,,四川省,成都市,彭州市,103.8614545,31.20305893
白鹿镇公立卫生院,医疗保健服务,综合医院,卫生院,兴鹿街160号,四川省,成都市,彭州市,103.9118333,31.20640287
四川康贝大药房,医疗保健服务,医药保健销售店,药房,小夫路286号附近,四川省,成都市,彭州市,103.9108171,31.20631244
小鱼洞镇卫生院,医疗保健服务,综合医院,卫生院,复兴路287号,四川省,成都市,彭州市,103.7572999,31.19374265
本草堂(乐康药店),医疗保健服务,医药保健销售店,药房,丙人街与彭白路交叉口北50米,四川省,成都市,彭州市,103.756746,31.18979637
张莉诊所,医疗保健服务,诊所,诊所,丙人北街与丙人街交叉口东南50米,四川省,成都市,彭州市,103.7563999,31.18943443
旭康大药房(恒生店),医疗保健服务,医药保健销售店,药房,千喜街与彭白路交叉口西南50米,四川省,成都市,彭州市,103.7569709,31.19161456
复兴药店(彭白路店),医疗保健服务,医药保健销售店,药房,复兴路93号,四川省,成都市,彭州市,103.756851,31.19036013
水观村卫生站,医疗保健服务,综合医院,卫生院,塘坝二路与小夫路交叉口北150米,四川省,成都市,彭州市,103.9098454,31.19257444
花溪村红十字博爱卫生站,医疗保健服务,诊所,诊所,黄花公路西50米,四川省,成都市,彭州市,103.8105838,31.18142981
红山村卫生站,医疗保健服务,诊所,诊所,崇德路东100米,四川省,成都市,彭州市,103.8314939,31.18272506
