名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
彭州市龙门山景区执法大队,政府机构及社会团体,政府机关,政府机关相关,彭白路附近,四川省,成都市,彭州市,103.8742484,31.31895093
彭州市龙门山风景区管理处,政府机构及社会团体,政府机关,政府机关相关,彭白路附近,四川省,成都市,彭州市,103.8742484,31.31894394
龙门山景区银厂沟警务室,政府机构及社会团体,公检法机构,社会治安机构,清河街2号,四川省,成都市,彭州市,103.8740462,31.31885476
龙门山镇九峰村村民委员会,政府机构及社会团体,政府机关,乡镇以下级政府及事业单位,彭白路东50米,四川省,成都市,彭州市,103.8614224,31.30037925
白水河国家级自然保护区东林寺保护站,政府机构及社会团体,政府机关,政府机关相关,彭白路东50米,四川省,成都市,彭州市,103.8204868,31.28008989
白水河国家级自然保护区管理局国家重点公益林银厂沟管护站,政府机构及社会团体,政府机关,政府机关相关,彭白路东50米,四川省,成都市,彭州市,103.8204878,31.2800819
龙门山景区东林寺警务室,政府机构及社会团体,公检法机构,社会治安机构,彭白路西50米,四川省,成都市,彭州市,103.8197422,31.28143596
白水河国家级自然保护区王家坪保护站,政府机构及社会团体,政府机关,政府机关相关,彭白路南150米,四川省,成都市,彭州市,103.8386947,31.28503391
龙门山镇团山村村民委员会,政府机构及社会团体,政府机关,乡镇以下级政府及事业单位,彭白路西50米,四川省,成都市,彭州市,103.8070239,31.25697692
白水河国家级自然保护区回龙沟保护站,政府机构及社会团体,政府机关,政府机关相关,宝山三路与宝山二路交叉口东50米,四川省,成都市,彭州市,103.7865651,31.25629342
龙门山镇三沟村村民委员会,政府机构及社会团体,政府机关,乡镇以下级政府及事业单位,三沟村彭白路三沟幸福苑小区,四川省,成都市,彭州市,103.8041289,31.25173916
白水河派出所凤鸣湖警务室,政府机构及社会团体,公检法机构,社会治安机构,彭白路东50米,四川省,成都市,彭州市,103.7989249,31.25116678
彭州市龙门山镇白水河社区就业和社会保障服务站,政府机构及社会团体,政府机关,政府机关相关,龙门山镇彭白路彭州鑫宇山庄西150米,四川省,成都市,彭州市,103.7898852,31.24334052
龙门山镇白水河社区居民议事会,政府机构及社会团体,政府及社会团体相关,政府及社会团体相关,龙门山镇彭白路彭州鑫宇山庄西150米,四川省,成都市,彭州市,103.7898852,31.24334152
宝山村村委会,政府机构及社会团体,政府机关,乡镇以下级政府及事业单位,龙门山镇宝兴街393号,四川省,成都市,彭州市,103.7892193,31.24109157
白鹿镇白茶村村民委员会,政府机构及社会团体,政府机关,乡镇以下级政府及事业单位,,四川省,成都市,彭州市,103.9157782,31.24301575
龙门山镇农村道路交通安全管理办公室,政府机构及社会团体,政府机关,乡镇级政府及事业单位,彭白路北100米,四川省,成都市,彭州市,103.7758099,31.23075007
中共龙门山镇纪律检查委员会,政府机构及社会团体,政府机关,乡镇级政府及事业单位,宝山村彭白路龙门山镇政府龙门山镇委,四川省,成都市,彭州市,103.7758109,31.23075107
龙门山镇就业和社会保障服务中心,政府机构及社会团体,政府机关,乡镇级政府及事业单位,彭白路北100米,四川省,成都市,彭州市,103.7758109,31.23075007
彭州市龙门山镇气象信息服务站,政府机构及社会团体,政府机关,乡镇级政府及事业单位,彭白路北100米,四川省,成都市,彭州市,103.7758099,31.23074807
