名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
九沟小学,科教文化服务,学校,小学,彭白路北100米,四川省,成都市,彭州市,103.8596537,31.30035575
保护区东林寺林业有害生物监测点,科教文化服务,科研机构,科研机构,彭白路东50米,四川省,成都市,彭州市,103.8204898,31.2800899
保护区东林寺野生动物疫源疫病监测点,科教文化服务,科研机构,科研机构,彭白路东50米,四川省,成都市,彭州市,103.8204908,31.2800829
白水河国家级自然保护区环境教育中心,科教文化服务,学校,学校,彭白路南150米,四川省,成都市,彭州市,103.8386937,31.28503191
保护区王家坪林业有害生物监测点,科教文化服务,科研机构,科研机构,彭白路南150米,四川省,成都市,彭州市,103.8386937,31.28503091
保护区王家坪野生动物疫源疫病监测点,科教文化服务,科研机构,科研机构,彭白路南150米,四川省,成都市,彭州市,103.8386947,31.28503092
中国名村收藏馆,科教文化服务,科教文化场所,科教文化场所,宝山一路附近,四川省,成都市,彭州市,103.7804172,31.24171514
彭州市职工技术培训学校宝山分校,科教文化服务,学校,职业技术学校,国税路与彭白路交叉口北100米,四川省,成都市,彭州市,103.7735669,31.22890474
仙泉山麓温泉酒店-会议厅,科教文化服务,科教文化场所,科教文化场所,龙门山镇宝山温泉,四川省,成都市,彭州市,103.7777508,31.23114089
宝山村庄发展学院,科教文化服务,科教文化场所,科教文化场所,彭白路附近,四川省,成都市,彭州市,103.7732367,31.22828172
彭州市龙门山镇九年制学校,科教文化服务,学校,中学,国坪村彭白路龙门山镇九年制学校,四川省,成都市,彭州市,103.7907327,31.23686856
龙门山镇九年制学校附属幼儿园,科教文化服务,学校,幼儿园,国坪村彭白路龙门山镇九年制学校,四川省,成都市,彭州市,103.7912124,31.23618255
龙门山镇西藏同信证券九年制学校,科教文化服务,学校,中学,彭白路东100米,四川省,成都市,彭州市,103.7907317,31.23686856
龙门幼儿园,科教文化服务,学校,幼儿园,龙门山镇九年制学校对面,四川省,成都市,彭州市,103.7907858,31.23641784
木易学校,科教文化服务,学校,学校,彭白路东50米,四川省,成都市,彭州市,103.7901739,31.23663887
白鹿中心学校,科教文化服务,学校,中学,近郊白鹿镇金桥村,四川省,成都市,彭州市,103.914289,31.2104335
最牛教学楼,科教文化服务,科教文化场所,科教文化场所,白鹿镇下书院遗址公园内(近中法友谊桥),四川省,成都市,彭州市,103.912017,31.20994411
探途森林童子军营地(祥龙溪谷),科教文化服务,培训机构,培训机构,彭白路太子村88号,四川省,成都市,彭州市,103.7625059,31.20505459
白鹿镇小学,科教文化服务,学校,小学,小夫路东50米,四川省,成都市,彭州市,103.9073418,31.19709127
白鹿镇王炜博爱幼儿园,科教文化服务,学校,幼儿园,小夫路东50米,四川省,成都市,彭州市,103.9073178,31.19792988
小渔洞镇中心学校,科教文化服务,学校,小学,天彭镇,四川省,成都市,彭州市,103.7578612,31.18870928
学日升教育,科教文化服务,科教文化场所,科教文化场所,彭白路52号附近,四川省,成都市,彭州市,103.757117,31.18976251
武安驾校(彭州小鱼洞生态训练基地),科教文化服务,科教文化场所,科教文化场所,武安驾校彭州小鱼洞生态训练基地(彭白路),四川省,成都市,彭州市,103.7588203,31.19169421
彭州市白鹿镇老年大学分校,科教文化服务,学校,成人教育,塘坝二路与小夫路交叉口西南50米,四川省,成都市,彭州市,103.9098265,31.191423
白鹿乡白鹿村小学,科教文化服务,学校,小学,万白路与小夫路交叉口南150米,四川省,成都市,彭州市,103.9067599,31.17889928
通济镇幸福小学,科教文化服务,科教文化场所,科教文化场所,农科东路与黄花公路交叉口南150米,四川省,成都市,彭州市,103.8074884,31.17287054
敬馀环保希望小学,科教文化服务,学校,小学,黄花公路西50米,四川省,成都市,彭州市,103.8062451,31.17311625
小太阳幼儿园(黄花公路),科教文化服务,学校,幼儿园,近郊彭州市黄花公路(黄村卫生站东),四川省,成都市,彭州市,103.8062731,31.17246462
草坝村幼儿园,科教文化服务,科教文化场所,科教文化场所,026乡道南50米,四川省,成都市,彭州市,103.7946158,31.16152704
四川省彭州市通济中学,科教文化服务,学校,中学,榕城路618,四川省,成都市,彭州市,103.8188044,31.16371766
通济镇蓝天小学,科教文化服务,学校,小学,通济镇鼓浪屿路338号,四川省,成都市,彭州市,103.826659,31.1659193
民安教育,科教文化服务,培训机构,培训机构,通济镇市场路122号,四川省,成都市,彭州市,103.82706,31.16106549
点亮青少儿生命训练中心,科教文化服务,培训机构,培训机构,景山苑162号,四川省,成都市,彭州市,103.82416,31.16654628
中共通济中学支部委员会,政府机构及社会团体,政府机关,政府机关相关|科教文化服务,榕城路618,四川省,成都市,彭州市,103.8188024,31.16372065
四川省侨爱中心,科教文化服务,学校,中学,榕城路618号,四川省,成都市,彭州市,103.8188064,31.16371566
小太阳幼儿园(小夫路),科教文化服务,学校,幼儿园,小夫路与羊叉路交叉口西100米,四川省,成都市,彭州市,103.8356771,31.16004311
迪佳舞蹈艺术培训中心,科教文化服务,培训机构,培训机构,通济大桥与湔江路交叉口东北150米,四川省,成都市,彭州市,103.8303867,31.15915971
小书童教育(彭州通济镇学习中心),科教文化服务,培训机构,培训机构,通济大桥与湔江路交叉口东北150米附近,四川省,成都市,彭州市,103.8303106,31.1592815
思文中心小学校,科教文化服务,科教文化场所,科教文化场所,小夫路,四川省,成都市,彭州市,103.8643822,31.16443475
红岩梨花村小学,科教文化服务,学校,小学,梨八路与湔红路交叉口东南50米,四川省,成都市,彭州市,103.9992763,31.16578444
