名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_L纬度
幸福家园超市,购物服务,超级市场,超市,清平综合市场2层,四川省,德阳市,绵竹市,104.1136999,31.53793897
农村淘宝,购物服务,商场,商场,西桥村内,四川省,绵阳市,安州区,104.520471,31.54258574
东兴超市(罗林店),购物服务,超级市场,超市,花兴路中段,四川省,绵阳市,安州区,104.5459484,31.5444006
贵源超市,购物服务,超级市场,超市,花兴路西50米,四川省,绵阳市,安州区,104.5460686,31.54440685
佰联购物中心,购物服务,超级市场,超市,,四川省,绵阳市,安州区,104.5436455,31.54582357
鑫林超市(花兴路),购物服务,超级市场,超市,花兴路225号附近,四川省,绵阳市,安州区,104.5466255,31.54438601
富乐超市,购物服务,超级市场,超市,辽宁大道绵阳佘氏药材有限公司旁,四川省,绵阳市,安州区,104.5449681,31.53719918
兰波超市,购物服务,超级市场,超市,安州区好医生大道北段1,四川省,绵阳市,安州区,104.5479074,31.54566852
帝豪购物中心,购物服务,商场,购物中心,安州区好医生大道中段138,四川省,绵阳市,安州区,104.5501889,31.5437572
海燕超市,购物服务,超级市场,超市,花荄镇金鸿路7号l路,四川省,绵阳市,安州区,104.5508029,31.54107262
九九超市(金鸿路西段),购物服务,超级市场,超市,花荄丽景云天,四川省,绵阳市,安州区,104.5527776,31.54238821
盛玛特购物中心(益昌路店),购物服务,超级市场,超市,安州区花荄罗胜路56号,四川省,绵阳市,安州区,104.5526864,31.54436987
东兴超市(安州花园店),购物服务,超级市场,超市,安州区好医生大道中段63,四川省,绵阳市,安州区,104.5506296,31.54261815
东兴超市(中心街店),购物服务,超级市场,超市,启明星大道,四川省,绵阳市,安州区,104.5570647,31.54566946
惠安超市(罗胜街南段店),购物服务,超级市场,超市,花荄镇罗胜路83号,四川省,绵阳市,安州区,104.5548212,31.54285485
雨嘉园生活小超市,购物服务,超级市场,超市,好医生大道中段与西浦街交叉口西南200米,四川省,绵阳市,安州区,104.5493278,31.5416447
广华超市,购物服务,超级市场,超市|购物服务,安州区龙康花园c区25号,四川省,绵阳市,安州区,104.5567564,31.54509999
花荄蕙联超市,购物服务,超级市场,超市,安州区花兴路9号,四川省,绵阳市,安州区,104.5507857,31.54591817
花荄惠联惠超市,购物服务,超级市场,超市,花 D镇神泉街马国昌清真源旁,四川省,绵阳市,安州区,104.5511542,31.54591887
惠安连锁超市,购物服务,超级市场,超市,好医生大道北段与花兴路交叉口东50米,四川省,绵阳市,安州区,104.5485845,31.54559289
阳光生活超市(中心街南段),购物服务,超级市场,超市,花荄中心街南段,四川省,绵阳市,安州区,104.5608278,31.54041493
