名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
成都农商银行(大宝分理处),金融保险服务,银行,农村商业银行,龙门山镇街村,四川省,成都市,彭州市,103.7881418,31.24316319
中国邮政储蓄银行(龙门山镇支行),金融保险服务,银行,中国邮政储蓄银行,河上场,四川省,成都市,彭州市,103.7895007,31.2414678
中国邮政储蓄银行24小时自助银行(龙门山镇支行),金融保险服务,自动提款机,中国邮政储蓄银行ATM,中国邮政储蓄银行(白水河大桥西),四川省,成都市,彭州市,103.7895007,31.2414678
成都农商银行ATM,金融保险服务,自动提款机,农村商业银行ATM,小夫路172号附近,四川省,成都市,彭州市,103.9124178,31.2067034
中国人寿保险股份有限公司,金融保险服务,保险公司,中国人寿保险公司,复兴路157号,四川省,成都市,彭州市,103.7568689,31.19152257
成都农商银行(小渔洞分理处),金融保险服务,银行,农村商业银行,彭白路和千喜街的交叉口附近,四川省,成都市,彭州市,103.756691,31.18933257
成都农商银行(小渔洞分理处),金融保险服务,银行,农村商业银行,复兴路288-290,四川省,成都市,彭州市,103.757734,31.19403567
成都农商银行24小时自助银行(小渔洞分理处),金融保险服务,自动提款机,农村商业银行ATM,复兴路288-290,四川省,成都市,彭州市,103.757734,31.19403567
成都农商银行(白鹿分理处),金融保险服务,银行,农村商业银行,小夫路附近,四川省,成都市,彭州市,103.9099673,31.19225653
中国农业银行(通济分理处),金融保险服务,银行,中国农业银行,市场路228号,四川省,成都市,彭州市,103.8276792,31.16263786
中国农业银行24小时自助银行(通济分理处),金融保险服务,自动提款机,中国农业银行ATM,市场路228号,四川省,成都市,彭州市,103.8276752,31.16263786
中国人民财产保险股份有限公司(通济),金融保险服务,保险公司,中国人民保险公司,景山路6栋附近,四川省,成都市,彭州市,103.831587,31.16167868
成都农商银行(通济支行),金融保险服务,银行,农村商业银行,崇德路家家乐购物广场东北侧30米,四川省,成都市,彭州市,103.8302923,31.16399309
云翔投资,金融保险服务,金融保险服务机构,金融保险机构,彭白路西50米,四川省,成都市,彭州市,103.828931,31.15439739
成都农商银行(彭州市新兴镇卫生院东北),金融保险服务,银行,农村商业银行,彭白路东150米,四川省,成都市,彭州市,103.8429658,31.14490404
成都农商银行24小时自助银行(彭州市新兴镇卫生院东北),金融保险服务,自动提款机,农村商业银行ATM,彭白路东150米,四川省,成都市,彭州市,103.8429658,31.14490404
成都农商银行(红岩分理处),金融保险服务,银行,农村商业银行,会元街28号,四川省,成都市,彭州市,104.0042906,31.14509472
成都农商银行24小时自助银行(红岩分理处),金融保险服务,自动提款机,农村商业银行ATM,会元街28号,四川省,成都市,彭州市,104.0042746,31.14504979
中国信合(万年分社),金融保险服务,银行,农村商业银行,万年西街与府江路交叉口东50米,四川省,成都市,彭州市,103.9551205,31.13641555
成都农商银行(万年分理处),金融保险服务,银行,农村商业银行,葛仙山镇街村(中心小学北500),四川省,成都市,彭州市,103.9589793,31.13359083
四川天府银行ATM,金融保险服务,自动提款机,自动提款机,呈祥路与飞虹路交叉口西南200米,四川省,成都市,都江堰市,103.6753031,31.12673257
中国邮政储蓄银行(跃进煤矿邮政储蓄),金融保险服务,银行,中国邮政储蓄银行,蒲新路西150米,四川省,成都市,彭州市,103.8008347,31.12242811
中国人民财产保险股份有限公司(彭白路),金融保险服务,保险公司,中国人民保险公司,彭白路附近,四川省,成都市,彭州市,103.8445588,31.12085043
中国邮政储蓄银行(新兴营业所),金融保险服务,银行,中国邮政储蓄银行,新兴镇顺瞿街393号,四川省,成都市,彭州市,103.85094,31.12664419
都江堰金都村镇银行(虹口支行),金融保险服务,银行,银行,桐麻坎街与白八路交叉口南150米,四川省,成都市,都江堰市,103.6552677,31.11531765
都江堰金都村镇银行24小时自助银行(虹口支行),金融保险服务,自动提款机,自动提款机,桐麻坎街与白八路交叉口南150米附近,四川省,成都市,都江堰市,103.6552677,31.11531765
成都农商银行(彭州磁峰分理处),金融保险服务,银行,农村商业银行,五省宫街和蒲新路的交叉口附近,四川省,成都市,彭州市,103.7761387,31.10532979
中国邮政储蓄银行(彭州市磁峰营业所),金融保险服务,银行,中国邮政储蓄银行,普照寺正街与024乡道交叉口西北100米,四川省,成都市,彭州市,103.7778224,31.10345755
交通银行ATM(白八路),金融保险服务,自动提款机,交通银行ATM,白八路附近,四川省,成都市,都江堰市,103.630916,31.09615745
成都农商银行(向峨分理处),金融保险服务,银行,农村商业银行,向峨乡场镇,四川省,成都市,都江堰市,103.7128735,31.08983735
成都农商银行(永定分理处),金融保险服务,银行,农村商业银行,丹景山镇伍柏村,四川省,成都市,彭州市,103.8875584,31.09300098
成都农商银行24小时自助银行(永定分理处),金融保险服务,自动提款机,农村商业银行ATM,106省道北50米,四川省,成都市,彭州市,103.8875674,31.09299599
成都农商银行ATM(楠林路),金融保险服务,自动提款机,农村商业银行ATM,北街7号,四川省,成都市,彭州市,103.9360366,31.09062481
成都农商银行(楠杨分理处),金融保险服务,银行,农村商业银行,北街7号,四川省,成都市,彭州市,103.9360715,31.09056579
中国农业银行(敖平分理处),金融保险服务,银行,中国农业银行,敖平镇凤楼中街121号,四川省,成都市,彭州市,103.9860255,31.0946839
敖平邮政储蓄,金融保险服务,银行,中国邮政储蓄银行,楠桥一组202号附近,四川省,成都市,彭州市,103.9856,31.09621334
敖平镇财富中心售楼部,金融保险服务,金融保险服务机构,金融保险机构,敖平镇敖兴街2号,四川省,成都市,彭州市,103.9848896,31.09396868
成都农商银行24小时自助银行(凤楼南街),金融保险服务,自动提款机,农村商业银行ATM,凤楼南街137号,四川省,成都市,彭州市,103.9854508,31.08997219
成都农商银行(敖平支行),金融保险服务,银行,农村商业银行,敖平镇凤楼南街127-137号,四川省,成都市,彭州市,103.9854637,31.09039991
中国农业银行24小时自助银行(彭州敖平分理处),金融保险服务,自动提款机,中国农业银行ATM,敖兴街57号,四川省,成都市,彭州市,103.9860544,31.09466682
中国邮政储蓄银行(敖平支行),金融保险服务,银行,中国邮政储蓄银行,楠桥一组202号,四川省,成都市,彭州市,103.985597,31.09621635
敖平邮政储蓄ATM,金融保险服务,自动提款机,中国邮政储蓄银行ATM,楠桥一组202号,四川省,成都市,彭州市,103.9856009,31.09621833
成都市农村信用社(向峨乡公立卫生院西南),金融保险服务,银行,农村商业银行,蒲新路(中共都江堰市向峨乡委员会东北),四川省,成都市,都江堰市,103.71516,31.08449953
