名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
天成园生态花园酒店,住宿服务,宾馆酒店,三星级宾馆,荆山塬景区富阎友谊路东侧,陕西省,西安市,阎良区,109.1908074,34.69904807
荆塬农家小院,住宿服务,住宿服务相关,住宿服务相关,北塬环线(Y301),陕西省,西安市,阎良区,109.1977078,34.69549041
关山招待所,住宿服务,旅馆招待所,旅馆招待所,关山汽车站东侧,陕西省,西安市,阎良区,109.3741663,34.69583955
鼎鑫商务宾馆,住宿服务,宾馆酒店,宾馆酒店,友谊路79号,陕西省,西安市,阎良区,109.1890954,34.68280337
尚购快捷酒店,住宿服务,宾馆酒店,宾馆酒店,富阎路,陕西省,西安市,阎良区,109.2306324,34.68317673
南街旅馆,住宿服务,旅馆招待所,旅馆招待所,关山镇,陕西省,西安市,阎良区,109.3756395,34.69037034
顺天商务宾馆,住宿服务,宾馆酒店,宾馆酒店,航天城大道西段振兴中学对面,陕西省,西安市,阎良区,109.1904175,34.66885937
芦家宾馆,住宿服务,宾馆酒店,宾馆酒店,航空城大道西段,陕西省,西安市,阎良区,109.1902613,34.66879317
宏宇宾馆(振兴路),住宿服务,宾馆酒店,宾馆酒店,振兴路吊庄村入口向西20米,陕西省,西安市,阎良区,109.1927051,34.66368183
银河大酒店(迎宾北路店),住宿服务,宾馆酒店,宾馆酒店,人民西路与迎宾大道交叉十字凤凰广场北200米,陕西省,西安市,阎良区,109.2086615,34.66186753
悦来宾馆(迎宾北路),住宿服务,宾馆酒店,宾馆酒店,迎宾北路与迎宾立交交叉口东南50米,陕西省,西安市,阎良区,109.2088175,34.66373904
双龙宾馆(迎宾北路),住宿服务,宾馆酒店,宾馆酒店,迎宾路北段与徐家村十字路南,陕西省,西安市,阎良区,109.2084507,34.66866212
凤凰城宾馆(凤凰西路),住宿服务,宾馆酒店,宾馆酒店,凤凰路十字西200米近凤凰北街6号,陕西省,西安市,阎良区,109.2102959,34.66247797
快捷宾馆,住宿服务,宾馆酒店,宾馆酒店,迎宾北路,陕西省,西安市,阎良区,109.2089816,34.66380518
好运小宾馆(西安阎良店),住宿服务,宾馆酒店,宾馆酒店,凤凰街道办凤凰村西组32号,陕西省,西安市,阎良区,109.2096373,34.66205656
西安凤西宾馆,住宿服务,旅馆招待所,旅馆招待所,迎宾北路凤凰广场向北50米路西,陕西省,西安市,阎良区,109.207032,34.66197437
锦悦宾馆(迎宾北路),住宿服务,旅馆招待所,旅馆招待所,凤凰西路和迎宾北路的交叉口附近,陕西省,西安市,阎良区,109.2089647,34.66236446
382宾馆,住宿服务,宾馆酒店,宾馆酒店,迎宾路凤凰北桥头50米,陕西省,西安市,阎良区,109.2068792,34.6686821
西安快捷宾馆阎良店,住宿服务,宾馆酒店,经济型连锁酒店,迎宾大道北段西安141医院向南30米,陕西省,西安市,阎良区,109.2090027,34.66333063
嘉馨宾馆,住宿服务,宾馆酒店,宾馆酒店,凤凰建材市场附近,陕西省,西安市,阎良区,109.207016,34.66197135
西安凤栖招待所,住宿服务,旅馆招待所,旅馆招待所,迎宾大道凤栖村36号,陕西省,西安市,阎良区,109.207043,34.66202334
春光宾馆(凤凰西路),住宿服务,宾馆酒店,宾馆酒店,凤凰北街与凤凰东路交叉口向西50米,陕西省,西安市,阎良区,109.2155097,34.66322911
西雅图酒店,住宿服务,宾馆酒店,宾馆酒店,凤凰北街50号(近凤凰街道办),陕西省,西安市,阎良区,109.2157429,34.66244606
润丰商务宾馆(凤鸣苑南),住宿服务,宾馆酒店,宾馆酒店,凤凰北路,陕西省,西安市,阎良区,109.2155855,34.66613157
枫林湾快捷酒店,住宿服务,宾馆酒店,宾馆酒店,凤凰北街与凤凰西路十字西北角,陕西省,西安市,阎良区,109.215985,34.6633425
