名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
关山镇付马党员活动中心,体育休闲服务,休闲场所,休闲场所,水腰路东侧,陕西省,西安市,阎良区,109.4047503,34.71730544
葡萄采摘园,体育休闲服务,休闲场所,采摘园,阎富友谊路与301乡道交叉口东南100米,陕西省,西安市,阎良区,109.189655,34.69664541
家农家乐,体育休闲服务,体育休闲服务场所,体育休闲服务场所,301乡道附近,陕西省,西安市,阎良区,109.1927223,34.69650961
老刘家,体育休闲服务,休闲场所,休闲场所,北塬环线旁,陕西省,西安市,阎良区,109.1929185,34.69655988
大荆山陶苑,体育休闲服务,休闲场所,休闲场所,阎富路与北塬环线十字向东200米路南,陕西省,西安市,阎良区,109.1912062,34.69648814
迪乐尼儿童体验乐园,体育休闲服务,体育休闲服务场所,体育休闲服务场所,关山镇汽车站对面,陕西省,西安市,阎良区,109.3731978,34.6960173
荆源游泳中心,体育休闲服务,运动场馆,游泳馆,振兴乡朱家湾红荆村北塬环线西150米,陕西省,西安市,阎良区,109.1683666,34.68610979
北塬蒲阳生态基地垂钓园,体育休闲服务,体育休闲服务场所,体育休闲服务场所,战备路与阎荆路交叉口南200米附近,陕西省,西安市,阎良区,109.2125167,34.684956
老兵农家乐(阎荆路),体育休闲服务,休闲场所,休闲场所,战备路与阎荆路交叉口南200米,陕西省,西安市,阎良区,109.2125197,34.684955
阎良甜瓜采摘园,体育休闲服务,休闲场所,采摘园,东丁路,陕西省,西安市,阎良区,109.3166309,34.6848131
胜景星光KTV,体育休闲服务,娱乐场所,KTV,关山镇永丰路,陕西省,西安市,阎良区,109.3774691,34.68790409
毕家休闲农庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,,陕西省,西安市,阎良区,109.1763938,34.67275205
9d动感影院,体育休闲服务,体育休闲服务场所,体育休闲服务场所,公园路1号,陕西省,西安市,阎良区,109.213194,34.67609892
阎良区游乐场,体育休闲服务,体育休闲服务场所,体育休闲服务场所,公园新街与阎荆路交叉口北150米,陕西省,西安市,阎良区,109.2137764,34.6759417
野趣农庄,体育休闲服务,度假疗养场所,度假村,航天城大道中段,陕西省,西安市,阎良区,109.2338636,34.67960251
永青无公害大樱桃采摘园,体育休闲服务,休闲场所,采摘园,201乡道,陕西省,西安市,阎良区,109.2536577,34.68054015
东兴垂钓园,体育休闲服务,休闲场所,垂钓园,航天城大道西段,陕西省,西安市,阎良区,109.178899,34.67054066
魔音K都,体育休闲服务,娱乐场所,KTV,迎宾北路新141医院对面,陕西省,西安市,阎良区,109.2084832,34.66340192
中骏棋牌,体育休闲服务,娱乐场所,棋牌室,中飞酒店转盘向北一直走最后一间厂房,陕西省,西安市,阎良区,109.2060498,34.66446585
力王武道,体育休闲服务,运动场馆,运动场所,凤凰西路附近,陕西省,西安市,阎良区,109.2082861,34.66198795
老地方DISCO,体育休闲服务,娱乐场所,迪厅,凤凰西路与迎宾北路交叉口西南50米,陕西省,西安市,阎良区,109.2086655,34.66199942
航空城赛鸽俱乐部,体育休闲服务,体育休闲服务场所,体育休闲服务场所,凤凰北街78-118号附近,陕西省,西安市,阎良区,109.2104584,34.66899926
滚石新天地量贩式KTV,体育休闲服务,娱乐场所,KTV,凤凰北路中段19号(原晶品年华ktv),陕西省,西安市,阎良区,109.2164143,34.66354675
