名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
公共厕所,公共设施,公共厕所,公共厕所,北塬环线附近,陕西省,西安市,阎良区,109.1963982,34.69526161
公共厕所,公共设施,公共厕所,公共厕所,振兴街道迎宾北路振兴街道办昌平村村民委员会附近,陕西省,西安市,阎良区,109.2091247,34.68708502
公共厕所,公共设施,公共厕所,公共厕所,阎良街附近,陕西省,西安市,阎良区,109.2207188,34.6725666
公共厕所,公共设施,公共厕所,公共厕所,航天城大道中段与航空城大道中段交叉口东南50米,陕西省,西安市,阎良区,109.2257482,34.67654188
公共厕所,公共设施,公共厕所,公共厕所,公园北街,陕西省,西安市,阎良区,109.2285837,34.67737993
公共厕所,公共设施,公共厕所,公共厕所,阎良街附近,陕西省,西安市,阎良区,109.2251364,34.67281386
公共厕所,公共设施,公共厕所,公共厕所,阎良街附近,陕西省,西安市,阎良区,109.2245983,34.67274054
公共厕所,公共设施,公共厕所,公共厕所,阎良街附近,陕西省,西安市,阎良区,109.2243772,34.67273039
公共厕所,公共设施,公共厕所,公共厕所,康相路附近,陕西省,西安市,阎良区,109.2455027,34.67565324
公共厕所,公共设施,公共厕所,公共厕所,航空城大道西段北50米,陕西省,西安市,阎良区,109.1654084,34.66639132
公共厕所,公共设施,公共厕所,公共厕所,航空城大道西段附近,陕西省,西安市,阎良区,109.1945883,34.66724363
公共厕所,公共设施,公共厕所,公共厕所,航空城大道西段附近,陕西省,西安市,阎良区,109.1941687,34.66753969
公共厕所,公共设施,公共厕所,公共厕所,航空城大道西段附近,陕西省,西安市,阎良区,109.19438,34.66798363
公共厕所,公共设施,公共厕所,公共厕所,友谊路与振兴路交叉口西北50米,陕西省,西安市,阎良区,109.1916432,34.66880545
公共厕所,公共设施,公共厕所,公共厕所,前进西路与迎宾立交交叉口西100米锦绣阎良园附近,陕西省,西安市,阎良区,109.2075971,34.66637212
公共厕所,公共设施,公共厕所,公共厕所,前进西路与迎宾立交交叉口西北50米,陕西省,西安市,阎良区,109.2077252,34.66638827
公共厕所,公共设施,公共厕所,公共厕所,前进西路31号附近,陕西省,西安市,阎良区,109.2091823,34.66925848
公共厕所,公共设施,公共厕所,公共厕所,前进西路南50米,陕西省,西安市,阎良区,109.2023849,34.66471862
公共厕所,公共设施,公共厕所,公共厕所,凤凰建材市场附近,陕西省,西安市,阎良区,109.2062632,34.66214222
公共厕所,公共设施,公共厕所,公共厕所,前进西路附近,陕西省,西安市,阎良区,109.2130257,34.66693809
公共厕所,公共设施,公共厕所,公共厕所,凤凰南街1号附近,陕西省,西安市,阎良区,109.2154498,34.6622879
公共厕所,公共设施,公共厕所,公共厕所,教育巷28号附近,陕西省,西安市,阎良区,109.2256711,34.66676774
火车站公共厕所,公共设施,公共厕所,公共厕所,腾飞商业步行街凤凰新村四方小区附近,陕西省,西安市,阎良区,109.2245996,34.668946
公共厕所(装修中),公共设施,公共厕所,公共厕所,延安街3号附近,陕西省,西安市,阎良区,109.221463,34.66233851
公共厕所,公共设施,公共厕所,公共厕所,润天大道北段,陕西省,西安市,阎良区,109.2357484,34.66695975
公共厕所,公共设施,公共厕所,公共厕所,倚中路北50米,陕西省,西安市,阎良区,109.2488064,34.66462194
公共厕所,公共设施,公共厕所,公共厕所,倚天路与前进东路交叉口东100米,陕西省,西安市,阎良区,109.2439672,34.66950487
农兴市场免费公共厕所,公共设施,公共厕所,公共厕所,倚天路42号附近,陕西省,西安市,阎良区,109.2465352,34.66285182
公共厕所,公共设施,公共厕所,公共厕所,倚天路与前进东路交叉口西北50米,陕西省,西安市,阎良区,109.2430596,34.66963172
公共厕所,公共设施,公共厕所,公共厕所,107省道附近,陕西省,西安市,阎良区,109.2587113,34.66765071
公共厕所,公共设施,公共厕所,公共厕所,康相路与107省道交叉口东北50米,陕西省,西安市,阎良区,109.2563838,34.66962906
公共厕所,公共设施,公共厕所,公共厕所,人民东路南50米,陕西省,西安市,阎良区,109.2581654,34.66250465
