名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
阎良甜瓜孙家村种植基地,公司企业,农林牧渔基地,其它农林牧渔基地,关山镇孙家村,陕西省,西安市,阎良区,109.357639,34.72935241
阎良甜瓜长山村种植基地,公司企业,农林牧渔基地,蔬菜基地,关山镇长山村,陕西省,西安市,阎良区,109.3596342,34.71161068
金凯果蔬专业合作社,公司企业,公司企业,公司企业,,陕西省,西安市,阎良区,109.3973499,34.71603735
友客面食加工厂,公司企业,公司企业,公司企业,官关路与水腰路交叉口西南50米,陕西省,西安市,阎良区,109.4071417,34.71413043
西安市阎良区关山镇驸马诚信木材有限公司,公司企业,公司企业,公司企业,官关路附近,陕西省,西安市,阎良区,109.4031186,34.71427885
英武瓜菜种植专业合作社(阎良甜瓜种植基地),公司企业,农林牧渔基地,其它农林牧渔基地,关山镇长界坊村,陕西省,西安市,阎良区,109.3829313,34.70606617
阎良甜瓜南房村种植基地,公司企业,农林牧渔基地,其它农林牧渔基地,关山镇南房村,陕西省,西安市,阎良区,109.3834752,34.71124292
聚兴建材有限责任公司,公司企业,公司,公司,北塬环线,陕西省,西安市,阎良区,109.1765359,34.69723362
农作物抗旱新品种繁育示范区,公司企业,农林牧渔基地,其它农林牧渔基地,301乡道,陕西省,西安市,阎良区,109.1833115,34.69811806
中共馥康甜瓜专业合作社支部委员会,政府机构及社会团体,政府机关,政府机关相关|公司企业,阎油路与106村道交叉口西100米,陕西省,西安市,阎良区,109.3123622,34.69251102
康桥现代农业园区,公司企业,农林牧渔基地,其它农林牧渔基地,关山镇康桥村阎良甜瓜基地,陕西省,西安市,阎良区,109.3118586,34.69281268
阎良甜瓜东丁村种植基地,公司企业,农林牧渔基地,其它农林牧渔基地,关山镇东丁村叶家组,陕西省,西安市,阎良区,109.3239225,34.69279567
西安喜羊羊生物科技有限公司,公司企业,公司,网络科技,阎关中路中段,陕西省,西安市,阎良区,109.3310653,34.69426362
关山田源屠宰场,公司企业,公司企业,公司企业,阎油路附近,陕西省,西安市,阎良区,109.3432321,34.69541018
阎良甜瓜代家村种植基地,公司企业,农林牧渔基地,其它农林牧渔基地,关山镇代家村,陕西省,西安市,阎良区,109.3446951,34.69798221
盛康现代农业园区(阎良甜瓜基地),公司企业,农林牧渔基地,水果基地,关山镇康村,陕西省,西安市,阎良区,109.3416654,34.69432497
牧歌畜牧养殖专业合作社,公司企业,农林牧渔基地,其它农林牧渔基地,阎油路附近,陕西省,西安市,阎良区,109.3561276,34.6941193
陕西秦龙乳业有限公司(闫关路),公司企业,公司,公司,关山镇闫关路,陕西省,西安市,阎良区,109.3635056,34.69496524
晶晶面业有限公司,公司企业,公司,公司,关山镇,陕西省,西安市,阎良区,109.3624358,34.69486373
双超面粉,公司企业,公司,公司,闫良区关山镇苏赵村,陕西省,西安市,阎良区,109.3630206,34.69453028
西安市红爱新果种植有限公司,公司企业,农林牧渔基地,其它农林牧渔基地,关山镇镇北街十字,陕西省,西安市,阎良区,109.3747773,34.69637548
关山镇核桃园土鸡散养基地,公司企业,农林牧渔基地,家禽养殖基地,关山镇界坊村,陕西省,西安市,阎良区,109.3868335,34.69173665
阎良甜瓜界坊村种植基地,公司企业,农林牧渔基地,其它农林牧渔基地,关山镇界坊村,陕西省,西安市,阎良区,109.396161,34.69883274
西安泽强标准件有限责任公司,公司企业,公司,公司,关山镇北良村,陕西省,西安市,阎良区,109.4012502,34.69987812
西安凯龙环保再生资源利用有限公司,公司企业,公司,公司,301乡道附近,陕西省,西安市,阎良区,109.1738646,34.68593923
西安市阎良区龙游宫农业观光有限公司,公司企业,公司,公司,龙游宫内,陕西省,西安市,阎良区,109.1800648,34.68311923
陕西省西安市溢美佳工艺饰品厂,公司企业,工厂,工厂,振兴街道办坡底村卓仁组,陕西省,西安市,阎良区,109.201433,34.68669313
闫良区北塬蒲阳鱼业养殖基地,公司企业,公司企业,公司企业,302乡道荆山路小学附近,陕西省,西安市,阎良区,109.2178882,34.68551409
西安荆源建材有限公司,公司企业,公司,公司,富阎路与战备路交叉口西100米,陕西省,西安市,阎良区,109.2304542,34.68499095
西安秦岭水泥有限责任公司,公司企业,公司,公司,富阎路与战备路交叉口西100米附近,陕西省,西安市,阎良区,109.2304512,34.68499295
陕西和牧现代农业有限公司,公司企业,公司,公司,关山镇樊家村,陕西省,西安市,阎良区,109.2657008,34.68953194
西安安诺乳业公司,公司企业,公司,公司,南林路附近,陕西省,西安市,阎良区,109.2705806,34.68249722
白梅面粉,公司企业,公司,公司,周相路附近,陕西省,西安市,阎良区,109.2971676,34.68578447
永固商品混凝土第一公司,公司企业,公司,公司,由康路与阎油路交叉口南50米,陕西省,西安市,阎良区,109.305192,34.69123444
西安亿道纸业有限公司,公司企业,公司,公司,关山镇阎油路康桥加油站东南50米,陕西省,西安市,阎良区,109.304463,34.69143656
阎良区康隆瓜果专业合作社(阎良甜瓜生产基地),公司企业,农林牧渔基地,蔬菜基地,关山镇康村村东丁路,陕西省,西安市,阎良区,109.3355885,34.68642643
西安市阎良区颜心瓜菜专业合作社,公司企业,公司,公司,东丁路与康相路交叉口南100米,陕西省,西安市,阎良区,109.3420002,34.68601413
西安大天科技股份公司,公司企业,公司,公司,文化路与环城西路交叉口西南150米,陕西省,西安市,阎良区,109.3696564,34.69027732
西安上大不锈钢水箱有限公司,公司企业,公司企业,公司企业,四维南路附近,陕西省,西安市,阎良区,109.3787326,34.68477201
西安普瑞莫航空科技有限公司,公司企业,公司,公司,关山镇四维南路,陕西省,西安市,阎良区,109.3800538,34.6843794
阎良甜瓜乔家村种植基地,公司企业,农林牧渔基地,蔬菜基地,,陕西省,西安市,阎良区,109.4229232,34.68671099
翔瑞静电粉沫喷塑厂,公司企业,工厂,工厂,友谊路与昌赵路交叉口东150米,陕西省,西安市,阎良区,109.191356,34.67814244
西安飞机工业(集团)实业装饰装修工程公司,公司企业,公司,广告装饰,阎良街8号,陕西省,西安市,阎良区,109.2159493,34.67173585
西安丝绸之路建设有限公司,公司企业,公司企业,公司企业,新公园9号,陕西省,西安市,阎良区,109.21324,34.67627681
陕西镁科机械科技有限公司,公司企业,公司,机械电子,阎良街8号附近,陕西省,西安市,阎良区,109.2161494,34.67202379
西安恒润酒业有限公司,公司企业,公司,公司,凤凰路街道阎良街22号(阎良派出所斜对面),陕西省,西安市,阎良区,109.2169589,34.67185076
兴成养殖厂,公司企业,工厂,工厂,阎良街附近,陕西省,西安市,阎良区,109.2209299,34.67260075
西安鑫飞机械科技有限责任公司,公司企业,公司,公司,村东关组29,陕西省,西安市,阎良区,109.214219,34.67241241
西安飞机工业(集团)亨通航空电子有限公司,公司企业,公司,机械电子,公园街101号,陕西省,西安市,阎良区,109.2286949,34.67523796
西安林旗食品有限公司,公司企业,公司,公司,航天城大道中段与航空城大道中段交叉口南100米,陕西省,西安市,阎良区,109.2258863,34.67592554
陕西西清电子股份有限公司,公司企业,公司,机械电子,新华路街道公园路101号,陕西省,西安市,阎良区,109.2286929,34.67524096
西安市阎良蜂蜜加工厂,公司企业,工厂,工厂,富阎路与阎良街交汇处东150米,陕西省,西安市,阎良区,109.2297911,34.67372197
晶昊光伏发电,公司企业,公司企业,公司企业,富阎路与阎良街交叉口北150米,陕西省,西安市,阎良区,109.2284429,34.6742697
西安正通航空消防科技有限责任公司,公司企业,公司,公司,公园街101号,陕西省,西安市,阎良区,109.2286949,34.67523796
西安阎良雨轩商贸有限公司,公司企业,公司,商业贸易,阎良街附近,陕西省,西安市,阎良区,109.2269448,34.67335261
西安优莱亚环保家具制造有限公司,公司企业,公司企业,公司企业,富阎路附近,陕西省,西安市,阎良区,109.2277709,34.67405749
亿鑫公司(西安铁路道北新村北),公司企业,公司,公司,富阎路与阎良街交叉口南200米,陕西省,西安市,阎良区,109.2291202,34.67202015
西安航城新型建材有限公司,公司企业,公司,公司,凤凰路断垣小学东南400米,陕西省,西安市,阎良区,109.2362634,34.67758621
阎良区精良包装容器有限公司,公司企业,公司,公司,公园街,陕西省,西安市,阎良区,109.2453059,34.67514171
西安市阎良区美阁尔门厂,公司企业,工厂,工厂,康相路附近,陕西省,西安市,阎良区,109.246616,34.67584099
新牛村甜瓜种植基地,公司企业,农林牧渔基地,其它农林牧渔基地,新兴街道办事处新牛村,陕西省,西安市,阎良区,109.2800563,34.67596276
阎良甜瓜嘴子村种植基地,公司企业,农林牧渔基地,水果基地,新兴街道办事处嘴子村,陕西省,西安市,阎良区,109.3039177,34.67790408
润泽农机作业服务专业合作社,公司企业,公司企业,公司企业,周相路附近,陕西省,西安市,阎良区,109.328892,34.67612159
中共科农瓜菜专业合作社支部委员会,政府机构及社会团体,政府机关,政府机关相关|公司企业,,陕西省,西安市,阎良区,109.3305936,34.67198613
西安市阎良区科农甜瓜育苗中心,公司企业,农林牧渔基地,其它农林牧渔基地,,陕西省,西安市,阎良区,109.3305936,34.67198613
永宏现代农业园区,公司企业,农林牧渔基地,水果基地,关山镇北冯村,陕西省,西安市,阎良区,109.3297719,34.671653
西安秦龙儿童食品公司,公司企业,公司,公司,周相路附近,陕西省,西安市,阎良区,109.3352644,34.67455099
西安欧能达乳业集团,公司企业,公司企业,公司企业,北冯村,陕西省,西安市,阎良区,109.3351677,34.67409459
西安阎良通用建筑工程有限公司,公司企业,公司,公司,周相路附近,陕西省,西安市,阎良区,109.3330266,34.67493083
陕西秦龙乳业有限公司(周相路),公司企业,公司,公司,周相路附近,陕西省,西安市,阎良区,109.3352644,34.67455299
愿愿沙石商砼,公司企业,公司企业,公司企业,康相路附近,陕西省,西安市,阎良区,109.3427269,34.67963575
阎良甜瓜北冯村种植基地,公司企业,农林牧渔基地,蔬菜基地,关山镇北冯村,陕西省,西安市,阎良区,109.3415577,34.67201481
西安市阎良区让民果蔬专业合作社(阎良甜瓜种植基地),公司企业,农林牧渔基地,蔬菜基地,关山镇新马村二级路旁,陕西省,西安市,阎良区,109.3448212,34.67159445
西安航城面粉有限公司,公司企业,公司,公司,关山镇东兴村,陕西省,西安市,阎良区,109.3769628,34.6766599
西安市锦汇海绵制品有限公司,公司企业,公司,公司,关山工业园区,陕西省,西安市,阎良区,109.3887671,34.67615831
西安锦鸿机械有限公司,公司企业,公司,机械电子,航空城大道1,陕西省,西安市,阎良区,109.1655356,34.66639355
西安正航机械有限公司,公司企业,公司,机械电子,航空城大道1号,陕西省,西安市,阎良区,109.1655356,34.66639355
阎良公路管理段谭家养护中心,公司企业,公司,公司,航空城大道西段附近,陕西省,西安市,阎良区,109.1800731,34.6676714
西安龙展建筑劳务有限公司,公司企业,公司,公司,郑家村三镇组,陕西省,西安市,阎良区,109.1850773,34.6621663
西安天筑建设公司物资租赁站,公司企业,公司,公司,,陕西省,西安市,阎良区,109.1859626,34.66222979
