名称,大类,中类,小类,地址,省,市,区,WGS8_经度,WGS84_纬度
山陕村骨科,医疗保健服务,专科医院,骨科医院,水腰路,陕西省,西安市,阎良区,109.3692883,34.7311497
长山村卫生室,医疗保健服务,诊所,诊所,关山镇长山村,陕西省,西安市,阎良区,109.3574897,34.71395749
付马卫生室,医疗保健服务,诊所,诊所,关山镇付马村中组附近,陕西省,西安市,阎良区,109.4059073,34.71734782
康村卫生室,医疗保健服务,诊所,诊所,关山镇康村小学附近,陕西省,西安市,阎良区,109.3413305,34.69195179
苏赵村卫生室,医疗保健服务,诊所,诊所,关山镇,陕西省,西安市,阎良区,109.3558981,34.69370503
小白兔牙科,医疗保健服务,诊所,诊所,福康路关山汽车站东150米,陕西省,西安市,阎良区,109.3748053,34.69598383
西安市益生康健大药房,医疗保健服务,医药保健销售店,药房,官关路与阎油路交叉口西南50米,陕西省,西安市,阎良区,109.3742032,34.69584351
中西诊所,医疗保健服务,诊所,诊所,官关路与阎油路交叉口南200米,陕西省,西安市,阎良区,109.3746337,34.69455632
权建自然医学火疗馆,医疗保健服务,医疗保健服务场所,医疗保健服务场所,关山镇关山北街关山财政所附近,陕西省,西安市,阎良区,109.3740982,34.69786171
关山北街诊所,医疗保健服务,诊所,诊所,官关路与阎油路交叉口南150米,陕西省,西安市,阎良区,109.3745738,34.69477917
权科青少年视力服务连锁机构,医疗保健服务,医疗保健服务场所,医疗保健服务场所,,陕西省,西安市,阎良区,109.3792072,34.69260436
南良村卫生室,医疗保健服务,诊所,诊所,关山镇,陕西省,西安市,阎良区,109.4093084,34.70044253
坡底村卫生室,医疗保健服务,诊所,诊所,战备路与迎宾北路交叉口西150米,陕西省,西安市,阎良区,109.2041289,34.6871205
昌平村卫生室,医疗保健服务,诊所,诊所,战备路与阎荆路交叉口西100米,陕西省,西安市,阎良区,109.2120772,34.68661995
断塬村卫生室,医疗保健服务,诊所,诊所,战备路附近,陕西省,西安市,阎良区,109.2246432,34.68461565
中西诊所,医疗保健服务,诊所,诊所,周相路与阎油路交叉口北100米,陕西省,西安市,阎良区,109.3000003,34.68581664
康桥卫生院,医疗保健服务,诊所,诊所,康桥镇,陕西省,西安市,阎良区,109.3046641,34.68419693
广济大药房,医疗保健服务,医药保健销售店,药房,康桥北新街,陕西省,西安市,阎良区,109.3020449,34.68636158
关山村卫生室,医疗保健服务,诊所,诊所,永丰路与阎油路交叉口北200米,陕西省,西安市,阎良区,109.3758403,34.68897446
关山镇卫生院,医疗保健服务,综合医院,卫生院,阎油路附近,陕西省,西安市,阎良区,109.3736407,34.68953195
顺势疗法体验店,医疗保健服务,医疗保健服务场所,医疗保健服务场所,关山镇阎油路中国移动卫华指定专营店,陕西省,西安市,阎良区,109.3757934,34.6893002
李志刚中医诊所,医疗保健服务,诊所,诊所,文化路与阎油路交叉口南100米,陕西省,西安市,阎良区,109.37525,34.69114496
乔家村卫生室,医疗保健服务,诊所,诊所,关山镇附近,陕西省,西安市,阎良区,109.4075702,34.68815317
瑞康大药房,医疗保健服务,医药保健销售店,药房,富阎路西广合村靠近阎良区动物卫生监督所新华路街分所,陕西省,西安市,阎良区,109.2286291,34.67314584
