名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
西安市阎良区甜瓜科技示范园,商务住宅,产业园区,产业园区,阎油路附近,陕西省,西安市,阎良区,109.357245,34.69425353
106村道,商务住宅,住宅区,住宅区,,陕西省,西安市,阎良区,109.3133905,34.69101948
关山胜景,商务住宅,住宅区,住宅区,永丰路附近,陕西省,西安市,阎良区,109.3777186,34.68867517
关山府邸,商务住宅,住宅区,住宅区,四维南路与永丰路交叉口东150米,陕西省,西安市,阎良区,109.3814467,34.68818092
经廉小区,商务住宅,住宅区,住宅小区,S107(航空城大道西段),陕西省,西安市,阎良区,109.2105622,34.67211554
阎良区保障性住房10号住宅楼,商务住宅,住宅区,住宅小区,S107(航空城大道西段)经廉小区附近,陕西省,西安市,阎良区,109.2101539,34.67208808
阎良区保障性住房9号住宅楼,商务住宅,住宅区,住宅区,S107(航空城大道西段)经廉小区附近,陕西省,西安市,阎良区,109.2101369,34.67207407
西安市阎良区保障性住房,商务住宅,商务住宅相关,商务住宅相关,凤凰路街道航城佳苑小区14号楼六楼西户,陕西省,西安市,阎良区,109.2093582,34.67199021
阎良区保障房-5号住宅楼,商务住宅,住宅区,住宅区,宾广路与迎宾北路交叉口东北200米,陕西省,西安市,阎良区,109.209144,34.67202092
荆山开发区,商务住宅,产业园区,产业园区,航空城大道中段,陕西省,西安市,阎良区,109.2171206,34.67566443
公园道,商务住宅,住宅区,住宅区,公园新街6号,陕西省,西安市,阎良区,109.213194,34.67609892
瑞丰苑,商务住宅,住宅区,住宅小区,瑞羊楼饭庄,陕西省,西安市,阎良区,109.2283547,34.67642168
聚宝新城1期,商务住宅,住宅区,住宅小区,前进西路与振兴路交叉口西南50米,陕西省,西安市,阎良区,109.1928605,34.66205355
航城佳苑,商务住宅,住宅区,住宅小区,凤凰路街道迎宾北路,陕西省,西安市,阎良区,109.2095595,34.67145394
凤鸣苑,商务住宅,住宅区,住宅小区,凤凰北街与前进西路交叉口南150米,陕西省,西安市,阎良区,109.2143747,34.66653493
凤东小区,商务住宅,住宅区,住宅小区,前进西路延凤路,陕西省,西安市,阎良区,109.2193128,34.66508914
龙凤小区,商务住宅,住宅区,住宅小区,文化西路龙风小区(华美璟苑小区西50米),陕西省,西安市,阎良区,109.2161329,34.66570751
阎良区粮站家属院,商务住宅,住宅区,宿舍|商务住宅,凤凰北街与延凤路交叉口西150米,陕西省,西安市,阎良区,109.214666,34.66538628
竹苑小区,商务住宅,住宅区,住宅小区,凤凰东路南200米,陕西省,西安市,阎良区,109.2187248,34.66177559
延凤小区,商务住宅,住宅区,住宅小区,延凤路,陕西省,西安市,阎良区,109.2191535,34.66690235
烟草专卖局家属楼,商务住宅,住宅区,住宅区,延凤路39-2号,陕西省,西安市,阎良区,109.2191786,34.66605115
华美璟苑小区,商务住宅,住宅区,住宅小区,延凤路49号,陕西省,西安市,阎良区,109.2176227,34.66667412
交通局家属楼,商务住宅,住宅区,宿舍,凤凰北街与前进西路交叉口东南100米,陕西省,西安市,阎良区,109.2163669,34.66749913
农业银行家属楼,商务住宅,住宅区,宿舍,凤凰北街与延凤路交叉口西南150米,陕西省,西安市,阎良区,109.2148872,34.66453528
农林局家属楼,商务住宅,住宅区,宿舍,凤凰东路29号,陕西省,西安市,阎良区,109.2184344,34.66409722
阎良区公安局家属楼,商务住宅,住宅区,宿舍,凤凰路街道延安街9号,陕西省,西安市,阎良区,109.2183733,34.66470262
工商银行家属楼(延凤路),商务住宅,住宅区,宿舍,延凤路北100米,陕西省,西安市,阎良区,109.2182812,34.66572161
凤华小区,商务住宅,住宅区,住宅小区,凤凰北街80号,陕西省,西安市,阎良区,109.2129778,34.66431441
优公馆,商务住宅,住宅区,住宅小区,前进西路与延安街交叉口西北50米,陕西省,西安市,阎良区,109.2208713,34.6674344
凤凰新村四方小区,商务住宅,住宅区,住宅小区,凤凰西路,陕西省,西安市,阎良区,109.2150425,34.66211663
区财政局家属楼,商务住宅,住宅区,宿舍,凤凰东路31号,陕西省,西安市,阎良区,109.2173748,34.66413118
凤凰新村小区,商务住宅,住宅区,住宅小区,凤凰西路41号附近,陕西省,西安市,阎良区,109.2138987,34.66266192
供销大厦,商务住宅,住宅区,住宅小区,凤凰北街73号,陕西省,西安市,阎良区,109.2164732,34.66463083
税务局家属楼(凤凰北街),商务住宅,住宅区,宿舍,凤凰北街21号附近,陕西省,西安市,阎良区,109.2166644,34.66389069
良友商贸家属楼,商务住宅,住宅区,宿舍,延安街与文化西路交叉口西150米,陕西省,西安市,阎良区,109.2200822,34.66489301
前进商贸公司家属楼,商务住宅,住宅区,宿舍,前进西路与延安街交叉口西南100米,陕西省,西安市,阎良区,109.2207754,34.6664652
盛风家苑(延安街),商务住宅,住宅区,住宅小区,延凤路与延安街交叉口西北100米,陕西省,西安市,阎良区,109.2206443,34.66612839
区政府家属院,商务住宅,住宅区,宿舍,凤凰东路南100米,陕西省,西安市,阎良区,109.2187627,34.66267382
临凤小区,商务住宅,住宅区,住宅小区,前进西路与延安街交叉口南100米,陕西省,西安市,阎良区,109.2209614,34.66670214
凤凰路街道办事处2号家属楼,商务住宅,住宅区,宿舍,凤凰北街,陕西省,西安市,阎良区,109.2156269,34.66170861
阎良区委机关大院,商务住宅,商务住宅相关,商务住宅相关,凤凰东路1号,陕西省,西安市,阎良区,109.2205755,34.66396429
残联楼,商务住宅,楼宇,商务写字楼,前进西路与延安街交叉口东150米,陕西省,西安市,阎良区,109.222441,34.66701109
建秀大厦,商务住宅,楼宇,商务写字楼,前进西路与延安街交叉口东北100米,陕西省,西安市,阎良区,109.2218897,34.66762808
工商局家属楼(胜利街),商务住宅,住宅区,宿舍,胜利街161号附近,陕西省,西安市,阎良区,109.2243227,34.66672381
铁路小区(胜利街),商务住宅,住宅区,住宅小区,胜利街180号,陕西省,西安市,阎良区,109.2247726,34.66888818
鑫园商住小区,商务住宅,住宅区,住宅小区,公园街156号,陕西省,西安市,阎良区,109.2288335,34.66844125
纸厂小区,商务住宅,住宅区,住宅小区,前进东路65号,陕西省,西安市,阎良区,109.2312027,34.66807786
公园小区,商务住宅,住宅区,住宅小区,公园街与富阎路交叉口东南100米,陕西省,西安市,阎良区,109.2292827,34.66667111
航华盛世华都,商务住宅,住宅区,住宅小区,公园街与富阎路交叉口西南150米,陕西省,西安市,阎良区,109.2280466,34.66611589
农行家属院,商务住宅,住宅区,宿舍,新华路街道润天大道润西路,陕西省,西安市,阎良区,109.2273814,34.66716952
三处东院,商务住宅,住宅区,住宅小区,公园街49号,陕西省,西安市,阎良区,109.2300828,34.66616102
三处北院,商务住宅,住宅区,住宅小区,大良路78号,陕西省,西安市,阎良区,109.2296471,34.66222134
阎良二中家属楼,商务住宅,住宅区,宿舍,文化西路与胜利街交叉口西北150米,陕西省,西安市,阎良区,109.2234685,34.66574705
翔荷华府,商务住宅,住宅区,住宅小区,教育巷123号,陕西省,西安市,阎良区,109.2253063,34.66289299
天成阳光小区,商务住宅,住宅区,住宅小区,公园街与前进东路交叉口东200米,陕西省,西安市,阎良区,109.2307558,34.66732332
德方尚院小区,商务住宅,住宅区,住宅小区,文化西路7号附近,陕西省,西安市,阎良区,109.2222132,34.66424541
科苑小区,商务住宅,住宅区,住宅小区,教育巷16号附近,陕西省,西安市,阎良区,109.2266506,34.66273006
唐风紫苑商住楼,商务住宅,楼宇,商住两用楼宇,胜利路老服装厂,陕西省,西安市,阎良区,109.2251129,34.66745173
崇文小区(胜利街),商务住宅,住宅区,住宅小区,文化东路22号附近,陕西省,西安市,阎良区,109.2233394,34.6660217
皇城丽都,商务住宅,住宅区,住宅区,文化东路122号,陕西省,西安市,阎良区,109.2253312,34.66399202
永晓小区-北楼,商务住宅,住宅区,住宅区,前进东路与前进西路交叉口西100米,陕西省,西安市,阎良区,109.2230212,34.6669676
秦飞食品酿造厂家属楼,商务住宅,住宅区,住宅区,公园南街68号附近,陕西省,西安市,阎良区,109.2295897,34.66711788
翰骊·国际,商务住宅,住宅区,住宅小区,胜利路中段润麒宾馆北侧30米,陕西省,西安市,阎良区,109.2233696,34.664612
西安铁路道北新村,商务住宅,住宅区,住宅小区,公园街103号,陕西省,西安市,阎良区,109.2307014,34.67124372
