名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
南房村村委会,政府机构及社会团体,政府机关,乡镇以下级政府及事业单位,官关路与水腰路交叉口南100米,陕西省,西安市,阎良区,109.3725326,34.70994676
中共南房村支部委员会,政府机构及社会团体,政府机关,乡镇以下级政府及事业单位,官关路与水腰路交叉口南100米,陕西省,西安市,阎良区,109.3725326,34.70994776
阎良区界东瓜菜种植专业合作社,政府机构及社会团体,社会团体,社会团体相关,界坊村,陕西省,西安市,阎良区,109.3952798,34.70636067
西安市阎良区新瑞冬枣专业合作社,政府机构及社会团体,社会团体,社会团体相关,关山镇樊家村南周组,陕西省,西安市,阎良区,109.2713482,34.69491192
中共馥康甜瓜专业合作社支部委员会,政府机构及社会团体,政府机关,政府机关相关|公司企业,阎油路与106村道交叉口西100米,陕西省,西安市,阎良区,109.3123622,34.69251102
西安市关山工商所,政府机构及社会团体,工商税务机构,工商部门,官关路与阎油路交叉口南100米,陕西省,西安市,阎良区,109.3744539,34.6956055
西安市关山国税所办税服务厅,政府机构及社会团体,工商税务机构,国税机关,关山镇关山汽车站附近,陕西省,西安市,阎良区,109.3733796,34.6958283
关山国税所,政府机构及社会团体,工商税务机构,国税机关,关山镇,陕西省,西安市,阎良区,109.3733905,34.69574937
关山财政所,政府机构及社会团体,政府机关,乡镇级政府及事业单位,关山镇关山北街,陕西省,西安市,阎良区,109.3740024,34.69803564
关山镇人民政府,政府机构及社会团体,政府机关,乡镇级政府及事业单位,关山镇文化东路3号,陕西省,西安市,阎良区,109.375881,34.69234428
西安市关山司法所,政府机构及社会团体,公检法机构,公检法机关,文化路与阎油路交叉口东100米,陕西省,西安市,阎良区,109.3759738,34.69230724
关山镇委员会,政府机构及社会团体,政府机关,乡镇级政府及事业单位,文化路与阎油路交叉口东100米,陕西省,西安市,阎良区,109.3760337,34.69230319
西安市关山派出所,政府机构及社会团体,公检法机构,公安警察,关山镇闫关路,陕西省,西安市,阎良区,109.3764981,34.69205602
中共南良村支部委员会,政府机构及社会团体,政府机关,乡镇以下级政府及事业单位,水腰路附近,陕西省,西安市,阎良区,109.4094294,34.70040264
南良村村委会,政府机构及社会团体,政府机关,乡镇以下级政府及事业单位,水腰路附近,陕西省,西安市,阎良区,109.4094324,34.70040264
振兴街道昌平村村民监督委员会,政府机构及社会团体,政府机关,乡镇以下级政府及事业单位,振兴街道迎宾北路振兴街道办昌平村村民委员会附近,陕西省,西安市,阎良区,109.2096011,34.68729041
振兴街道办昌平村村民委员会,政府机构及社会团体,政府机关,乡镇以下级政府及事业单位,振兴街道迎宾北路,陕西省,西安市,阎良区,109.2096021,34.68728941
