名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
焕颜美妆,生活服务,美容美发店,美容美发店,X202(阎油路),陕西省,西安市,阎良区,109.3580931,34.6952124
中国电信(关山营业厅),生活服务,电讯营业厅,中国电信营业厅,福康路关山汽车站东200米,陕西省,西安市,阎良区,109.3751128,34.69627428
俏佳人婚纱摄影(官关路),生活服务,摄影冲印店,摄影冲印,官关路与阎油路交叉口西100米,陕西省,西安市,阎良区,109.373689,34.69616269
中国移动(关山营业厅),生活服务,电讯营业厅,中国移动营业厅,官关路与阎油路交叉口西南50米,陕西省,西安市,阎良区,109.3741943,34.69584752
金色年华婚纱摄影,生活服务,摄影冲印店,摄影冲印,官关路与阎油路交叉口南100米,陕西省,西安市,阎良区,109.3747944,34.69524553
玉玉美发屋,生活服务,美容美发店,美容美发店,官关路与阎油路交叉口南200米,陕西省,西安市,阎良区,109.3748693,34.69460806
焦点发屋,生活服务,美容美发店,美容美发店,关山镇北街新市场东50米,陕西省,西安市,阎良区,109.371917,34.69562494
红霞美发,生活服务,美容美发店,美容美发店,富阎路与战备路交叉口西南100米,陕西省,西安市,阎良区,109.2309183,34.68395016
中国移动,生活服务,电讯营业厅,中国移动营业厅,北新街路,陕西省,西安市,阎良区,109.3054418,34.68618469
中国邮政(康桥邮电所),生活服务,邮局,邮局,关山镇康桥村,陕西省,西安市,阎良区,109.3049872,34.68441115
中国电信(康桥营业厅),生活服务,电讯营业厅,中国电信营业厅,关山镇阎油路海安自选商城东北50米,陕西省,西安市,阎良区,109.3037643,34.68644745
靓颜坊女子美容美体养生会所,生活服务,美容美发店,美容美发店,关山镇关山南街(绿驹电动车南邻),陕西省,西安市,阎良区,109.3759053,34.68851883
梦娇美发屋,生活服务,美容美发店,美容美发店,关山镇,陕西省,西安市,阎良区,109.375261,34.69107002
中国移动(铁刘村服务站),生活服务,电讯营业厅,中国移动营业厅,友谊路附近,陕西省,西安市,阎良区,109.1898627,34.68025102
中国电信服务站(阎良街道店),生活服务,电讯营业厅,中国电信营业厅,阎良街6号附近,陕西省,西安市,阎良区,109.2164516,34.67208304
芳芳理发店(阎良街),生活服务,美容美发店,美容美发店,东六路尚勤路,陕西省,西安市,阎良区,109.2187999,34.67212028
建利电动车修理部,生活服务,维修站点,维修站点,航空城大道东段与航空城大道中段交叉口西南100米,陕西省,西安市,阎良区,109.2283437,34.67645864
陈师理发店,生活服务,美容美发店,美容美发店,富阎路与阎良街交叉口北150米,陕西省,西安市,阎良区,109.2284429,34.6742717
君茹发艺,生活服务,美容美发店,美容美发店,富阎路与阎良街交叉口北100米,陕西省,西安市,阎良区,109.228445,34.67424472
无限极中草药美容养生馆,生活服务,美容美发店,美容美发店,公园街97号附近,陕西省,西安市,阎良区,109.2289542,34.67253559
阎良印象中高端婚礼订制,生活服务,摄影冲印店,摄影冲印,心园街,陕西省,西安市,阎良区,109.2538159,34.67698137
诚饰恋人假发,生活服务,美容美发店,美容美发店,泾河工业园韩村一路佳福乐超市二楼,陕西省,西安市,阎良区,109.3018239,34.68121873
李平造型,生活服务,美容美发店,美容美发店,关中环线与官刘路交叉口西100米,陕西省,西安市,阎良区,109.161457,34.66592733
小东理发,生活服务,美容美发店,美容美发店,航空城大道西段附近,陕西省,西安市,阎良区,109.1757803,34.66713204
形象设计,生活服务,美容美发店,美容美发店,关中环线振兴段与西禹高速交汇桥头路北附近,陕西省,西安市,阎良区,109.1882695,34.66868092
中国移动(振兴营业厅),生活服务,电讯营业厅,中国移动营业厅,振兴路东50米,陕西省,西安市,阎良区,109.1924615,34.66649489
创想电脑科技专业维修服务中心,生活服务,维修站点,维修站点,振兴街道振兴乡政府南50米,陕西省,西安市,阎良区,109.1919478,34.66706153
L造型(振兴路),生活服务,美容美发店,美容美发店,振兴路中段铁路向北300米申通快递对面,陕西省,西安市,阎良区,109.1923535,34.66503303
海信用户服务中心(振兴路),生活服务,维修站点,维修站点,振兴路东50米,陕西省,西安市,阎良区,109.1928122,34.66469708
艾莱美养生馆,生活服务,美容美发店,美容美发店,友谊路与振兴路交叉口西北50米,陕西省,西安市,阎良区,109.1914099,34.66885402
爱美阁减肥瘦身中心,生活服务,美容美发店,美容美发店,前进西路附近,陕西省,西安市,阎良区,109.2065089,34.66867663
天述家电制冷维修部,生活服务,维修站点,维修站点,107省道附近,陕西省,西安市,阎良区,109.2096848,34.66924011
TCL空调售后服务中心,生活服务,维修站点,维修站点,迎宾北路与107省道交叉口往东70米,陕西省,西安市,阎良区,109.2093815,34.66918379
李想制冷维修部,生活服务,维修站点,维修站点,凤凰北街80号附近,陕西省,西安市,阎良区,109.2110189,34.66902989
佳艺理发店,生活服务,美容美发店,美容美发店,凤凰西路与迎宾北路交叉口西150米,陕西省,西安市,阎良区,109.2075924,34.66260252
静雅美发中心,生活服务,美容美发店,美容美发店,凤凰西路与迎宾北路交叉口东100米,陕西省,西安市,阎良区,109.2095543,34.66205246
建伟家电维修(凤凰西路),生活服务,维修站点,维修站点,凤凰村中队9号,陕西省,西安市,阎良区,109.2108143,34.66253554
天姿美容养生,生活服务,美容美发店,美容美发店,凤凰西路与迎宾北路交叉口东南100米,陕西省,西安市,阎良区,109.2090248,34.66171112
艺剪缘(凤凰西路),生活服务,美容美发店,美容美发店,闫良区凤凰中队,陕西省,西安市,阎良区,109.2109594,34.66224996
小柯电动摩托修理,生活服务,维修站点,维修站点,凤凰西路与迎宾北路交叉口东南50米,陕西省,西安市,阎良区,109.2090228,34.66172211
中国移动(速达通讯营业厅),生活服务,电讯营业厅,中国移动营业厅,凤凰路街道汽车站对面,陕西省,西安市,阎良区,109.2154393,34.66722642
时尚干洗(凤凰北街),生活服务,洗衣店,洗衣店,凤凰东路与凤凰西路交叉口南150米,陕西省,西安市,阎良区,109.2161142,34.66209776
自由品格经典发艺,生活服务,美容美发店,美容美发店,前进西路与凤凰北街交汇处西南角,陕西省,西安市,阎良区,109.2155665,34.6662994
纤纤玉指美甲(延凤路),生活服务,美容美发店,美容美发店,凤凰北街与延风路交叉口东北龙凤小区旁边,陕西省,西安市,阎良区,109.2161179,34.66558961
媖媓女子会所,生活服务,美容美发店,美容美发店,供销大厦1楼,陕西省,西安市,阎良区,109.2164021,34.66494847
春光魅影,生活服务,摄影冲印店,摄影冲印,凤凰北街68号附近,陕西省,西安市,阎良区,109.2159189,34.66380502
小伟电动车维修,生活服务,维修站点,维修站点,延凤路82号附近,陕西省,西安市,阎良区,109.2165162,34.66527229
芭莎造型(盛风家苑西南),生活服务,美容美发店,美容美发店,凤凰北街118附近,陕西省,西安市,阎良区,109.2154864,34.66678188
便民开修锁,生活服务,维修站点,维修站点,凤凰北街与延凤路交叉口东北50米,陕西省,西安市,阎良区,109.2160929,34.66528785
波涛造型形象创意工作室(阎良店),生活服务,美容美发店,美容美发店,凤凰北路盛风家苑13-3号,陕西省,西安市,阎良区,109.2154664,34.66696469
艺星造型(盛风家苑西南),生活服务,美容美发店,美容美发店,凤凰北街105号附近,陕西省,西安市,阎良区,109.2156335,34.66632344
UCC国际洗衣(凤凰北街),生活服务,洗衣店,洗衣店,凤凰北街龙风小区西南,陕西省,西安市,阎良区,109.2161079,34.6652489
今日美女子美容会所,生活服务,美容美发店,美容美发店,延凤路39-2号,陕西省,西安市,阎良区,109.2194888,34.66549693
正宗温州名剪染烫养护会所,生活服务,美容美发店,美容美发店,延凤路55-5号,陕西省,西安市,阎良区,109.2169815,34.66529774
木柏主题店,生活服务,美容美发店,美容美发店,延凤路82号附近,陕西省,西安市,阎良区,109.2165892,34.66520943
米莎干洗,生活服务,洗衣店,洗衣店,延凤路与凤凰北街交汇向南95米,陕西省,西安市,阎良区,109.2163332,34.66410517
哥弟·领秀,生活服务,美容美发店,美容美发店|购物服务,延凤路延凤小区东100米,陕西省,西安市,阎良区,109.2201892,34.6655595
恒信洗衣店,生活服务,洗衣店,洗衣店,延凤路28号,陕西省,西安市,阎良区,109.219781,34.66517049
魅丽艺剪,生活服务,美容美发店,美容美发店,年丰路与阎荆路交叉口南150米,陕西省,西安市,阎良区,109.2145826,34.66863924
卡柏洗衣(延凤路),生活服务,洗衣店,洗衣店,延凤路21号延凤小区向东50米,陕西省,西安市,阎良区,109.2202712,34.66557456
赛科电脑科技服务中心,生活服务,维修站点,维修站点,凤凰北街25号附近,陕西省,西安市,阎良区,109.2165735,34.66186843
大众理发店(前进西路),生活服务,美容美发店,美容美发店,年丰路与阎荆路交叉口东南50米附近,陕西省,西安市,阎良区,109.2144375,34.6689508
