名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
老王小学,科教文化服务,科教文化场所,科教文化场所,北水路,陕西省,西安市,阎良区,109.377386,34.73318694
孙家小学,科教文化服务,科教文化场所,科教文化场所,关山镇孙家村,陕西省,西安市,阎良区,109.361284,34.73007859
南房小学,科教文化服务,科教文化场所,科教文化场所,水腰路,陕西省,西安市,阎良区,109.3729047,34.71378973
驸马幼儿园,科教文化服务,学校,幼儿园,驸马村,陕西省,西安市,阎良区,109.4039673,34.71717831
界坊小学,科教文化服务,科教文化场所,科教文化场所,,陕西省,西安市,阎良区,109.3992293,34.70468429
陕西省农作物品种试验站,科教文化服务,科研机构,科研机构,北塬环线,陕西省,西安市,阎良区,109.182948,34.69740409
西安阎良坤源科三考场,科教文化服务,科教文化场所,科教文化场所,富阎路附近,陕西省,西安市,阎良区,109.2239454,34.69214512
关山镇康村小学,科教文化服务,学校,小学,关山镇,陕西省,西安市,阎良区,109.3413295,34.69197977
关山中学,科教文化服务,学校,中学,闫良区关山镇,陕西省,西安市,阎良区,109.3806762,34.69369728
驰奥驾校,科教文化服务,驾校,驾校,关山镇南街,陕西省,西安市,阎良区,109.373079,34.69600443
关山镇中心小学,科教文化服务,科教文化场所,科教文化场所,阎油路,陕西省,西安市,阎良区,109.3787389,34.69222406
学成教育,科教文化服务,科教文化场所,科教文化场所,关山镇政府西隔壁,陕西省,西安市,阎良区,109.3755824,34.69277714
青春年华军事文化拓展训练基地,科教文化服务,科教文化场所,科教文化场所,航空城大道西段1号,陕西省,西安市,阎良区,109.1677465,34.68634341
坡底小学,科教文化服务,学校,小学,战备路与G5京昆高速交叉口东200米,陕西省,西安市,阎良区,109.2004378,34.68698442
荆山路小学,科教文化服务,学校,小学,302乡道,陕西省,西安市,阎良区,109.2178872,34.68551309
坤原驾校训练基地,科教文化服务,驾校,驾校,战备路与阎荆路交叉口南200米,陕西省,西安市,阎良区,109.2125167,34.684954
坤原科目三考场,科教文化服务,科教文化场所,科教文化场所,富阎路与战备路交叉口西南200米,陕西省,西安市,阎良区,109.2289783,34.6821108
坤元科三考场,科教文化服务,科教文化场所,科教文化场所,富阎路17-19号附近,陕西省,西安市,阎良区,109.2306684,34.68328864
阎良坤原科目二考场,科教文化服务,驾校,驾校,,陕西省,西安市,阎良区,109.2909942,34.68314183
康桥小学,科教文化服务,科教文化场所,科教文化场所,关山镇康桥老街西段,陕西省,西安市,阎良区,109.3035909,34.68452455
康桥中学,科教文化服务,学校,中学,关山镇东丁村,陕西省,西安市,阎良区,109.3127138,34.68556083
关山文体中心,科教文化服务,科教文化场所,科教文化场所,关山镇和谐路关山胜景南400米,陕西省,西安市,阎良区,109.3772606,34.68494301
关山永丰小学,科教文化服务,学校,小学,永丰路,陕西省,西安市,阎良区,109.3828821,34.68670639
乔家王娜幼儿园,科教文化服务,学校,幼儿园,关山镇,陕西省,西安市,阎良区,109.4073001,34.68812507
凤凰幼儿园,科教文化服务,学校,幼儿园,迎宾北路航城佳苑小区内,陕西省,西安市,阎良区,109.2098576,34.67247237
凤凰小学,科教文化服务,学校,小学,阎良村老街道,陕西省,西安市,阎良区,109.2185446,34.67362367
启蒙作业辅导学生托管,科教文化服务,培训机构,培训机构,村老街道凤凰小学附近,陕西省,西安市,阎良区,109.2188158,34.67365289
疯狂龙博士托管学习中心,科教文化服务,科教文化场所,科教文化场所,阎良街(派出所向东150米),陕西省,西安市,阎良区,109.2194682,34.67225077
相习教育,科教文化服务,科教文化场所,科教文化场所,阎良老街派出所向东一百米路南,陕西省,西安市,阎良区,109.2204247,34.67176207
阎良区第一中学,科教文化服务,学校,中学,阎良街3号,陕西省,西安市,阎良区,109.2223293,34.67439527
东方清华幼儿园,科教文化服务,学校,幼儿园,富阎路与阎良街交叉口东南200米,陕西省,西安市,阎良区,109.2304013,34.67242549
凤凰路断垣小学,科教文化服务,科教文化场所,科教文化场所,凤凰路街道凤凰路,陕西省,西安市,阎良区,109.2327306,34.68025543
官路幼儿园,科教文化服务,学校,幼儿园,新兴街道官路村五组,陕西省,西安市,阎良区,109.2524312,34.67714867
嘴子小学,科教文化服务,科教文化场所,科教文化场所,,陕西省,西安市,阎良区,109.302703,34.67698408
驰奥驾校训练场,科教文化服务,科教文化场所,科教文化场所,原嘴子小学院内,陕西省,西安市,阎良区,109.302702,34.67698208
关山新义小学,科教文化服务,科教文化场所,科教文化场所,关山镇新义村,陕西省,西安市,阎良区,109.3979525,34.67485402
新颖乐乐幼儿园,科教文化服务,学校,幼儿园,航空城大道西段附近,陕西省,西安市,阎良区,109.1707392,34.6666381
明星幼儿园,科教文化服务,学校,幼儿园,振兴街道办谭家村十一组,陕西省,西安市,阎良区,109.1783725,34.66703988
谭家小学,科教文化服务,学校,小学,航空城大道西段,陕西省,西安市,阎良区,109.1748679,34.66701046
快乐天使幼儿兴趣班,科教文化服务,科教文化场所,科教文化场所,航空城大道西段南50米,陕西省,西安市,阎良区,109.176812,34.66681623
伯乐教育,科教文化服务,科教文化场所,科教文化场所,航空城大道西段谭家小学附近,陕西省,西安市,阎良区,109.1750151,34.66708167
舞韵舞蹈工作室,科教文化服务,培训机构,培训机构,航空城大道西段北50米,陕西省,西安市,阎良区,109.1776353,34.66735425
西安市阎良区振兴初级中学,科教文化服务,学校,中学,振兴乡郑家村2组,陕西省,西安市,阎良区,109.1907681,34.66751218
西安市农村义务教育学生营养改善计划试点学校,科教文化服务,科教文化场所,科教文化场所,振兴街15号附近,陕西省,西安市,阎良区,109.1910725,34.66812713
舞韵舞蹈工作室,科教文化服务,培训机构,培训机构,振兴街道(西安市振兴派出所西侧),陕西省,西安市,阎良区,109.1924554,34.66840414
振兴综合文化站,科教文化服务,文化宫,文化宫,振兴路1,陕西省,西安市,阎良区,109.19143,34.66754225
星宇艺术培训中心(阎良分校),科教文化服务,培训机构,培训机构,前进西路与振兴路交叉口北150米,陕西省,西安市,阎良区,109.1930526,34.66346059
坤原驾校,科教文化服务,驾校,驾校,迎宾北路和宾广路的交叉口附近,陕西省,西安市,阎良区,109.2075357,34.67086096
坤原驾校练车场,科教文化服务,科教文化场所,科教文化场所,宾广路与迎宾北路交叉口西南50米,陕西省,西安市,阎良区,109.2075357,34.67086096
西飞技师学院(北区),科教文化服务,学校,高等院校,凤凰路街道凤凰北街86号,陕西省,西安市,阎良区,109.2156156,34.66571298
西飞工学院(龙风小区西),科教文化服务,学校,高等院校,凤凰北街86号,陕西省,西安市,阎良区,109.2152433,34.66556972
西安市阎良区幼儿园,科教文化服务,学校,幼儿园,凤凰东路31号,陕西省,西安市,阎良区,109.2175989,34.6644571
新舟文化传媒有限公司,科教文化服务,科教文化场所,科教文化场所,卫生防疫站对面,陕西省,西安市,阎良区,109.2139215,34.66476304
西安市阎良区方圆钱币文化研究所,科教文化服务,科研机构,科研机构,凤凰路街道延凤西路凤华小区6栋一层东门面,陕西省,西安市,阎良区,109.213232,34.66476429
中共西安市阎良区委党校,科教文化服务,学校,学校,延安街8号,陕西省,西安市,阎良区,109.2210046,34.66459609
西安博森文化教育(防疫站校区),科教文化服务,培训机构,培训机构,延凤路西段,陕西省,西安市,阎良区,109.214711,34.66483083
阎良区卫生局卫生监督(协管)培训中心,科教文化服务,培训机构,培训机构,凤凰北街80号,陕西省,西安市,阎良区,109.2140476,34.66510387
阎良广播电视台,科教文化服务,科教文化场所,科教文化场所,闫良区延安路6号,陕西省,西安市,阎良区,109.2211298,34.66341226
新姿舞蹈,科教文化服务,培训机构,培训机构,凤凰西路25号附近,陕西省,西安市,阎良区,109.2154027,34.6631191
育人教育辅导中心,科教文化服务,培训机构,培训机构,凤凰西路32附近,陕西省,西安市,阎良区,109.2143039,34.66273129
武魂搏击俱乐部,科教文化服务,培训机构,培训机构,凤凰西路183附近,陕西省,西安市,阎良区,109.2124086,34.66275818
阎良区西飞第二中学,科教文化服务,学校,中学,教育巷24号,陕西省,西安市,阎良区,109.2258605,34.66184532
小天才,科教文化服务,科教文化场所,科教文化场所,前进西路16号附近,陕西省,西安市,阎良区,109.2268963,34.66700935
艺海文化艺术中心,科教文化服务,培训机构,培训机构|科教文化服务,康复巷与胜利街交叉口南100米,陕西省,西安市,阎良区,109.2241611,34.66196599
领军教育(阎良胜利路南校区),科教文化服务,科教文化场所,科教文化场所,胜利路7号,陕西省,西安市,阎良区,109.2243158,34.66554088
西安财经学院阎良函授站,科教文化服务,学校,成人教育,胜利街199号附近,陕西省,西安市,阎良区,109.2241345,34.66838117
海伦幼儿园(凤凰路街道铁路社区居民监督委员会东北),科教文化服务,学校,幼儿园,胜利街213号(西安铁路局阎良工务段附近),陕西省,西安市,阎良区,109.2249006,34.66934386
西安领军教育(阎良胜利路北校区),科教文化服务,科教文化场所,科教文化场所,胜利街173号附近,陕西省,西安市,阎良区,109.2243238,34.66557286
视欣近视弱视防治研究中心(阎良店),科教文化服务,科研机构,科研机构,教育路(西飞二中对面),陕西省,西安市,阎良区,109.2251143,34.66261511
酷快文教,科教文化服务,培训机构,培训机构,阎良文化东路皇城丽都东侧新世纪南门对面,陕西省,西安市,阎良区,109.2264924,34.66473814
追忆教育(西安市阎良区中医医院东),科教文化服务,培训机构,培训机构,前进路新世纪购物广场正对面5楼,陕西省,西安市,阎良区,109.2265042,34.6675476
西安市阎良区领航教育培训中心,科教文化服务,培训机构,培训机构,前进东路与前进西路交叉口北150米,陕西省,西安市,阎良区,109.2241345,34.66838117
萤火虫教育乐园,科教文化服务,培训机构,培训机构,公园街与文化东路交叉口西50米,陕西省,西安市,阎良区,109.2285828,34.66492329
茅顿教育,科教文化服务,培训机构,培训机构,胜利路中段开尔男装二楼,陕西省,西安市,阎良区,109.2239439,34.66331961
电大阎良学习中心,科教文化服务,培训机构,培训机构,在中铁电气化局西铁工程公司职工教育中心附近,陕西省,西安市,阎良区,109.2255918,34.66938531
无线星空教育(阎良校区),科教文化服务,科教文化场所,科教文化场所,康复巷与胜利街交叉口东北50米,陕西省,西安市,阎良区,109.224179,34.66273032
《荆山》杂志社,科教文化服务,传媒机构,杂志社,胜利路中段,陕西省,西安市,阎良区,109.2241118,34.6650212
康思铁中教育阎良分校,科教文化服务,培训机构,培训机构,胜利街68号附近,陕西省,西安市,阎良区,109.2239378,34.66363232
昂立国际教育教育,科教文化服务,培训机构,培训机构,康复巷与胜利街交叉口南50米,陕西省,西安市,阎良区,109.224165,34.66212885
四叶草漫画培训班,科教文化服务,培训机构,培训机构,康复巷与胜利街交叉口东50米,陕西省,西安市,阎良区,109.2244291,34.66247374
胜行文化艺术教育体验中心,科教文化服务,培训机构,培训机构,前进西路99号附近,陕西省,西安市,阎良区,109.2219948,34.66739138
修尔文教育,科教文化服务,培训机构,培训机构,公园路与大良路红绿灯向西50米,陕西省,西安市,阎良区,109.228445,34.66265725
新思维教育培训中心(教育巷),科教文化服务,培训机构,培训机构,康复巷与胜利街交叉口东50米,陕西省,西安市,阎良区,109.2244291,34.66247374
西安西铁建筑安装工程有限公司职工教育培训基地,科教文化服务,培训机构,培训机构,胜利街78号,陕西省,西安市,阎良区,109.2235322,34.66891922
国巍培训,科教文化服务,培训机构,培训机构,大良路2号附近,陕西省,西安市,阎良区,109.2305062,34.66252852
西安市阎良区建筑设计室,科教文化服务,科研机构,科研机构,延安街21号,陕西省,西安市,阎良区,109.2215387,34.66616712
聚翔教育,科教文化服务,培训机构,培训机构,胜利路中段建绣大厦,陕西省,西安市,阎良区,109.2241671,34.66201795
知道教育,科教文化服务,培训机构,培训机构,大良路与教育巷交叉口南50米,陕西省,西安市,阎良区,109.2290411,34.66227994
西安戴氏教育名校冲刺(阎良校区),科教文化服务,培训机构,培训机构,胜利路中段建秀商厦2层(胜利路与康复路十字东南角),陕西省,西安市,阎良区,109.2243101,34.66205802
西安红绿蓝影视文化传播有限公司,科教文化服务,传媒机构,传媒机构,前进西路77号附近,陕西省,西安市,阎良区,109.2227021,34.6671202
金智慧教育培训学校,科教文化服务,培训机构,培训机构,前进西路101号建秀商厦5楼(近新华书店),陕西省,西安市,阎良区,109.2241621,34.66199797
西安戴氏高考中考学校阎良总校,科教文化服务,培训机构,培训机构,凤凰路街道胜利路新华书店北侧,陕西省,西安市,阎良区,109.2241621,34.66199797
丁老师托管中心,科教文化服务,学校,幼儿园,康复巷与胜利街交叉口东50米,陕西省,西安市,阎良区,109.2244291,34.66247374
西安市雅艺艺术学校,科教文化服务,培训机构,培训机构,康复巷与胜利街交叉口东50米,陕西省,西安市,阎良区,109.2244291,34.66247374
中航工业一飞院蓝天幼儿园,科教文化服务,学校,幼儿园,润天大道中段附近,陕西省,西安市,阎良区,109.2368934,34.66465019
阁楼音乐文化,科教文化服务,科教文化场所,科教文化场所,润天大道(近壳牌加油站),陕西省,西安市,阎良区,109.2355405,34.66654206
西安市第六保育院,科教文化服务,学校,幼儿园,润天路71号,陕西省,西安市,阎良区,109.2359695,34.66595473
一鸣早教幼托中心,科教文化服务,学校,幼儿园,大良路美家·大良商业街,陕西省,西安市,阎良区,109.2352478,34.66324694
西安市阎良区机动车驾驶员培训学校,科教文化服务,驾校,驾校,前进东路筑金商贸街,陕西省,西安市,阎良区,109.2347284,34.66850399
秦信教育,科教文化服务,培训机构,培训机构,润天路北段(宜皇酒店附近),陕西省,西安市,阎良区,109.2357514,34.66710862
西安市公安局阎良分局交通警察大队车辆管理所考场,科教文化服务,驾校,驾校,前进东路2号,陕西省,西安市,阎良区,109.2347294,34.66850199
西安市第一保育院(阎良分院),科教文化服务,学校,幼儿园,润天路71号,陕西省,西安市,阎良区,109.2359695,34.66595473
坤原驾校,科教文化服务,驾校,驾校,润天大道32号,陕西省,西安市,阎良区,109.2380268,34.66836213
神墨教育,科教文化服务,培训机构,培训机构,润天大道农行家属楼南(航苑小区东),陕西省,西安市,阎良区,109.2360025,34.66535828
麻张辅导班,科教文化服务,培训机构,培训机构,前进东路与筑金商业步行街交叉口南100米,陕西省,西安市,阎良区,109.2377139,34.66788848
西安新智围棋培训,科教文化服务,培训机构,培训机构,润天大道15号附近,陕西省,西安市,阎良区,109.2354795,34.66701761
爱贝乐阅悦宝贝绘本馆,科教文化服务,科教文化场所,科教文化场所,公园街5号附近,陕西省,西安市,阎良区,109.23248,34.66484639
教育部十一五规划课题教研点,科教文化服务,科研机构,科研机构,润天大道16号,陕西省,西安市,阎良区,109.2362207,34.6627577
力为机器人,科教文化服务,科教文化场所,科教文化场所,前进东路与润天大道交叉口南50米,陕西省,西安市,阎良区,109.2361157,34.66319827
TEN ONE智能钢琴,科教文化服务,培训机构,培训机构,润天路华夏医院对面,陕西省,西安市,阎良区,109.2363276,34.66382877
舞音艺术培训中心,科教文化服务,科教文化场所,科教文化场所,丰收路南50米,陕西省,西安市,阎良区,109.2336921,34.6622003
鸿雁毛线编织部,科教文化服务,培训机构,培训机构,公园街5号附近,陕西省,西安市,阎良区,109.232583,34.66481646
海月琴行,科教文化服务,培训机构,培训机构,美家·大良商业街5楼,陕西省,西安市,阎良区,109.2335451,34.66297854
秦筝音乐教室,科教文化服务,培训机构,培训机构,大良路美家·大良商业街2层C-05,陕西省,西安市,阎良区,109.2335451,34.66297854
八天英语(大良路店),科教文化服务,培训机构,培训机构,大良路美家·大良商业街,陕西省,西安市,阎良区,109.2335451,34.66297854
小螺号舞蹈,科教文化服务,培训机构,培训机构,大良路50号,陕西省,西安市,阎良区,109.233792,34.6630176
龙门教育(大良路校区),科教文化服务,培训机构,培训机构,大良路芝麻街二楼东C-08室,陕西省,西安市,阎良区,109.234015,34.66281088
博森文化教育,科教文化服务,培训机构,培训机构,大良路55号,陕西省,西安市,阎良区,109.233769,34.66301559
中国金笔作文阎良培训中心,科教文化服务,培训机构,培训机构,润天大道16号,陕西省,西安市,阎良区,109.2362167,34.6627607
卓艺教育学校,科教文化服务,培训机构,培训机构,大良路美家·大良商业街2层,陕西省,西安市,阎良区,109.2335451,34.66297854
新舞堂街舞工作室,科教文化服务,培训机构,培训机构,大良路芝麻街,陕西省,西安市,阎良区,109.2332221,34.66274062
卓艺教育(大良路),科教文化服务,培训机构,培训机构,大良路芝麻街2楼,陕西省,西安市,阎良区,109.233749,34.66301359
缤纷鸟美术馆,科教文化服务,培训机构,培训机构,大良路美家大良商业街(芝麻街)2楼C-12,陕西省,西安市,阎良区,109.2335451,34.66297854
龙飞体育舞蹈,科教文化服务,培训机构,培训机构,大良路芝麻街2楼d-20,陕西省,西安市,阎良区,109.2330321,34.66271056
小桔子作文培训,科教文化服务,培训机构,培训机构,大良路48号附近,陕西省,西安市,阎良区,109.233967,34.66288779
阿敏拉丁舞,科教文化服务,培训机构,培训机构,大良路48号附近,陕西省,西安市,阎良区,109.233995,34.66291278
艺知龙美术教育,科教文化服务,培训机构,培训机构,大良路芝麻街二楼C-25室,陕西省,西安市,阎良区,109.234003,34.66287282
魔耳国际英语,科教文化服务,培训机构,培训机构,大良路芝麻街2层,陕西省,西安市,阎良区,109.2336721,34.66290965
