名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
尚购生活购物广场,购物服务,商场,普通商场,关山镇付马村中组,陕西省,西安市,阎良区,109.4056203,34.71729476
好运超市(阎富友谊路),购物服务,超级市场,超市,阎富友谊路与301乡道交叉口北100米,陕西省,西安市,阎良区,109.1892543,34.69794851
荆塬便民超市,购物服务,超级市场,超市,北塬环线附近,陕西省,西安市,阎良区,109.1972042,34.69469838
家福乐购物广场,购物服务,商场,商场,阎油路关山邮电所南,陕西省,西安市,阎良区,109.3749564,34.69204538
海平自选超市,购物服务,超级市场,超市,周相路与阎油路交叉口北200米,陕西省,西安市,阎良区,109.2999364,34.68667395
诚信综合批零超市,购物服务,超级市场,超市,北新街路附近,陕西省,西安市,阎良区,109.3054059,34.68638457
北街王家自选超市,购物服务,超级市场,超市,北新街路海安自选商城东侧,陕西省,西安市,阎良区,109.3036945,34.68628573
海安自选商城,购物服务,商场,商场,康桥北新街(近康琼家电门市部),陕西省,西安市,阎良区,109.3028358,34.68621732
惠万家批零超市,购物服务,超级市场,超市,关山镇南街,陕西省,西安市,阎良区,109.3757723,34.69035923
永惠超市(凤凰西路),购物服务,超级市场,超市,迎宾北路与凤凰西路交叉口向东350米,陕西省,西安市,阎良区,109.2125147,34.66250852
好再来(凤凰西路),购物服务,超级市场,超市,凤凰北街凤城商行附近(凤华小区西),陕西省,西安市,阎良区,109.2114328,34.66266015
阎良新世纪购物广场,购物服务,商场,普通商场,新华路街道前进西路,陕西省,西安市,阎良区,109.2261922,34.66718972
前进路商贸城,购物服务,商场,普通商场,前进路与胜利路交叉口,陕西省,西安市,阎良区,109.2246857,34.66779811
梦想城购物广场(建设中),购物服务,商场,购物中心,前进路与公园路十字西南角,陕西省,西安市,阎良区,109.2284206,34.66713019
利鑫商贸,购物服务,商场,普通商场|购物服务,文化西路与胜利街交叉口旁,陕西省,西安市,阎良区,109.2243238,34.66557386
航华梦想城广场,购物服务,超级市场,超市,新华路街道前进路与公园路交汇处南侧,陕西省,西安市,阎良区,109.2282675,34.66739986
永福购物广场,购物服务,超级市场,超市,前进东路,陕西省,西安市,阎良区,109.2378198,34.66884264
初之吻成人用品,购物服务,超级市场,超市,前进路金松心天地门面房10101号,陕西省,西安市,阎良区,109.236957,34.66870454
燕平超市,购物服务,超级市场,超市,倚天路与前进东路交汇处向东365米,陕西省,西安市,阎良区,109.2469633,34.66988141
华兴超市(倚中路店),购物服务,便民商店/便利店,便民商店/便利店|购物服务,倚天路盛风逸园门口,陕西省,西安市,阎良区,109.2476642,34.66444527
惠欧超市,购物服务,超级市场,超市,倚中路与倚天路交叉口东北50米,陕西省,西安市,阎良区,109.2466929,34.66425853
永盛超市(南林路),购物服务,超级市场,超市,南林路与阎油路交叉口西南100米,陕西省,西安市,阎良区,109.2709213,34.667095
胖胖自选超市,购物服务,超级市场,超市,107省道东200米附近,陕西省,西安市,阎良区,109.2751878,34.66489159
顺风自选超市,购物服务,超级市场,超市,新兴街道办,陕西省,西安市,阎良区,109.2737812,34.66755169
万顺和自选超市,购物服务,超级市场,超市,万南阎油路西安市新兴街道办,陕西省,西安市,阎良区,109.2737623,34.66747179
张寨伊杭超市,购物服务,超级市场,超市,阎油路张家寨附近,陕西省,西安市,阎良区,109.377982,34.66971643
亚文超市,购物服务,超级市场,超市,南樊小学附近,陕西省,西安市,阎良区,109.3790832,34.66154998
水寨自选超市,购物服务,超级市场,超市,关山镇水寨村,陕西省,西安市,阎良区,109.4061619,34.66744659
宇航超市,购物服务,超级市场,超市,阎南路北50米,陕西省,西安市,阎良区,109.1732546,34.65195099
平安购物超市,购物服务,超级市场,超市,振兴路聚宝新城西50米,陕西省,西安市,阎良区,109.1908078,34.66027578
人人乐(阎良店),购物服务,超级市场,超市,人民路西段腾飞广场1-2层,陕西省,西安市,阎良区,109.2160994,34.65991371
恒生百货(凤凰北街),购物服务,商场,普通商场,人民西路与腾飞商业步行街交叉口东北100米,陕西省,西安市,阎良区,109.2160704,34.65991168
屈臣氏(阎良腾飞店),购物服务,超级市场,屈臣氏,人民西路腾飞商业步行街1层,陕西省,西安市,阎良区,109.2153199,34.65963715
物美购物广场(鸿飞小区北),购物服务,超级市场,超市,鑫源建材市场北侧南孙街道西口,陕西省,西安市,阎良区,109.2117939,34.6531451
百家欢超市(南孙便利店),购物服务,超级市场,超市,南孙村5号,陕西省,西安市,阎良区,109.2143228,34.65310694
华润万家(阎良店),购物服务,超级市场,华润,人民路千禧家园1-2层,陕西省,西安市,阎良区,109.2249146,34.65870048
盛世金华购物广场,购物服务,商场,购物中心,北屯街道人民东路246-18号,陕西省,西安市,阎良区,109.2244825,34.65789289
星光新天地购物中心,购物服务,商场,购物中心,新华街与白云路交叉口东北150米,陕西省,西安市,阎良区,109.2245315,34.65776504
中瑞百货(人民中路),购物服务,商场,普通商场,人民路中段,陕西省,西安市,阎良区,109.2251466,34.65889947
中航城市广场,购物服务,商场,购物中心,人民东路194号,陕西省,西安市,阎良区,109.2278992,34.65882038
西飞员工服务保障中心,购物服务,超级市场,超市,安全巷与西飞大道交叉口东南100米,陕西省,西安市,阎良区,109.2227359,34.65764378
