名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
中国太平洋人寿保险股份有限公司(闫良营销服务部),金融保险服务,金融保险服务机构,金融保险机构,阎油路与官关路交叉口东100米路北,陕西省,西安市,阎良区,109.37559,34.6963278
中国信合ATM(关山分社),金融保险服务,自动提款机,农村商业银行ATM,关山镇关山街,陕西省,西安市,阎良区,109.3754546,34.69222976
中国邮政储蓄银行(关山营业所),金融保险服务,银行,中国邮政储蓄银行,关山镇,陕西省,西安市,阎良区,109.3748964,34.69299555
中国邮政储蓄银行ATM,金融保险服务,自动提款机,中国邮政储蓄银行ATM,关山镇,陕西省,西安市,阎良区,109.3749434,34.69276772
中国人寿保险股份有限公司(康桥营销服务部),金融保险服务,保险公司,中国人寿保险公司,周相路与阎油路交叉口南100米,陕西省,西安市,阎良区,109.2998937,34.68424628
中国农村信用合作社(康桥分社),金融保险服务,银行,银行,关山镇康桥老街道,陕西省,西安市,阎良区,109.3049683,34.68409148
中国邮政储蓄银行(康桥营业所),金融保险服务,银行,中国邮政储蓄银行,康桥乡,陕西省,西安市,阎良区,109.3050171,34.68439012
华泰保险,金融保险服务,金融保险服务机构,金融保险机构,关山镇南街,陕西省,西安市,阎良区,109.3758613,34.68878262
中国工商银行自助银行,金融保险服务,自动提款机,中国工商银行ATM,倚天路,陕西省,西安市,阎良区,109.2525614,34.67342205
中国工商银行(西安阎良区凤凰路支行),金融保险服务,银行,中国工商银行,凤凰路南段,陕西省,西安市,阎良区,109.3018269,34.68121972
陕西信合(振兴路),金融保险服务,银行,农村商业银行,振兴街15号,陕西省,西安市,阎良区,109.1910925,34.66838592
中国信合(振兴卫生院西),金融保险服务,银行,农村商业银行,振兴街15号,陕西省,西安市,阎良区,109.1911055,34.66826406
中国太平洋保险(集团)股份有限公司,金融保险服务,保险公司,中国太平洋保险,振兴街15号附近,陕西省,西安市,阎良区,109.1909152,34.6683127
中国农业银行24小时自助银行(振兴路),金融保险服务,自动提款机,中国农业银行ATM,振兴路西50米,陕西省,西安市,阎良区,109.192077,34.66640934
洁信商务,金融保险服务,金融保险服务机构,金融保险机构,凤凰路街道迎宾北路茂源建材市场西排106号,陕西省,西安市,阎良区,109.206089,34.66259059
翼龙贷阎良区运营中心,金融保险服务,金融保险服务机构,金融保险机构,迎宾北路华盛宫酒店二楼,陕西省,西安市,阎良区,109.2085754,34.66250085
中国太平洋保险(集团)股份有限公司(前进西路),金融保险服务,保险公司,中国太平洋保险,前进西路北50米,陕西省,西安市,阎良区,109.2019531,34.66854055
渤海财产保险,金融保险服务,保险公司,保险公司,凤凰北街146号附近,陕西省,西安市,阎良区,109.2158596,34.66685519
华泰保险,金融保险服务,保险公司,华泰财产保险股份有限公司,凤凰北路老汽车站对面,陕西省,西安市,阎良区,109.2154974,34.66713257
阳光财产保险集团(延凤路),金融保险服务,保险公司,保险公司,凤凰路街道延凤西路,陕西省,西安市,阎良区,109.2148981,34.66516872
陕西信合(阎荆路),金融保险服务,银行,银行,107省道和阎荆路的交叉口附近,陕西省,西安市,阎良区,109.2142112,34.67065101
中国农村信用合作社(阎良街分社),金融保险服务,银行,银行,前进西路与年丰路交叉口东南50米,陕西省,西安市,阎良区,109.2145255,34.66943745
鼎和保险,金融保险服务,保险公司,保险公司,前进西路34号,陕西省,西安市,阎良区,109.2199678,34.6683188
中华财产保险,金融保险服务,保险公司,保险公司,前进西路华美璟苑小区14栋4号,陕西省,西安市,阎良区,109.2173054,34.6681125
中国太平洋保险财产保险,金融保险服务,保险公司,中国太平洋保险,延安街16号,陕西省,西安市,阎良区,109.2210055,34.66584895
英大财产保险,金融保险服务,金融保险服务机构,金融保险机构,凤凰路街道前进西路40号,陕西省,西安市,阎良区,109.2199168,34.66831676
中国信合24小时自助银行(阎良区信用联社营业部),金融保险服务,自动提款机,农村商业银行ATM,凤凰北街78号阎良区信用联社营业部,陕西省,西安市,阎良区,109.2157968,34.66469609
西安市阎良区农村信用合作联社,金融保险服务,银行,农村商业银行,凤凰北街78号,陕西省,西安市,阎良区,109.2155276,34.66473377
永安保险公司,金融保险服务,金融保险服务机构,金融保险机构,凤凰北街29号,陕西省,西安市,阎良区,109.2161272,34.66197888
永安财产保险股份有限公司(凤凰北街),金融保险服务,保险公司,保险公司,凤凰路21号,陕西省,西安市,阎良区,109.2163452,34.66405822
陕西信合(阎良分社),金融保险服务,银行,农村商业银行,前进西路与年丰路交叉口东南50米,陕西省,西安市,阎良区,109.2144845,34.66937946
陕西信合(阎良区信用联社营业部),金融保险服务,银行,农村商业银行,凤凰北街78号,陕西省,西安市,阎良区,109.2157968,34.66466611
陕西信合24小时自助银行(阎良区信用联社营业部),金融保险服务,自动提款机,农村商业银行ATM,凤凰北街78号阎良区信用联社营业部,陕西省,西安市,阎良区,109.2157918,34.66470507
永安财产保险股份有限公司(闫良营销服务部),金融保险服务,金融保险服务机构,金融保险机构,凤凰路21号永安保险公司,陕西省,西安市,阎良区,109.2162641,34.6639912
陕西信合(阎良信用社),金融保险服务,银行,农村商业银行,前进西路55号,陕西省,西安市,阎良区,109.2237745,34.66688925
新华保险股份有限公司(胜利街),金融保险服务,保险公司,新华人寿保险公司,文化西路与胜利街交叉口北100米,陕西省,西安市,阎良区,109.2237856,34.66545456
中国建设银行(胜利路支行),金融保险服务,银行,中国建设银行,文化东路皇城丽都,陕西省,西安市,阎良区,109.2250251,34.66490198
中国农业银行(前进路分理处),金融保险服务,银行,中国农业银行,前进路16-6号,陕西省,西安市,阎良区,109.2273204,34.66733533
西安银行(阎良支行),金融保险服务,银行,银行,文化西路5号,陕西省,西安市,阎良区,109.222021,34.66489567
中国农业银行24小时自助银行(前进路分理处),金融保险服务,自动提款机,中国农业银行ATM,前进路16-6号,陕西省,西安市,阎良区,109.2272364,34.66732728
中国工商银行(阎良支行),金融保险服务,银行,中国工商银行,延安街15号,陕西省,西安市,阎良区,109.2214318,34.66515594
中国邮政储蓄银行(文化路支行),金融保险服务,银行,中国邮政储蓄银行,文化中路中段10-5、10-6,陕西省,西安市,阎良区,109.2257162,34.66490846
天安保险股份有限公司,金融保险服务,金融保险服务机构,金融保险机构,前进西路79号,陕西省,西安市,阎良区,109.2220608,34.66737445
阎良区银通小额贷款有限公司,金融保险服务,金融保险服务机构,金融保险机构,胜利路中段,陕西省,西安市,阎良区,109.2241118,34.6650212
陕西信合24小时自助银行(阎良信用社),金融保险服务,自动提款机,农村商业银行ATM,胜利路北头,陕西省,西安市,阎良区,109.2234074,34.66702485
