名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
中华郡文化广场,风景名胜,风景名胜,风景名胜,,陕西省,西安市,阎良区,109.1937674,34.69923473
汉太上皇陵,风景名胜,风景名胜,风景名胜,北塬环线与301乡道交叉口北50米,陕西省,西安市,阎良区,109.2145885,34.692764
川河生态苑,风景名胜,风景名胜相关,旅游景点,,陕西省,西安市,阎良区,109.2480126,34.69201986
后土庙(建设中),风景名胜,风景名胜,寺庙道观,战备路北,陕西省,西安市,阎良区,109.2039495,34.6885819
石川河阎良风景区,风景名胜,风景名胜,风景名胜,201乡道附近,陕西省,西安市,阎良区,109.2510917,34.6852106
西安·阎良清真寺,风景名胜,风景名胜,回教寺,阎良街13号,陕西省,西安市,阎良区,109.215647,34.67196533
阎良公园,风景名胜,公园广场,公园,荆山开发区,陕西省,西安市,阎良区,109.214913,34.67783119
天主堂,风景名胜,风景名胜,教堂,凤凰路街道阎良老街,陕西省,西安市,阎良区,109.2267228,34.67299978
康桥寺庙,风景名胜,风景名胜,寺庙道观,,陕西省,西安市,阎良区,109.3033672,34.67757936
基督教堂,风景名胜,风景名胜,教堂,凤凰村中组,陕西省,西安市,阎良区,109.2097154,34.66201069
锦绣阎良园,风景名胜,公园广场,公园广场,前进西路与迎宾立交交叉口西100米,陕西省,西安市,阎良区,109.2071367,34.66625864
阎良村文化广场,风景名胜,公园广场,城市广场,宾广路与年丰路交叉口南100米,陕西省,西安市,阎良区,109.2138869,34.67112723
文化广场(胜利街),风景名胜,公园广场,城市广场,胜利街78号附近,陕西省,西安市,阎良区,109.2235983,34.66902018
观音阁,风景名胜,风景名胜相关,旅游景点,胜利街153号附近,陕西省,西安市,阎良区,109.2247138,34.66666216
荆山清泉,风景名胜,风景名胜相关,旅游景点,前进东路与筑金商业步行街交叉口东100米,陕西省,西安市,阎良区,109.2384236,34.6687209
奋进广场,风景名胜,公园广场,城市广场,X208(阎南路),陕西省,西安市,阎良区,109.1851259,34.65610583
凤凰广场,风景名胜,公园广场,城市广场,人民西路46号,陕西省,西安市,阎良区,109.2080542,34.6592801
阎良区人口文化园,风景名胜,公园广场,城市广场,人民西路与蓝天路交叉口北100米,陕西省,西安市,阎良区,109.2076307,34.65991
腾飞广场,风景名胜,公园广场,城市广场,凤凰北街233号,陕西省,西安市,阎良区,109.2161743,34.66120762
