名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
中意宾馆,住宿服务,旅馆招待所,旅馆招待所,站前路2号1幢1单元,重庆市,重庆市,万州区,108.39562161685485,30.758663416858443
优雅宾馆,住宿服务,旅馆招待所,旅馆招待所,新城路338号山峡医院科技大楼对面上行十米优雅宾馆,重庆市,重庆市,万州区,108.37831753640157,30.80810814915352
万州喜客宾馆,住宿服务,旅馆招待所,旅馆招待所,王牌路447号附1号发乞鲜火锅旁,重庆市,重庆市,万州区,108.38043131528337,30.80059760129313
重庆三峡行客栈,住宿服务,旅馆招待所,旅馆招待所,沙龙路二段230号附1号(近宏远市场),重庆市,重庆市,万州区,108.36800037597004,30.79937107706667
重庆新平安宾馆,住宿服务,旅馆招待所,旅馆招待所,沙龙路一段1151号3楼,重庆市,重庆市,万州区,108.371676604431,30.80354576282862
重庆翔鹏商务宾馆,住宿服务,宾馆酒店,宾馆酒店,王牌路232号(王牌小学旁红绿灯水晶宫楼上),重庆市,重庆市,万州区,108.3751950056398,30.80084576926011
万铁招待所,住宿服务,旅馆招待所,旅馆招待所,三峡佳信建材市场2栋,重庆市,重庆市,万州区,108.3968875500448,30.758697314248483
重庆熊亮宾馆,住宿服务,旅馆招待所,旅馆招待所,新城路112号2楼,重庆市,重庆市,万州区,108.37681162559575,30.812018273471065
重庆鸿福旅馆,住宿服务,旅馆招待所,旅馆招待所,沙龙路二段394号(宏远批发市场与和平医院之间),重庆市,重庆市,万州区,108.37084797398444,30.79789968382909
重庆万云招待所,住宿服务,旅馆招待所,旅馆招待所,火车站商贸城11号楼C区6单元503,重庆市,重庆市,万州区,108.39648145835139,30.76014059025746
重庆茗艺宾馆,住宿服务,旅馆招待所,旅馆招待所,五桥宁波路百安游园10栋,重庆市,重庆市,万州区,108.43784494597095,30.76835089696962
泰宏旅馆,住宿服务,旅馆招待所,旅馆招待所,北山大道140-1号,重庆市,重庆市,万州区,108.38347248526112,30.823314204608195
