名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
欢乐迪KTV(万州滨江店),体育休闲服务,娱乐场所,KTV,静园路1335号(近移民广场),重庆市,重庆市,万州区,108.38162226104414,30.802634668693038
新天地网咖(国本路店),体育休闲服务,娱乐场所,网吧,国本路150号附2号,重庆市,重庆市,万州区,108.36585383669563,30.818544231003077
娱乐室(上海大道店),体育休闲服务,娱乐场所,娱乐场所,上海大道377号附近,重庆市,重庆市,万州区,108.44597559527216,30.767521784664545
新闻网吧,体育休闲服务,娱乐场所,网吧,新盛支路,重庆市,重庆市,万州区,108.40000209794307,30.69783745482605
青龙网吧(欣宏大厦南),体育休闲服务,娱乐场所,网吧,北山大道926号附1号,重庆市,重庆市,万州区,108.40105445464567,30.834317969771835
卜曼会所,体育休闲服务,娱乐场所,KTV,五桥安顺路299号总商会大厦B1楼(检察院斜对面),重庆市,重庆市,万州区,108.44408347546401,30.76444556590528
星皇乐典量贩KTV(静园路店),体育休闲服务,娱乐场所,KTV,静园路41号东方购物广场3层,重庆市,重庆市,万州区,108.3752158600177,30.802577815030915
艾美量贩KTV,体育休闲服务,娱乐场所,KTV,静园路150号,重庆市,重庆市,万州区,108.38319299524348,30.804914421835303
金贝主题量贩式KTV,体育休闲服务,娱乐场所,KTV,天城大道兴茂美食城56号,重庆市,重庆市,万州区,108.37353689754387,30.826338428502755
纯K时光(重百店),体育休闲服务,娱乐场所,KTV,白岩路1号重百商场5楼(德克士旁),重庆市,重庆市,万州区,108.37034744542439,30.813519759524347
酷歌时尚量贩KTV(万州店),体育休闲服务,娱乐场所,KTV,北滨大道二段258号哈尔滨银行3-4层,重庆市,重庆市,万州区,108.3803556952361,30.810039541228466
世纪歌城KTV,体育休闲服务,娱乐场所,KTV,白岩三支路23号昆仑大厦4层,重庆市,重庆市,万州区,108.36265558935233,30.815369070030453
欢乐颂KTV,体育休闲服务,娱乐场所,KTV,五桥宁波路478号附1号,重庆市,重庆市,万州区,108.43755035406392,30.76845732886517
老街音乐酒吧,体育休闲服务,娱乐场所,酒吧,百安商业街曼丽嘉8楼,重庆市,重庆市,万州区,108.43794917265309,30.768084218026424
玉宫国际娱乐会所,体育休闲服务,娱乐场所,KTV,高笋塘新世纪房管局6层,重庆市,重庆市,万州区,108.3735459710099,30.811289671042907
帝波KTV,体育休闲服务,娱乐场所,KTV,天台路319号第5层6层(爱尚阳光影城楼上),重庆市,重庆市,万州区,108.44235394638342,30.76010743451896
江顶花园,体育休闲服务,娱乐场所,KTV,北滨大道二段998号万达大梯子旁工商银行4层酷歌KTV楼上,重庆市,重庆市,万州区,108.38032071222081,30.810188485583247
大东方歌城,体育休闲服务,娱乐场所,KTV,诗仙路如家酒店3楼,重庆市,重庆市,万州区,108.36426534884875,30.814260573250944
丽江格调酒吧,体育休闲服务,娱乐场所,酒吧,金街2栋2楼,重庆市,重庆市,万州区,108.38055945429693,30.81115878493605
