名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
中国邮政报刊亭,公共设施,报刊亭,报刊亭,北山大道与青龙西路交叉口东50米,重庆市,重庆市,万州区,108.39735426972474,30.83198603183932
中国邮政书报亭,公共设施,报刊亭,报刊亭,安顺路与上海支路交叉口东南方向180米,重庆市,重庆市,万州区,108.44392711666109,30.76454020728841
报刊亭,公共设施,报刊亭,报刊亭,天城大道与黑龙江路交叉路口往东南约50米,重庆市,重庆市,万州区,108.36671164385959,30.84688047288734
报刊亭,公共设施,报刊亭,报刊亭,黑龙江路与天城大道交叉口东北方向30米,重庆市,重庆市,万州区,108.36659875817999,30.847382328057147
报刊亭,公共设施,报刊亭,报刊亭,红花街与王牌路交叉口西南方向20米,重庆市,重庆市,万州区,108.38730389308286,30.787477598369534
中国邮政报刊亭,公共设施,报刊亭,报刊亭,厦门大道578附近,重庆市,重庆市,万州区,108.3886241356678,30.761972425170605
中国邮政报刊亭,公共设施,报刊亭,报刊亭,天城大道146号附近,重庆市,重庆市,万州区,108.37192258081024,30.82776426542296
中国邮政报刊亭,公共设施,报刊亭,报刊亭,名亨路124附近,重庆市,重庆市,万州区,108.35797189141162,30.82811859882812
中国邮政报刊亭,公共设施,报刊亭,报刊亭,北山大道与青龙西路交叉口东50米,重庆市,重庆市,万州区,108.3971672790861,30.831859106499206
书报亭,公共设施,报刊亭,报刊亭,王牌路与红花街交叉口南50米,重庆市,重庆市,万州区,108.38739485989467,30.7873356333391
中国邮政报刊亭,公共设施,报刊亭,报刊亭,福建大街与心连心转盘交叉口西北方向50米,重庆市,重庆市,万州区,108.36581022070386,30.841836394529725
报刊亭,公共设施,报刊亭,报刊亭,天城大道与黑龙江路交叉口东南50米,重庆市,重庆市,万州区,108.36637006935531,30.847312644677633
书报亭,公共设施,报刊亭,报刊亭,天城大道941号附近,重庆市,重庆市,万州区,108.36613444374663,30.84652037629437
报刊亭,公共设施,报刊亭,报刊亭,山湾街与沙龙路一段交叉口东南50米,重庆市,重庆市,万州区,108.36119568356642,30.816520412398567
报刊亭,公共设施,报刊亭,报刊亭,白岩路342号天悦酒店旁,重庆市,重庆市,万州区,108.36344934119214,30.816669312439927
报刊亭,公共设施,报刊亭,报刊亭,国本路158号,重庆市,重庆市,万州区,108.36481228207172,30.818408606841164
报刊亭,公共设施,报刊亭,报刊亭,沙龙路三段3886号附近,重庆市,重庆市,万州区,108.38268850912135,30.760823074811334
公共厕所,公共设施,公共厕所,公共厕所,上海大道140-1号附近,重庆市,重庆市,万州区,108.43570502739797,30.76501698385095
公共厕所,公共设施,公共厕所,公共厕所,北滨大道三段40号附近,重庆市,重庆市,万州区,108.38432314911337,30.820483262302503
公共厕所,公共设施,公共厕所,公共厕所,其芳路22号附近,重庆市,重庆市,万州区,108.27918827119343,30.66848516152075
公共厕所,公共设施,公共厕所,公共厕所,白岩路230号附5号,重庆市,重庆市,万州区,108.36838372766255,30.815487884876564
公共厕所,公共设施,公共厕所,公共厕所,鼓楼一路华榕·醉美湾(钟鼓楼大市场南),重庆市,重庆市,万州区,108.38486366976025,30.822607792924227
公共厕所,公共设施,公共厕所,公共厕所,国本路与白岩路交叉口西50米,重庆市,重庆市,万州区,108.35977181244934,30.817337946224168
公共厕所,公共设施,公共厕所,公共厕所,石狮路与060县道交叉口东50米,重庆市,重庆市,万州区,108.37706873129795,30.848850670568513
公共厕所,公共设施,公共厕所,公共厕所,北山大道1087号附近,重庆市,重庆市,万州区,108.40032729194455,30.834864572922825
公共厕所,公共设施,公共厕所,公共厕所,白岩路407正东方向90米,重庆市,重庆市,万州区,108.35263654180102,30.818914805483914
公共厕所,公共设施,公共厕所,公共厕所,金陵路96号附近,重庆市,重庆市,万州区,108.41024503709559,30.768632602682448
公共厕所,公共设施,公共厕所,公共厕所,平湖路88重庆信息学院金龙校区,重庆市,重庆市,万州区,108.37205397753245,30.7923753802199
公共厕所,公共设施,公共厕所,公共厕所,龙宝大街127附3附近,重庆市,重庆市,万州区,108.37890684414505,30.75501573974032
服务区公共厕所,公共设施,公共厕所,公共厕所,服务区与G42沪蓉高速交叉口西北50米,重庆市,重庆市,万州区,107.98700937038828,30.72984696527434
公共厕所,公共设施,公共厕所,公共厕所,沙龙路二段与胜利新路交叉口东50米,重庆市,重庆市,万州区,108.37261592253662,30.79828363735883
公共厕所,公共设施,公共厕所,公共厕所,318国道南50米,重庆市,重庆市,万州区,108.6382110775828,30.589881917372942
公共厕所,公共设施,公共厕所,公共厕所,桃园路东50米,重庆市,重庆市,万州区,108.37747646040252,30.87511447308912
