名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
兴茂·山水国际,商务住宅,住宅区,住宅小区,枇杷坪,重庆市,重庆市,万州区,108.38982288355538,30.828433369745976
兴茂·御景江城,商务住宅,住宅区,住宅小区,沙龙路二段1331号,重庆市,重庆市,万州区,108.38231780523644,30.788109000518578
桂花苑(沙龙路二段),商务住宅,住宅区,住宅小区,天台路,重庆市,重庆市,万州区,108.38439719415283,30.79145495195217
阳光小区(申明大道),商务住宅,住宅区,住宅小区,周家坝,重庆市,重庆市,万州区,108.36556184457324,30.851778132282778
四季花城(龙都大道),商务住宅,住宅区,住宅小区,金陵路与龙都立交桥交叉口西南150米,重庆市,重庆市,万州区,108.40606658456505,30.771011428596992
祥和家园,商务住宅,住宅区,住宅小区,国兴路,重庆市,重庆市,万州区,108.15090593593203,30.76509093907585
海成·南滨上院,商务住宅,住宅区,住宅小区,陈家坝街道南滨大道,重庆市,重庆市,万州区,108.41641716747407,30.780610612184965
富民花园,商务住宅,住宅区,住宅小区,上海大道228号,重庆市,重庆市,万州区,108.44061188607755,30.764604823597917
阳光花园(光彩七街),商务住宅,住宅区,住宅小区,高笋塘街道光彩大市场后面,重庆市,重庆市,万州区,108.39057151541361,30.77443224996405
江城一品(玉龙路),商务住宅,住宅区,住宅小区,渝东北重庆市万州区玉龙路8号(江南中学旁),重庆市,重庆市,万州区,108.40038440658468,30.80563961959605
中央花园(诗仙路),商务住宅,住宅区,住宅小区,太白路86号,重庆市,重庆市,万州区,108.37421741167167,30.809165178878743
和平公寓,商务住宅,住宅区,住宅小区,沙龙路三段64-附1号附近,重庆市,重庆市,万州区,108.38108021343244,30.78113653286053
金龙豪爵,商务住宅,住宅区,住宅小区,金龙公园旁,重庆市,重庆市,万州区,108.37570547366626,30.787259584302756
金鼎花园,商务住宅,住宅区,住宅小区,五桥上海大道,重庆市,重庆市,万州区,108.43922599403164,30.764734225046446
桂花苑(安宁路),商务住宅,住宅区,住宅小区,五桥街道天星路811号,重庆市,重庆市,万州区,108.43578271784656,30.75741203953314
百安花园,商务住宅,住宅区,住宅小区,万川大道555号(长江大桥南桥头),重庆市,重庆市,万州区,108.42659510824733,30.75912060678815
锦绣家园(上海大道),商务住宅,住宅区,住宅小区,上海大道333号,重庆市,重庆市,万州区,108.44506047389545,30.767589887431527
汇景阁,商务住宅,住宅区,住宅小区,北山街与北山路交叉口北150米,重庆市,重庆市,万州区,108.3852469407522,30.829623715699714
幸福小区,商务住宅,住宅区,住宅小区,枇杷坪,重庆市,重庆市,万州区,108.23687500981269,30.638327076210462
香山名苑,商务住宅,住宅区,住宅小区,宁波路与安居路交叉口东北150米,重庆市,重庆市,万州区,108.4435949357439,30.770663366811355
兴茂花园,商务住宅,住宅区,住宅小区,天城大道122号,重庆市,重庆市,万州区,108.37234605457778,30.82842946301663
奥林苑,商务住宅,住宅区,住宅小区,宝山路,重庆市,重庆市,万州区,108.37286166409825,30.756346453923427
滨湖花园(天凤路),商务住宅,住宅区,住宅小区,天凤路199号(天子苑),重庆市,重庆市,万州区,108.36286964372121,30.824166957867458
金泰花园,商务住宅,住宅区,住宅小区,观音岩万丰路294号,重庆市,重庆市,万州区,108.38571248847242,30.776717056227476
时代名都,商务住宅,住宅区,住宅小区,青羊宫110号,重庆市,重庆市,万州区,108.36953061905412,30.810978045063973
清风柳庄,商务住宅,住宅区,住宅小区,渝东北重庆市万州区沙龙路沙龙公园后面,重庆市,重庆市,万州区,108.36959403677126,30.804086715384916
总商会大厦,商务住宅,住宅区,住宅小区,五桥安康路299号,重庆市,重庆市,万州区,108.44372868008219,30.764416879638603
兴茂翠园,商务住宅,住宅区,住宅小区,高笋塘街道沙龙路土堡街300号,重庆市,重庆市,万州区,108.37085710513009,30.795925734743786
学府家园(天台路),商务住宅,住宅区,住宅小区,天台路453号,重庆市,重庆市,万州区,108.4453295444353,30.76124571994375
新城家园,商务住宅,住宅区,住宅小区,甘宁镇其芳路17号东北方向100米,重庆市,重庆市,万州区,108.2782341235463,30.67263642868777
紫腾苑,商务住宅,住宅区,住宅小区,金龙路398东南方向130米,重庆市,重庆市,万州区,108.36635450745422,30.79979580970773
王牌公寓,商务住宅,住宅区,住宅小区,王牌路496号,重庆市,重庆市,万州区,108.37408298319143,30.803183550409
长江新村(天龙路),商务住宅,住宅区,住宅小区,天龙路179号,重庆市,重庆市,万州区,108.36408570982502,30.826693976782888
鸿鸥未来城,商务住宅,住宅区,住宅区,牌楼街道2099号,重庆市,重庆市,万州区,108.3864956736938,30.782222762325205
兴茂雅园,商务住宅,住宅区,住宅小区,名亨路51-3号,重庆市,重庆市,万州区,108.35645617617922,30.830776370012856
丽景阁,商务住宅,住宅区,住宅小区,锦绣大道与桃园路交汇处,重庆市,重庆市,万州区,108.38583156749068,30.83025506233907
和平苑,商务住宅,住宅区,住宅小区,学府路与安庆路交叉口东100米,重庆市,重庆市,万州区,108.44011912077838,30.760830867163037
鑫汇苑,商务住宅,住宅区,住宅小区,土堡街400号,重庆市,重庆市,万州区,108.37285183902657,30.795816725779662
天屿江山,商务住宅,住宅区,住宅小区,北滨大道二段54号,重庆市,重庆市,万州区,108.38622475872012,30.796903065295552
和美小区,商务住宅,住宅区,住宅小区,申明中路123号,重庆市,重庆市,万州区,108.35052087027701,30.85290632406348
欧典花园,商务住宅,住宅区,住宅小区,观音岩,重庆市,重庆市,万州区,108.38032810584124,30.776843332102064
丽景家园(兴盛路),商务住宅,住宅区,住宅小区,李河镇兴盛路21号,重庆市,重庆市,万州区,108.26258575730027,30.817346920396812
银色港湾,商务住宅,住宅区,住宅小区,沙龙路一段895号,重庆市,重庆市,万州区,108.37473019866181,30.804735098159
天台花园,商务住宅,住宅区,住宅小区,安庆路388号,重庆市,重庆市,万州区,108.44235606617829,30.758491271038757
沙塘小区,商务住宅,住宅区,住宅小区,龙都社区,重庆市,重庆市,万州区,108.40573197928187,30.763510209736474
众越万山国际,商务住宅,住宅区,住宅小区,石峰路(重庆市万州国本中学校旁),重庆市,重庆市,万州区,108.38156949097052,30.772181905613778
半山国际名都,商务住宅,住宅区,住宅小区,"渝东北金龙路505号(宏远市场后,离沙龙公园1000米)",重庆市,重庆市,万州区,108.36950279442529,30.79510465627221
御景山居,商务住宅,住宅区,住宅小区,渝东北周家坝新星路99号,重庆市,重庆市,万州区,108.36423909104336,30.846175945927495
景尚雅苑,商务住宅,住宅区,住宅小区,沙龙路三段2366号东南方向110米,重庆市,重庆市,万州区,108.39278821976436,30.770133912947408
锦丽苑,商务住宅,住宅区,住宅小区,协力路416号,重庆市,重庆市,万州区,108.37336221045913,30.79681268415528
宁静苑(天津路),商务住宅,住宅区,住宅小区,天津路138号,重庆市,重庆市,万州区,108.40237062562605,30.7665267098424
中恒江南第一城B区,商务住宅,住宅区,住宅小区,南山路25号,重庆市,重庆市,万州区,108.40594925152315,30.816622967031716
名亨小区,商务住宅,住宅区,住宅小区,园丁路41号,重庆市,重庆市,万州区,108.35884346394626,30.828590076394754
国成·江山龙苑,商务住宅,住宅区,住宅小区,沙龙路二段1299号,重庆市,重庆市,万州区,108.38571760230856,30.788993553104238
