名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
良公祠民俗博物馆,科教文化服务,博物馆,博物馆,长岭镇凉水村二组,重庆市,重庆市,万州区,108.5597670063954,30.790038215247733
汉马博物馆,科教文化服务,博物馆,博物馆,王牌路68号汉马酒店5层,重庆市,重庆市,万州区,108.37464135632881,30.803813680058024
三峡都市报社,科教文化服务,传媒机构,报社,新城路128号1栋3,重庆市,重庆市,万州区,108.37717130335919,30.81182707100293
万州广播电视中心,科教文化服务,传媒机构,传媒机构,白岩路341号附2号,重庆市,重庆市,万州区,108.36003837788226,30.817620416302233
凉水有线电视,科教文化服务,传媒机构,传媒机构,凉水乡双庙村附近,重庆市,重庆市,万州区,108.55572061489988,30.787979953440633
重庆广播电视技术中心七O六台,科教文化服务,传媒机构,电视台,塘坊街204号附近,重庆市,重庆市,万州区,108.36866938116997,30.87083564820082
金豌豆文化传媒,科教文化服务,传媒机构,传媒机构,五桥天台路594号,重庆市,重庆市,万州区,108.44787352658052,30.761389918711014
重庆广播电视技术中心七〇六台,科教文化服务,传媒机构,电视台,塘坊街204号附近,重庆市,重庆市,万州区,108.36866638566663,30.870825657306177
樱乐传媒公司,科教文化服务,传媒机构,传媒机构,王牌路555号2楼,重庆市,重庆市,万州区,108.38284456815717,30.800220174598095
乐鼎文化传媒有限公司,科教文化服务,传媒机构,传媒机构,学府路487号附近,重庆市,重庆市,万州区,108.44142681806855,30.76182078729742
重庆市震烁传媒有限公司,科教文化服务,传媒机构,传媒机构,万川大道553附近,重庆市,重庆市,万州区,108.42624347709489,30.76076631030772
金庆传媒婚庆礼仪公司,科教文化服务,传媒机构,传媒机构,北山大道1061号附近,重庆市,重庆市,万州区,108.40334589684295,30.835981493688276
飞鹰传媒有限公司,科教文化服务,传媒机构,传媒机构,枇杷平都历路17号,重庆市,重庆市,万州区,108.39944904424065,30.83672345829319
飞歌影视传媒,科教文化服务,传媒机构,传媒机构,龙都支路63号附近,重庆市,重庆市,万州区,108.40583968760757,30.768206809082805
五桥上海卢湾广播电视中心,科教文化服务,传媒机构,电视台,五桥百安大道75号,重庆市,重庆市,万州区,108.43265879619925,30.760410494310037
万州电声文化传播有限公司,科教文化服务,传媒机构,传媒机构,百安大道1号北50米,重庆市,重庆市,万州区,108.4300504083835,30.759955860132667
万州时报,科教文化服务,传媒机构,报社,新城路136号附近,重庆市,重庆市,万州区,108.37723425101267,30.811745062515605
重庆大白鲨传媒有限公司,科教文化服务,传媒机构,传媒机构,北滨大道二段48号附近,重庆市,重庆市,万州区,108.38664553686252,30.79694883723874
野农文化传播,科教文化服务,传媒机构,传媒机构,,重庆市,重庆市,万州区,108.35648853078898,30.894652207777117
末端416万州电视台,科教文化服务,传媒机构,电视台,国本路与白岩路交叉口北50米,重庆市,重庆市,万州区,108.36013922137133,30.81762527220729
重庆方众传媒有限公司,科教文化服务,传媒机构,传媒机构,,重庆市,重庆市,万州区,108.3864799263326,30.778824564748813
