名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
中国平安人寿保险股份有限公司(万州中心支公司),金融保险服务,保险公司,中国平安保险公司,和平广场19号11楼、19号1幢1-8、1-9、1-10楼、19号1幢6-商场1-2、19号1幢5-商场1部分,重庆市,重庆市,万州区,108.37686427839569,30.816152970397543
中国人寿保险股份有限公司,金融保险服务,保险公司,中国人寿保险公司,国本路75号,重庆市,重庆市,万州区,108.36421914302316,30.81803456782211
中国人寿保险股份有限公司,金融保险服务,保险公司,中国人寿保险公司,天城大道915号,重庆市,重庆市,万州区,108.36586382822452,30.846275845824938
中国人寿保险股份有限公司,金融保险服务,保险公司,中国人寿保险公司,上海大道118号(第五人民医院东),重庆市,重庆市,万州区,108.43650659433062,30.7645425742139
中国人民财产保险股份有限公司,金融保险服务,保险公司,中国人民保险公司,明星路与莲花路交叉口西南200米,重庆市,重庆市,万州区,108.43894642207984,30.567752878500922
中国社会保险(万州区公共资源综合交易管理办公室东),金融保险服务,保险公司,保险公司,周家坝街道天城大道719号,重庆市,重庆市,万州区,108.36663123848348,30.840107356031375
中国人民财产保险股份有限公司(分水营销服务部),金融保险服务,保险公司,中国人民保险公司,分水西路607号,重庆市,重庆市,万州区,108.09243442203483,30.724441038125562
中国人民财产保险股份有限公司(万州五桥支公司新田营销服务部),金融保险服务,保险公司,中国人民保险公司,五新路582号,重庆市,重庆市,万州区,108.40777542881442,30.701088024611398
中国人寿,金融保险服务,保险公司,中国人寿保险公司,沙龙路二段2988号国腾集团一层,重庆市,重庆市,万州区,108.38322349938348,30.783734752899132
中国人民财产保险股份有限公司(万州分公司理赔中心),金融保险服务,保险公司,中国人民保险公司,国本路226号,重庆市,重庆市,万州区,108.36207420136152,30.818803967351307
中国人民财产保险股份有限公司(五桥支公司),金融保险服务,保险公司,中国人民保险公司,宁波路323号二楼204室,重庆市,重庆市,万州区,108.436532408773,30.767838905705645
三峡人寿,金融保险服务,银行,银行,南滨大道与梨花路交叉口北100米,重庆市,重庆市,万州区,108.39789765518125,30.799007053812076
中国人寿保险股份有限公司,金融保险服务,保险公司,中国人寿保险公司,永兴街122号-东70米附近,重庆市,重庆市,万州区,108.63624278447308,30.611310700937832
中国人寿保险股份有限公司,金融保险服务,保险公司,中国人寿保险公司,泗华路132号附近,重庆市,重庆市,万州区,108.30208933355519,30.824896028208357
中国人寿保险股份有限公司,金融保险服务,保险公司,中国人寿保险公司,G42(柱山隧道),重庆市,重庆市,万州区,108.27357694473201,30.733871457705483
中国人寿保险股份有限公司(041乡道),金融保险服务,保险公司,中国人寿保险公司,高升西路33号附近,重庆市,重庆市,万州区,108.19795833322605,30.791684264737658
中国人寿保险股份有限公司,金融保险服务,保险公司,中国人寿保险公司,发兴路和朝阳街的交叉口附近,重庆市,重庆市,万州区,107.95511939539142,30.810297313978925
中国人寿保险股份有限公司(龙门街),金融保险服务,保险公司,中国人寿保险公司,育才路138附近,重庆市,重庆市,万州区,108.08172082572905,30.721835445654765
中国人寿保险股份有限公司,金融保险服务,保险公司,中国人寿保险公司,G318(沪聂线),重庆市,重庆市,万州区,108.48359808222898,30.768908002763123
中国人寿保险股份有限公司,金融保险服务,保险公司,中国人寿保险公司,,重庆市,重庆市,万州区,108.26270974305308,30.816554273539346
中国人民财产保险股份有限公司,金融保险服务,保险公司,中国人民保险公司,国本路224号picc,重庆市,重庆市,万州区,108.36150606440832,30.818617839116342
中国人民保险集团股份有限公司,金融保险服务,保险公司,中国人民保险公司,钟鼓楼街道枇杷坪东路11号,重庆市,重庆市,万州区,108.36811190978572,30.817775947175033
中国人民保险集团股份有限公司,金融保险服务,保险公司,中国人民保险公司,五桥宁波路323号,重庆市,重庆市,万州区,108.4365494409652,30.767848929350233
中国人寿保险股份有限公司(三农保险服务站),金融保险服务,保险公司,中国人寿保险公司,,重庆市,重庆市,万州区,108.40045121443325,30.697125838223204
中国人寿保险股份有限公司(三农保险服务点),金融保险服务,保险公司,中国人寿保险公司,,重庆市,重庆市,万州区,108.66650919264492,30.783030214247457
